Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,HBP,RBI,SO,SF,H,GIDP,3B,PA,HR,XBH,SH,R,BB,AB,SB,CS,IBB,TB,2B,SHO,ER,ERA,DEC,WP,GS,CG,SV,IP,TBF,GF,Pitches Thrown,Pitching Outs,Actual Stat,Hit
Vladimir Guerrero,IF,TOR,Hitter Fantasy Score,6.5,STL,base,Mon 7:45 PM,0,0,0,0,2,0,0,5,0,1,0,0,0,5,0,0,0,3,1,,,,,,,,,,,,0,0,8.0,1
George Springer,OF,TOR,Hitter Fantasy Score,5.5,STL,base,Mon 7:45 PM,0,1,0,0,1,0,0,4,0,1,0,0,1,3,0,0,0,2,1,,,,,,,,,,,,0,0,9.0,1
Bo Bichette,IF,TOR,Hitter Fantasy Score,6.5,STL,base,Mon 7:45 PM,0,1,1,0,1,0,0,5,0,0,0,0,0,5,0,0,0,1,0,,,,,,,,,,,,0,0,5.0,0
Nolan Arenado,IF,STL,Hitter Fantasy Score,4.5,TOR,base,Mon 7:45 PM,0,0,0,0,0,1,0,4,0,0,0,0,0,4,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Nolan Gorman,IF,STL,Hitter Fantasy Score,3.5,TOR,base,Mon 7:45 PM,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,,,,,,,,,,,,0,0,3.0,0
Ivan Herrera,C,STL,Hitter Fantasy Score,5.0,TOR,base,Mon 7:45 PM,0,3,0,0,2,0,0,4,1,1,0,1,0,4,0,0,0,5,0,,,,,,,,,,,,0,0,21.0,1
Lars Nootbaar,OF,STL,Hitter Fantasy Score,6.5,TOR,base,Mon 7:45 PM,0,0,2,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Alejandro Kirk,C,TOR,Hitter Fantasy Score,5.0,STL,base,Mon 7:45 PM,0,2,0,0,4,0,0,5,1,3,0,1,0,5,0,0,0,9,2,,,,,,,,,,,,0,0,29.0,1
Brendan Donovan,IF,STL,Hitter Fantasy Score,5.5,TOR,base,Mon 7:45 PM,0,0,1,0,1,0,0,5,0,0,0,0,0,5,0,0,0,1,0,,,,,,,,,,,,0,0,3.0,0
Willson Contreras,IF,STL,Hitter Fantasy Score,5.0,TOR,base,Mon 7:45 PM,0,1,0,0,1,0,0,4,0,0,0,1,2,2,0,0,0,1,0,,,,,,,,,,,,0,0,11.0,1
Addison Barger,IF,TOR,Hitter Fantasy Score,5.5,STL,base,Mon 7:45 PM,0,0,3,0,1,0,0,5,0,0,0,2,0,5,0,0,0,1,0,,,,,,,,,,,,0,0,7.0,1
Nathan Lukes,OF,TOR,Hitter Fantasy Score,4.5,STL,base,Mon 7:45 PM,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,1,0,0,,,,,,,,,,,,0,0,2.0,0
Masyn Winn,IF,STL,Hitter Fantasy Score,5.5,TOR,base,Mon 7:45 PM,0,0,0,0,1,0,0,5,0,0,0,1,0,5,0,0,0,1,0,,,,,,,,,,,,0,0,5.0,0
Ernie Clement,IF,TOR,Hitter Fantasy Score,4.5,STL,base,Mon 7:45 PM,0,0,0,0,1,1,0,5,0,1,0,1,0,5,0,0,0,2,1,,,,,,,,,,,,0,0,7.0,1
Victor Scott,OF,STL,Hitter Fantasy Score,3.5,TOR,base,Mon 7:45 PM,0,0,1,0,0,0,0,4,0,0,0,1,1,3,0,0,0,0,0,,,,,,,,,,,,0,0,4.0,1
Andres Gimenez,IF,TOR,Hitter Fantasy Score,3.5,STL,base,Mon 7:45 PM,0,0,1,0,1,0,0,5,0,0,1,0,0,4,0,0,0,1,0,,,,,,,,,,,,0,0,3.0,0
Jonatan Clase,OF,TOR,Hitter Fantasy Score,3.5,STL,base,Mon 7:45 PM,0,1,0,0,2,0,0,4,1,1,0,1,0,4,0,0,0,5,0,,,,,,,,,,,,0,0,17.0,1
Mike Trout,OF,LAA,Walks,0.5,OAK,base,Mon 9:38 PM,0,2,1,1,1,0,0,4,0,0,0,0,0,3,0,0,0,1,0,,,,,,,,,,,,0,0,0.0,0
Mike Trout,OF,LAA,Runs,0.5,OAK,base,Mon 9:38 PM,0,2,1,1,1,0,0,4,0,0,0,0,0,3,0,0,0,1,0,,,,,,,,,,,,0,0,0.0,0
Taylor Ward,OF,LAA,Hits+Runs+RBIs,1.5,OAK,base,Mon 9:38 PM,0,0,1,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Jo Adell,OF,LAA,Hits+Runs+RBIs,1.5,OAK,base,Mon 9:38 PM,0,3,1,0,2,0,0,4,1,1,0,1,0,4,0,0,0,5,0,,,,,,,,,,,,0,0,6.0,1
Luis Rengifo,IF,LAA,Hits+Runs+RBIs,1.5,OAK,base,Mon 9:38 PM,0,0,2,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Logan O'Hoppe,C,LAA,Hits+Runs+RBIs,1.5,OAK,base,Mon 9:38 PM,0,0,1,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Zach Neto,IF,LAA,Runs,0.5,OAK,base,Mon 9:38 PM,0,1,0,0,2,0,0,4,0,0,0,2,0,4,1,0,0,2,0,,,,,,,,,,,,0,0,2.0,1
Nolan Schanuel,IF,LAA,Hits+Runs+RBIs,1.5,OAK,base,Mon 9:38 PM,0,1,0,0,2,0,0,4,0,0,0,1,0,4,1,0,0,2,0,,,,,,,,,,,,0,0,4.0,1
Nolan Schanuel,IF,LAA,Hitter Strikeouts,0.5,OAK,base,Mon 9:38 PM,0,1,0,0,2,0,0,4,0,0,0,1,0,4,1,0,0,2,0,,,,,,,,,,,,0,0,0.0,0
Mike Trout,OF,LAA,Hitter Fantasy Score,7.5,OAK,base,Mon 9:38 PM,0,2,1,1,1,0,0,4,0,0,0,0,0,3,0,0,0,1,0,,,,,,,,,,,,0,0,7.0,0
Taylor Ward,OF,LAA,Hitter Fantasy Score,5.5,OAK,base,Mon 9:38 PM,0,0,1,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Zach Neto,IF,LAA,Hitter Fantasy Score,7.0,OAK,base,Mon 9:38 PM,0,1,0,0,2,0,0,4,0,0,0,2,0,4,1,0,0,2,0,,,,,,,,,,,,0,0,17.0,1
Nolan Schanuel,IF,LAA,Hitter Fantasy Score,6.0,OAK,base,Mon 9:38 PM,0,1,0,0,2,0,0,4,0,0,0,1,0,4,1,0,0,2,0,,,,,,,,,,,,0,0,15.0,1
Matthew Lugo,OF,LAA,Hitter Fantasy Score,3.5,OAK,base,Mon 9:38 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Chris Taylor,OF,LAA,Hitter Fantasy Score,3.5,OAK,base,Mon 9:38 PM,1,0,2,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,,,,,,,,,,,,0,0,2.0,0
Freddie Freeman,IF,LAD,Hits+Runs+RBIs,1.5,SD,base,Mon 9:40 PM,0,1,1,0,3,0,0,5,0,1,0,2,0,5,0,0,0,4,1,,,,,,,,,,,,0,0,6.0,1
Max Muncy,IF,LAD,Total Bases,0.5,SD,base,Mon 9:40 PM,0,0,2,0,1,0,0,5,0,0,0,2,1,4,0,0,0,1,0,,,,,,,,,,,,0,0,1.0,1
Max Muncy,IF,LAD,Hits,0.5,SD,base,Mon 9:40 PM,0,0,2,0,1,0,0,5,0,0,0,2,1,4,0,0,0,1,0,,,,,,,,,,,,0,0,1.0,1
Mookie Betts,IF,LAD,Hitter Strikeouts,0.5,SD,base,Mon 9:40 PM,0,0,0,0,1,0,0,6,0,0,0,1,1,5,0,0,1,1,0,,,,,,,,,,,,0,0,0.0,0
Mookie Betts,IF,LAD,Hits+Runs+RBIs,1.5,SD,base,Mon 9:40 PM,0,0,0,0,1,0,0,6,0,0,0,1,1,5,0,0,1,1,0,,,,,,,,,,,,0,0,2.0,1
Xander Bogaerts,IF,SD,Hitter Strikeouts,0.5,LAD,base,Mon 9:40 PM,0,0,0,0,0,0,0,5,0,0,0,1,1,4,1,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Shohei Ohtani,P/DH,LAD,Total Bases,1.5,SD,base,Mon 9:40 PM,0,0,1,0,1,0,0,6,0,1,0,1,1,5,0,0,0,2,1,,,,,,,,,,,,0,0,2.0,1
Brandon Lockridge,OF,SD,Total Bases,0.5,LAD,base,Mon 9:40 PM,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Brandon Lockridge,OF,SD,Hitter Strikeouts,0.5,LAD,base,Mon 9:40 PM,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,0,0,2.0,1
JP Crawford,IF,SEA,Hits+Runs+RBIs,1.5,AZ,base,Mon 9:40 PM,0,0,0,0,2,0,0,5,0,0,0,0,2,3,0,0,0,2,0,,,,,,,,,,,,0,0,2.0,1
Cal Raleigh,C,SEA,Hits+Runs+RBIs,1.5,AZ,base,Mon 9:40 PM,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Lourdes Gurriel,OF,AZ,Hitter Strikeouts,0.5,SEA,base,Mon 9:40 PM,0,1,0,0,2,0,0,4,0,0,0,0,1,3,0,0,0,2,0,,,,,,,,,,,,0,0,0.0,0
Corbin Carroll,OF,AZ,Hits+Runs+RBIs,2.5,SEA,base,Mon 9:40 PM,0,1,2,0,1,0,0,6,1,1,0,1,1,5,0,0,0,4,0,,,,,,,,,,,,0,0,3.0,1
Jorge Polanco,IF,SEA,Hits+Runs+RBIs,1.5,AZ,base,Mon 9:40 PM,0,0,1,0,1,0,0,5,0,0,0,0,0,5,0,0,0,1,0,,,,,,,,,,,,0,0,1.0,0
Gabriel Moreno,C,AZ,Hitter Strikeouts,0.5,SEA,base,Mon 9:40 PM,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Gabriel Moreno,C,AZ,Hits+Runs+RBIs,1.5,SEA,base,Mon 9:40 PM,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Geraldo Perdomo,IF,AZ,Hits+Runs+RBIs,1.5,SEA,base,Mon 9:40 PM,0,0,1,0,1,0,0,6,0,0,0,2,3,3,0,0,0,1,0,,,,,,,,,,,,0,0,3.0,1
Alek Thomas,OF,AZ,Hitter Strikeouts,0.5,SEA,base,Mon 9:40 PM,0,0,1,0,2,0,0,5,0,0,0,1,0,5,0,0,0,2,0,,,,,,,,,,,,0,0,1.0,1
Alek Thomas,OF,AZ,Hits+Runs+RBIs,1.5,SEA,base,Mon 9:40 PM,0,0,1,0,2,0,0,5,0,0,0,1,0,5,0,0,0,2,0,,,,,,,,,,,,0,0,3.0,1
Freddie Freeman,IF,LAD,Hitter Fantasy Score,6.5,SD,base,Mon 9:40 PM,0,1,1,0,3,0,0,5,0,1,0,2,0,5,0,0,0,4,1,,,,,,,,,,,,0,0,17.0,1
Max Muncy,IF,LAD,Hitter Fantasy Score,4.5,SD,base,Mon 9:40 PM,0,0,2,0,1,0,0,5,0,0,0,2,1,4,0,0,0,1,0,,,,,,,,,,,,0,0,9.0,1
Manny Machado,IF,SD,Hitter Fantasy Score,6.5,LAD,base,Mon 9:40 PM,0,1,1,0,2,0,0,5,0,1,0,1,0,5,0,0,0,3,1,,,,,,,,,,,,0,0,12.0,1
Jake Cronenworth,IF,SD,Hitter Fantasy Score,4.5,LAD,base,Mon 9:40 PM,0,0,0,0,0,0,0,4,0,0,0,1,1,3,0,0,0,0,0,,,,,,,,,,,,0,0,4.0,0
Will Smith,C,LAD,Hitter Fantasy Score,4.5,SD,base,Mon 9:40 PM,0,3,1,1,1,0,0,5,1,1,0,1,0,4,0,0,0,4,0,,,,,,,,,,,,0,0,18.0,1
Mookie Betts,IF,LAD,Hitter Fantasy Score,6.5,SD,base,Mon 9:40 PM,0,0,0,0,1,0,0,6,0,0,0,1,1,5,0,0,1,1,0,,,,,,,,,,,,0,0,7.0,1
Xander Bogaerts,IF,SD,Hitter Fantasy Score,4.5,LAD,base,Mon 9:40 PM,0,0,0,0,0,0,0,5,0,0,0,1,1,4,1,0,0,0,0,,,,,,,,,,,,0,0,9.0,1
Andy Pages,OF,LAD,Hitter Fantasy Score,4.5,SD,base,Mon 9:40 PM,0,1,0,0,2,0,0,5,0,1,0,1,0,5,0,0,0,3,1,,,,,,,,,,,,0,0,12.0,1
Fernando Tatis,OF,SD,Hitter Fantasy Score,7.5,LAD,base,Mon 9:40 PM,0,0,0,0,1,0,0,5,0,0,0,1,2,3,1,0,0,1,0,,,,,,,,,,,,0,0,14.0,1
Shohei Ohtani,P/DH,LAD,Hitter Fantasy Score,8.5,SD,base,Mon 9:40 PM,0,0,1,0,1,0,0,6,0,1,0,1,1,5,0,0,0,2,1,,,,,,,,,,,,0,0,9.0,1
Teoscar Hernandez,OF,LAD,Hitter Fantasy Score,5.5,SD,base,Mon 9:40 PM,0,1,0,1,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,,,,,,,,,,,,0,0,2.0,0
Jackson Merrill,OF,SD,Hitter Fantasy Score,5.5,LAD,base,Mon 9:40 PM,0,2,1,1,1,0,0,5,0,1,0,1,1,3,0,0,0,2,1,,,,,,,,,,,,0,0,13.0,1
Luis Arraez,IF,SD,Hitter Fantasy Score,5.5,LAD,base,Mon 9:40 PM,0,0,0,0,1,0,0,5,0,0,0,2,0,5,0,0,0,1,0,,,,,,,,,,,,0,0,7.0,1
Tommy Edman,OF,LAD,Hitter Fantasy Score,4.5,SD,base,Mon 9:40 PM,0,1,1,0,2,0,0,5,0,0,0,0,0,5,0,0,0,2,0,,,,,,,,,,,,0,0,8.0,1
Elias Diaz,C,SD,Hitter Fantasy Score,3.5,LAD,base,Mon 9:40 PM,0,0,1,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Brandon Lockridge,OF,SD,Hitter Fantasy Score,3.5,LAD,base,Mon 9:40 PM,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Michael Conforto,OF,LAD,Hitter Fantasy Score,4.5,SD,base,Mon 9:40 PM,1,0,0,0,1,0,0,4,0,0,0,0,0,3,0,0,0,1,0,,,,,,,,,,,,0,0,5.0,1
Gavin Sheets,IF,SD,Hitter Fantasy Score,4.5,LAD,base,Mon 9:40 PM,0,0,1,0,1,0,0,5,0,0,0,0,0,5,0,0,0,1,0,,,,,,,,,,,,0,0,3.0,0
Julio Rodriguez,OF,SEA,Hitter Fantasy Score,6.5,AZ,base,Mon 9:40 PM,0,0,2,0,2,0,0,5,0,0,0,0,0,5,0,0,0,2,0,,,,,,,,,,,,0,0,6.0,0
JP Crawford,IF,SEA,Hitter Fantasy Score,5.5,AZ,base,Mon 9:40 PM,0,0,0,0,2,0,0,5,0,0,0,0,2,3,0,0,0,2,0,,,,,,,,,,,,0,0,10.0,1
Cal Raleigh,C,SEA,Hitter Fantasy Score,6.5,AZ,base,Mon 9:40 PM,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Lourdes Gurriel,OF,AZ,Hitter Fantasy Score,5.5,SEA,base,Mon 9:40 PM,0,1,0,0,2,0,0,4,0,0,0,0,1,3,0,0,0,2,0,,,,,,,,,,,,0,0,10.0,1
Corbin Carroll,OF,AZ,Hitter Fantasy Score,9.0,SEA,base,Mon 9:40 PM,0,1,2,0,1,0,0,6,1,1,0,1,1,5,0,0,0,4,0,,,,,,,,,,,,0,0,16.0,1
Ketel Marte,IF,AZ,Hitter Fantasy Score,7.5,SEA,base,Mon 9:40 PM,0,1,1,0,1,0,0,6,0,0,0,1,1,5,0,0,1,1,0,,,,,,,,,,,,0,0,9.0,1
Eugenio Suarez,IF,AZ,Hitter Fantasy Score,5.5,SEA,base,Mon 9:40 PM,0,0,2,0,0,1,0,5,0,0,0,0,0,5,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Jorge Polanco,IF,SEA,Hitter Fantasy Score,5.5,AZ,base,Mon 9:40 PM,0,0,1,0,1,0,0,5,0,0,0,0,0,5,0,0,0,1,0,,,,,,,,,,,,0,0,3.0,0
Gabriel Moreno,C,AZ,Hitter Fantasy Score,5.0,SEA,base,Mon 9:40 PM,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Geraldo Perdomo,IF,AZ,Hitter Fantasy Score,6.5,SEA,base,Mon 9:40 PM,0,0,1,0,1,0,0,6,0,0,0,2,3,3,0,0,0,1,0,,,,,,,,,,,,0,0,13.0,1
Alek Thomas,OF,AZ,Hitter Fantasy Score,4.5,SEA,base,Mon 9:40 PM,0,0,1,0,2,0,0,5,0,0,0,1,0,5,0,0,0,2,0,,,,,,,,,,,,0,0,8.0,1
Pavin Smith,OF,AZ,Hitter Fantasy Score,4.5,SEA,base,Mon 9:40 PM,0,0,1,0,0,1,0,5,0,0,0,0,2,3,0,0,1,0,0,,,,,,,,,,,,0,0,4.0,0
Randy Arozarena,OF,SEA,Hitter Fantasy Score,5.5,AZ,base,Mon 9:40 PM,0,0,2,0,2,0,0,5,0,1,0,0,0,5,0,0,0,3,1,,,,,,,,,,,,0,0,8.0,1
Josh Naylor,IF,AZ,Hitter Fantasy Score,6.5,SEA,base,Mon 9:40 PM,0,5,0,0,3,0,0,6,1,2,0,2,1,5,0,0,0,7,1,,,,,,,,,,,,0,0,34.0,1
Rowdy Tellez,IF,SEA,Hitter Fantasy Score,3.5,AZ,base,Mon 9:40 PM,0,0,1,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Ben Williamson,IF,SEA,Hitter Fantasy Score,3.5,AZ,base,Mon 9:40 PM,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,,,,,,,,,,,,0,0,3.0,0
Cole Young,IF,SEA,Hitter Fantasy Score,3.5,AZ,base,Mon 9:40 PM,0,1,1,0,2,0,0,5,0,0,0,1,0,5,0,0,0,2,0,,,,,,,,,,,,0,0,10.0,1
Luis L Ortiz,P,CLE,Pitches Thrown,93.5,CIN,base,Mon 6:40 PM,0,,5,,9,,,,2,,,4,1,,,,0,,,0,4,7.71,L,0,1,0,0,4.2,23,0,88,14,88.0,0
Luis L Ortiz,P,CLE,Pitcher Strikeouts,6.0,CIN,base,Mon 6:40 PM,0,,5,,9,,,,2,,,4,1,,,,0,,,0,4,7.71,L,0,1,0,0,4.2,23,0,88,14,5.0,0
Luis L Ortiz,P,CLE,Pitcher Strikeouts,6.0,CIN,base,Mon 6:40 PM,0,,5,,9,,,,2,,,4,1,,,,0,,,0,4,7.71,L,0,1,0,0,4.2,23,0,88,14,5.0,0
Luis L Ortiz,P,CLE,Pitcher Fantasy Score,31.5,CIN,base,Mon 6:40 PM,0,,5,,9,,,,2,,,4,1,,,,0,,,0,4,7.71,L,0,1,0,0,4.2,23,0,88,14,17.0,0
Luis L Ortiz,P,CLE,Pitching Outs,17.5,CIN,base,Mon 6:40 PM,0,,5,,9,,,,2,,,4,1,,,,0,,,0,4,7.71,L,0,1,0,0,4.2,23,0,88,14,14.0,0
Wade Miley,P,CIN,Pitcher Strikeouts,2.5,CLE,base,Mon 6:40 PM,1,,2,,5,,,,0,,,3,4,,,,0,,,0,3,5.40,W,0,1,0,0,5.0,21,0,78,15,2.0,0
Eury Perez,P,MIA,Pitcher Strikeouts,5.0,PIT,base,Mon 6:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,9,0.0,0
Mike Burrows,P,PIT,Pitcher Strikeouts,4.0,MIA,base,Mon 6:40 PM,0,,6,,4,,,,1,,,2,3,,,,0,,,0,2,4.15,,0,1,0,0,4.1,20,0,66,13,6.0,1
Zack Wheeler,P,PHI,Pitcher Fantasy Score,39.5,CHC,base,Mon 6:45 PM,0,,7,,3,,,,1,,,1,1,,,,0,,,0,1,1.50,,1,1,0,0,6.0,23,0,103,18,40.0,1
Zack Wheeler,P,PHI,Pitcher Strikeouts,7.0,CHC,base,Mon 6:45 PM,0,,7,,3,,,,1,,,1,1,,,,0,,,0,1,1.50,,1,1,0,0,6.0,23,0,103,18,7.0,1
Zack Wheeler,P,PHI,Pitches Thrown,97.5,CHC,base,Mon 6:45 PM,0,,7,,3,,,,1,,,1,1,,,,0,,,0,1,1.50,,1,1,0,0,6.0,23,0,103,18,103.0,1
Matthew Boyd,P,CHC,Pitcher Fantasy Score,30.5,PHI,base,Mon 6:45 PM,0,,0,,8,,,,0,,,2,2,,,,0,,,0,1,1.50,,0,1,0,0,6.0,25,0,73,18,19.0,0
Matthew Boyd,P,CHC,Pitcher Strikeouts,5.5,PHI,base,Mon 6:45 PM,0,,0,,8,,,,0,,,2,2,,,,0,,,0,1,1.50,,0,1,0,0,6.0,25,0,73,18,0.0,0
Matthew Boyd,P,CHC,Pitches Thrown,93.5,PHI,base,Mon 6:45 PM,0,,0,,8,,,,0,,,2,2,,,,0,,,0,1,1.50,,0,1,0,0,6.0,25,0,73,18,73.0,0
Matthew Boyd,P,CHC,Pitching Outs,17.5,PHI,base,Mon 6:45 PM,0,,0,,8,,,,0,,,2,2,,,,0,,,0,1,1.50,,0,1,0,0,6.0,25,0,73,18,18.0,1
Shane Baz,P,TB,Pitcher Strikeouts,5.0,BOS,base,Mon 7:10 PM,1,,5,,3,,,,0,,,3,3,,,,0,,,0,3,5.06,,0,1,0,0,5.1,22,0,76,16,5.0,1
Shane Baz,P,TB,Pitcher Fantasy Score,28.5,BOS,base,Mon 7:10 PM,1,,5,,3,,,,0,,,3,3,,,,0,,,0,3,5.06,,0,1,0,0,5.1,22,0,76,16,22.0,0
Shane Baz,P,TB,Earned Runs Allowed,2.5,BOS,base,Mon 7:10 PM,1,,5,,3,,,,0,,,3,3,,,,0,,,0,3,5.06,,0,1,0,0,5.1,22,0,76,16,3.0,1
Shane Baz,P,TB,Pitching Outs,16.5,BOS,base,Mon 7:10 PM,1,,5,,3,,,,0,,,3,3,,,,0,,,0,3,5.06,,0,1,0,0,5.1,22,0,76,16,16.0,0
Brayan Bello,P,BOS,Earned Runs Allowed,2.5,TB,base,Mon 7:10 PM,1,,4,,7,,,,0,,,4,1,,,,0,,,0,3,4.26,,0,1,0,0,6.1,27,0,82,19,3.0,1
Brayan Bello,P,BOS,Pitching Outs,16.5,TB,base,Mon 7:10 PM,1,,4,,7,,,,0,,,4,1,,,,0,,,0,3,4.26,,0,1,0,0,6.1,27,0,82,19,19.0,1
Brayan Bello,P,BOS,Pitcher Strikeouts,4.5,TB,base,Mon 7:10 PM,1,,4,,7,,,,0,,,4,1,,,,0,,,0,3,4.26,,0,1,0,0,6.1,27,0,82,19,4.0,0
Brayan Bello,P,BOS,Pitcher Fantasy Score,26.5,TB,base,Mon 7:10 PM,1,,4,,7,,,,0,,,4,1,,,,0,,,0,3,4.26,,0,1,0,0,6.1,27,0,82,19,26.0,0
Brayan Bello,P,BOS,Pitches Thrown,92.5,TB,base,Mon 7:10 PM,1,,4,,7,,,,0,,,4,1,,,,0,,,0,3,4.26,,0,1,0,0,6.1,27,0,82,19,82.0,0
Chris Sale,P,ATL,Pitcher Strikeouts,7.5,MIL,base,Mon 7:40 PM,0,,11,,5,,,,0,,,1,2,,,,0,,,0,1,1.29,W,0,1,0,0,7.0,27,0,103,21,11.0,1
Chris Sale,P,ATL,Pitches Thrown,97.5,MIL,base,Mon 7:40 PM,0,,11,,5,,,,0,,,1,2,,,,0,,,0,1,1.29,W,0,1,0,0,7.0,27,0,103,21,103.0,1
Chris Sale,P,ATL,Pitcher Fantasy Score,41.5,MIL,base,Mon 7:40 PM,0,,11,,5,,,,0,,,1,2,,,,0,,,0,1,1.29,W,0,1,0,0,7.0,27,0,103,21,61.0,1
Aaron Civale,P,MIL,Pitcher Strikeouts,4.0,ATL,base,Mon 7:40 PM,1,,5,,5,,,,1,,,2,2,,,,0,,,0,2,3.86,L,0,1,0,0,4.2,21,0,80,14,5.0,1
Aaron Civale,P,MIL,Earned Runs Allowed,2.5,ATL,base,Mon 7:40 PM,1,,5,,5,,,,1,,,2,2,,,,0,,,0,2,3.86,L,0,1,0,0,4.2,21,0,80,14,2.0,0
Aaron Civale,P,MIL,Pitcher Fantasy Score,21.5,ATL,base,Mon 7:40 PM,1,,5,,5,,,,1,,,2,2,,,,0,,,0,2,3.86,L,0,1,0,0,4.2,21,0,80,14,23.0,1
Andre Pallante,P,STL,Earned Runs Allowed,2.5,TOR,base,Mon 7:45 PM,0,,3,,7,,,,0,,,2,1,,,,0,,,0,2,3.00,,0,1,0,0,6.0,27,0,92,18,2.0,0
Andre Pallante,P,STL,Pitches Thrown,90.5,TOR,base,Mon 7:45 PM,0,,3,,7,,,,0,,,2,1,,,,0,,,0,2,3.00,,0,1,0,0,6.0,27,0,92,18,92.0,1
Andre Pallante,P,STL,Pitcher Strikeouts,3.0,TOR,base,Mon 7:45 PM,0,,3,,7,,,,0,,,2,1,,,,0,,,0,2,3.00,,0,1,0,0,6.0,27,0,92,18,3.0,1
Andre Pallante,P,STL,Pitcher Fantasy Score,23.5,TOR,base,Mon 7:45 PM,0,,3,,7,,,,0,,,2,1,,,,0,,,0,2,3.00,,0,1,0,0,6.0,27,0,92,18,25.0,1
Jose Berrios,P,TOR,Pitcher Strikeouts,4.0,STL,base,Mon 7:45 PM,0,,1,,4,,,,0,,,0,2,,,,0,,,0,0,0.00,,0,1,0,0,6.2,25,0,89,20,1.0,0
Jose Berrios,P,TOR,Pitcher Fantasy Score,27.5,STL,base,Mon 7:45 PM,0,,1,,4,,,,0,,,0,2,,,,0,,,0,0,0.00,,0,1,0,0,6.2,25,0,89,20,27.0,0
Jose Berrios,P,TOR,Pitches Thrown,90.5,STL,base,Mon 7:45 PM,0,,1,,4,,,,0,,,0,2,,,,0,,,0,0,0.00,,0,1,0,0,6.2,25,0,89,20,89.0,0
Yusei Kikuchi,P,LAA,Pitching Outs,17.5,OAK,base,Mon 9:38 PM,0,,5,,1,,,,0,,,0,1,,,,0,,,0,0,0.00,W,0,1,0,0,7.1,24,0,104,22,22.0,1
Yusei Kikuchi,P,LAA,Earned Runs Allowed,2.5,OAK,base,Mon 9:38 PM,0,,5,,1,,,,0,,,0,1,,,,0,,,0,0,0.00,W,0,1,0,0,7.1,24,0,104,22,0.0,0
Yusei Kikuchi,P,LAA,Pitches Thrown,96.5,OAK,base,Mon 9:38 PM,0,,5,,1,,,,0,,,0,1,,,,0,,,0,0,0.00,W,0,1,0,0,7.1,24,0,104,22,104.0,1
Yusei Kikuchi,P,LAA,Pitcher Fantasy Score,31.5,OAK,base,Mon 9:38 PM,0,,5,,1,,,,0,,,0,1,,,,0,,,0,0,0.00,W,0,1,0,0,7.1,24,0,104,22,47.0,1
Yusei Kikuchi,P,LAA,Pitcher Strikeouts,6.0,OAK,base,Mon 9:38 PM,0,,5,,1,,,,0,,,0,1,,,,0,,,0,0,0.00,W,0,1,0,0,7.1,24,0,104,22,5.0,0
Dustin May,P,LAD,Pitcher Strikeouts,4.5,SD,base,Mon 9:40 PM,0,,1,,6,,,,0,,,6,4,,,,0,,,0,5,9.00,,0,1,0,0,5.0,25,0,89,15,1.0,0
