Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,HBP,RBI,SO,SF,H,GIDP,3B,PA,HR,XBH,SH,R,BB,AB,SB,CS,IBB,TB,2B,SHO,ER,ERA,DEC,WP,GS,CG,SV,IP,TBF,GF,Pitches Thrown,Pitching Outs,Actual Stat,Hit
David Fry,IF,CLE,Hitter Fantasy Score,5.5,CIN,base,Mon 6:40 PM,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,0,0,2.0,0
Elly De La Cruz,IF,CIN,Hitter Fantasy Score,7.5,CLE,base,Mon 6:40 PM,0,0,2,0,2,0,0,5,0,1,0,0,0,5,0,0,0,3,1,,,,,,,,,,,,0,0,8.0,1
Christian Encarnacion-Strand,IF,CIN,Hitter Fantasy Score,5.5,CLE,base,Mon 6:40 PM,0,1,2,1,1,0,0,5,0,0,0,1,0,4,0,0,0,1,0,,,,,,,,,,,,0,0,7.0,1
Johnathan Rodriguez,OF,CLE,Hitter Fantasy Score,3.5,CIN,base,Mon 6:40 PM,0,0,1,0,0,1,0,3,0,0,0,0,1,2,0,0,0,0,0,,,,,,,,,,,,0,0,2.0,0
Angel Martinez,OF,CLE,Hitter Fantasy Score,3.5,CIN,base,Mon 6:40 PM,0,1,2,0,1,0,0,4,0,0,0,1,0,4,0,0,0,1,0,,,,,,,,,,,,0,0,7.0,1
Carlos Santana,IF,CLE,Hitter Fantasy Score,4.5,CIN,base,Mon 6:40 PM,0,1,0,0,1,0,0,4,0,0,0,0,1,3,0,0,0,1,0,,,,,,,,,,,,0,0,7.0,1
Gavin Lux,IF,CIN,Hitter Fantasy Score,5.5,CLE,base,Mon 6:40 PM,0,1,0,0,2,0,0,5,0,0,0,0,0,5,0,0,0,2,0,,,,,,,,,,,,0,0,8.0,1
Bryan Reynolds,OF,PIT,Hitter Fantasy Score,5.0,MIA,base,Mon 6:40 PM,0,3,0,0,2,1,1,5,0,1,0,0,0,5,0,0,0,4,0,,,,,,,,,,,,0,0,17.0,1
Oneil Cruz,OF,PIT,Hitter Fantasy Score,7.5,MIA,base,Mon 6:40 PM,0,0,1,0,1,0,0,5,0,1,0,1,1,4,0,0,0,2,1,,,,,,,,,,,,0,0,9.0,1
Jesus Sanchez,OF,MIA,Hitter Fantasy Score,6.5,PIT,base,Mon 6:40 PM,0,1,2,1,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,,,,,,,,,,,,0,0,2.0,0
Andrew McCutchen,OF,PIT,Hitter Fantasy Score,5.0,MIA,base,Mon 6:40 PM,0,1,0,0,3,0,0,5,0,1,0,2,0,5,0,0,0,4,1,,,,,,,,,,,,0,0,17.0,1
Henry Davis,C,PIT,Hitter Fantasy Score,3.5,MIA,base,Mon 6:40 PM,0,0,2,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Xavier Edwards,IF,MIA,Hitter Fantasy Score,6.5,PIT,base,Mon 6:40 PM,0,0,0,0,1,0,0,5,0,0,0,0,1,4,0,1,0,1,0,,,,,,,,,,,,0,0,5.0,0
Otto Lopez,IF,MIA,Hitter Fantasy Score,6.5,PIT,base,Mon 6:40 PM,0,1,0,0,1,0,0,3,1,1,0,1,2,1,0,0,0,4,0,,,,,,,,,,,,0,0,18.0,1
Isiah Kiner-Falefa,IF,PIT,Hitter Fantasy Score,3.5,MIA,base,Mon 6:40 PM,0,0,1,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Agustin Ramirez,C,MIA,Hitter Fantasy Score,4.5,PIT,base,Mon 6:40 PM,0,0,2,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Spencer Horwitz,IF,PIT,Hitter Fantasy Score,5.0,MIA,base,Mon 6:40 PM,0,1,1,0,1,0,0,5,0,1,0,2,1,4,0,0,0,2,1,,,,,,,,,,,,0,0,13.0,1
Kyle Schwarber,DH,PHI,Walks,0.5,CHC,base,Mon 6:45 PM,0,0,1,0,0,0,0,5,0,0,0,1,3,2,0,0,1,0,0,,,,,,,,,,,,0,0,3.0,1
Nick Castellanos,OF,PHI,Hits+Runs+RBIs,1.5,CHC,base,Mon 6:45 PM,0,0,0,0,3,0,0,5,0,1,0,1,0,5,0,0,0,4,1,,,,,,,,,,,,0,0,4.0,1
Jt Realmuto,C,PHI,Hits+Runs+RBIs,1.5,CHC,base,Mon 6:45 PM,0,2,0,0,2,0,0,5,0,0,0,1,0,5,0,0,0,2,0,,,,,,,,,,,,0,0,5.0,1
Alec Bohm,IF,PHI,Hitter Strikeouts,0.5,CHC,base,Mon 6:45 PM,0,0,1,0,2,1,0,5,0,0,0,0,0,5,0,0,0,2,0,,,,,,,,,,,,0,0,1.0,1
Trea Turner,IF,PHI,Runs,0.5,CHC,base,Mon 6:45 PM,1,0,0,0,1,0,0,5,0,0,0,0,0,4,0,0,0,1,0,,,,,,,,,,,,0,0,0.0,0
Kyle Schwarber,DH,PHI,Hitter Fantasy Score,6.5,CHC,base,Mon 6:45 PM,0,0,1,0,0,0,0,5,0,0,0,1,3,2,0,0,1,0,0,,,,,,,,,,,,0,0,8.0,1
Nick Castellanos,OF,PHI,Hitter Fantasy Score,5.0,CHC,base,Mon 6:45 PM,0,0,0,0,3,0,0,5,0,1,0,1,0,5,0,0,0,4,1,,,,,,,,,,,,0,0,13.0,1
Ian Happ,OF,CHC,Hitter Fantasy Score,5.5,PHI,base,Mon 6:45 PM,0,1,2,0,1,0,0,5,1,1,0,1,0,5,0,0,0,4,0,,,,,,,,,,,,0,0,14.0,1
Jt Realmuto,C,PHI,Hitter Fantasy Score,4.5,CHC,base,Mon 6:45 PM,0,2,0,0,2,0,0,5,0,0,0,1,0,5,0,0,0,2,0,,,,,,,,,,,,0,0,12.0,1
Alec Bohm,IF,PHI,Hitter Fantasy Score,5.5,CHC,base,Mon 6:45 PM,0,0,1,0,2,1,0,5,0,0,0,0,0,5,0,0,0,2,0,,,,,,,,,,,,0,0,6.0,1
Seiya Suzuki,OF,CHC,Hitter Fantasy Score,5.5,PHI,base,Mon 6:45 PM,0,0,1,0,1,0,0,5,0,0,0,0,0,5,0,0,0,1,0,,,,,,,,,,,,0,0,3.0,0
Edmundo Sosa,IF,PHI,Hitter Fantasy Score,4.5,CHC,base,Mon 6:45 PM,0,0,0,0,1,1,0,3,0,0,0,0,0,3,0,0,0,1,0,,,,,,,,,,,,0,0,3.0,0
Trea Turner,IF,PHI,Hitter Fantasy Score,7.5,CHC,base,Mon 6:45 PM,1,0,0,0,1,0,0,5,0,0,0,0,0,4,0,0,0,1,0,,,,,,,,,,,,0,0,5.0,0
Johan Rojas,OF,PHI,Hitter Fantasy Score,3.0,CHC,base,Mon 6:45 PM,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Weston Wilson,OF,PHI,Hitter Fantasy Score,3.0,CHC,base,Mon 6:45 PM,0,1,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,,,,,,,,,,,,0,0,5.0,1
Pete Crow-Armstrong,OF,CHC,Hitter Fantasy Score,5.0,PHI,base,Mon 6:45 PM,0,1,1,0,1,0,0,5,0,1,0,0,0,5,0,0,0,2,1,,,,,,,,,,,,0,0,7.0,1
Kyle Tucker,OF,CHC,Hitter Fantasy Score,5.5,PHI,base,Mon 6:45 PM,0,1,1,0,1,0,0,5,1,1,0,2,2,3,0,0,0,4,0,,,,,,,,,,,,0,0,20.0,1
Matt Shaw,IF,CHC,Hitter Fantasy Score,3.5,PHI,base,Mon 6:45 PM,0,0,0,0,1,0,0,4,0,0,0,0,0,4,0,0,0,1,0,,,,,,,,,,,,0,0,3.0,0
Reese Mcguire,C,CHC,Hitter Fantasy Score,3.5,PHI,base,Mon 6:45 PM,0,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,1,0,,,,,,,,,,,,0,0,3.0,0
Jarren Duran,OF,BOS,Total Bases,1.5,TB,base,Mon 7:10 PM,0,0,2,0,1,0,0,6,0,1,0,1,0,6,0,0,0,2,1,,,,,,,,,,,,0,0,2.0,1
Trevor Story,IF,BOS,Hits+Runs+RBIs,1.5,TB,base,Mon 7:10 PM,0,1,2,0,2,0,0,6,0,0,0,0,0,6,1,0,0,2,0,,,,,,,,,,,,0,0,3.0,1
Wilyer Abreu,OF,BOS,Hits+Runs+RBIs,1.5,TB,base,Mon 7:10 PM,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Ceddanne Rafaela,IF,BOS,Hits+Runs+RBIs,1.5,TB,base,Mon 7:10 PM,0,0,1,0,2,0,0,6,0,0,0,1,1,5,1,0,0,2,0,,,,,,,,,,,,0,0,3.0,1
Jake Mangum,OF,TB,Hitter Strikeouts,0.5,BOS,base,Mon 7:10 PM,0,2,1,0,4,0,0,6,0,0,0,0,0,6,0,0,0,4,0,,,,,,,,,,,,0,0,1.0,1
Carlos Narvaez,C,BOS,Hits+Runs+RBIs,1.5,TB,base,Mon 7:10 PM,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Abraham Toro,IF,BOS,Hits+Runs+RBIs,1.5,TB,base,Mon 7:10 PM,1,1,1,0,1,0,0,6,0,1,0,2,0,5,0,0,0,2,1,,,,,,,,,,,,0,0,4.0,1
Yandy Diaz,IF,TB,Hitter Fantasy Score,6.5,BOS,base,Mon 7:10 PM,0,0,1,0,2,0,0,6,0,0,0,2,2,4,0,0,1,2,0,,,,,,,,,,,,0,0,14.0,1
