Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time
Christian Encarnacion-Strand,IF,CIN,Hitter Fantasy Score,5.5,CLE,base,Tue 6:40 PM
Johnathan Rodriguez,OF,CLE,Hitter Fantasy Score,3.5,CIN,base,Tue 6:40 PM
Angel Martinez,OF,CLE,Hitter Fantasy Score,3.0,CIN,base,Tue 6:40 PM
Carlos Santana,IF,CLE,Hitter Fantasy Score,5.0,CIN,base,Tue 6:40 PM
Gavin Lux,IF,CIN,Hitter Fantasy Score,5.5,CLE,base,Tue 6:40 PM
Bryan Reynolds,OF,PIT,Hitter Fantasy Score,5.5,MIA,base,Tue 6:40 PM
Oneil Cruz,OF,PIT,Hitter Fantasy Score,7.5,MIA,base,Tue 6:40 PM
Jesus Sanchez,OF,MIA,Hitter Fantasy Score,6.5,PIT,base,Tue 6:40 PM
Andrew McCutchen,OF,PIT,Hitter Fantasy Score,5.5,MIA,base,Tue 6:40 PM
Xavier Edwards,IF,MIA,Hitter Fantasy Score,7.5,PIT,base,Tue 6:40 PM
Otto Lopez,IF,MIA,Hitter Fantasy Score,5.5,PIT,base,Tue 6:40 PM
Spencer Horwitz,IF,PIT,Hitter Fantasy Score,5.0,MIA,base,Tue 6:40 PM
Kyle Schwarber,DH,PHI,Walks,0.5,CHC,base,Tue 6:45 PM
Ian Happ,OF,CHC,Hits+Runs+RBIs,1.5,PHI,base,Tue 6:45 PM
Ian Happ,OF,CHC,Runs,0.5,PHI,base,Tue 6:45 PM
Jt Realmuto,C,PHI,Hits+Runs+RBIs,1.5,CHC,base,Tue 6:45 PM
Seiya Suzuki,OF,CHC,Runs,0.5,PHI,base,Tue 6:45 PM
Seiya Suzuki,OF,CHC,Total Bases,1.5,PHI,base,Tue 6:45 PM
Nico Hoerner,IF,CHC,Hits+Runs+RBIs,1.5,PHI,base,Tue 6:45 PM
Bryson Stott,IF,PHI,Hitter Strikeouts,0.5,CHC,base,Tue 6:45 PM
Trea Turner,IF,PHI,Total Bases,1.5,CHC,base,Tue 6:45 PM
Trea Turner,IF,PHI,Runs,0.5,CHC,base,Tue 6:45 PM
Dansby Swanson,IF,CHC,Hits+Runs+RBIs,1.5,PHI,base,Tue 6:45 PM
Michael Busch,IF,CHC,Hits+Runs+RBIs,1.5,PHI,base,Tue 6:45 PM
Colin Rea,P,CHC,Pitching Outs,15.5,PHI,base,Tue 6:45 PM
Colin Rea,P,CHC,Pitcher Strikeouts,4.0,PHI,base,Tue 6:45 PM
Colin Rea,P,CHC,Pitcher Fantasy Score,20.5,PHI,base,Tue 6:45 PM
Kyle Tucker,OF,CHC,Total Bases,1.5,PHI,base,Tue 6:45 PM
Max Kepler,OF,PHI,Hits+Runs+RBIs,1.5,CHC,base,Tue 6:45 PM
Mick Abel,P,PHI,Pitcher Fantasy Score,22.5,CHC,base,Tue 6:45 PM
Mick Abel,P,PHI,Earned Runs Allowed,2.5,CHC,base,Tue 6:45 PM
Mick Abel,P,PHI,Pitcher Strikeouts,4.5,CHC,base,Tue 6:45 PM
Kyle Schwarber,DH,PHI,Hitter Fantasy Score,7.5,CHC,base,Tue 6:45 PM
Nick Castellanos,OF,PHI,Hitter Fantasy Score,5.5,CHC,base,Tue 6:45 PM
Ian Happ,OF,CHC,Hitter Fantasy Score,7.0,PHI,base,Tue 6:45 PM
Alec Bohm,IF,PHI,Hitter Fantasy Score,5.5,CHC,base,Tue 6:45 PM
Seiya Suzuki,OF,CHC,Hitter Fantasy Score,6.5,PHI,base,Tue 6:45 PM
Bryson Stott,IF,PHI,Hitter Fantasy Score,4.5,CHC,base,Tue 6:45 PM
Brandon Marsh,OF,PHI,Hitter Fantasy Score,3.0,CHC,base,Tue 6:45 PM
Trea Turner,IF,PHI,Hitter Fantasy Score,8.5,CHC,base,Tue 6:45 PM
Pete Crow-Armstrong,OF,CHC,Hitter Fantasy Score,7.5,PHI,base,Tue 6:45 PM
Kyle Tucker,OF,CHC,Hitter Fantasy Score,8.0,PHI,base,Tue 6:45 PM
Max Kepler,OF,PHI,Hitter Fantasy Score,4.0,CHC,base,Tue 6:45 PM
Yandy Diaz,IF,TB,Total Bases,1.5,BOS,base,Tue 7:10 PM
Yandy Diaz,IF,TB,Runs,0.5,BOS,base,Tue 7:10 PM
Rafael Devers,IF,BOS,Hits+Runs+RBIs,1.5,TB,base,Tue 7:10 PM
Rafael Devers,IF,BOS,Runs,0.5,TB,base,Tue 7:10 PM
Josh Lowe,OF,TB,Runs,0.5,BOS,base,Tue 7:10 PM
Jarren Duran,OF,BOS,Total Bases,1.5,TB,base,Tue 7:10 PM
Jarren Duran,OF,BOS,Runs,0.5,TB,base,Tue 7:10 PM
Trevor Story,IF,BOS,Hits+Runs+RBIs,1.5,TB,base,Tue 7:10 PM
Brandon Lowe,IF,TB,Runs,0.5,BOS,base,Tue 7:10 PM
Junior Caminero,IF,TB,Total Bases,1.5,BOS,base,Tue 7:10 PM
