Player,MLB_ID,fastball_velo,fastball_spin,hard_hit_pct,barrel_pct,gb_pct,fb_pct,ld_pct
Sawyer Gipson-Long,687830,93.29,2316.0,0.571,0.0,0.333,0.143,0.429
Wade Miley,489119,91.04,2324.0,0.375,0.0,0.333,0.208,0.375
Zack Wheeler,554430,96.62,2518.0,0.538,0.0,0.154,0.385,0.385
Jose Berrios,621244,93.3,2077.0,0.289,0.0,0.342,0.211,0.263
Austin Gomber,596295,,,,,,,
Grant Holmes,656550,95.04,2322.0,0.632,0.0,0.474,0.263,0.263
Brayan Bello,678394,95.27,2202.0,0.324,0.0,0.514,0.216,0.135
Max Fried,608331,94.03,2309.0,0.25,0.0,0.531,0.094,0.188
Cade Povich,700249,92.53,2356.0,0.5,0.0,0.393,0.25,0.286
Yusei Kikuchi,579328,94.85,2266.0,0.559,0.0,0.382,0.324,0.206
Eury Perez,516811,,,,,,,
Shane Baz,669358,96.82,2461.0,0.222,0.0,0.556,0.259,0.185
Griffin Canning,656288,94.35,2124.0,0.452,0.0,0.323,0.323,0.29
Miles Mikolas,571945,92.54,2245.0,0.366,0.0,0.439,0.293,0.171
Quinn Priester,682990,,,0.357,0.0,0.536,0.143,0.25
Noah Cameron,702070,92.53,2263.0,0.485,0.0,0.455,0.333,0.152
Brandon Walter,687888,92.15,2240.0,0.579,0.0,0.632,0.105,0.263
Mitch Keller,656605,94.5,2445.0,0.395,0.0,0.581,0.186,0.116
Colin Rea,607067,93.97,2140.0,0.529,0.0,0.382,0.206,0.324
Kumar Rocker,677958,98.1,2301.0,0.545,0.0,0.364,0.364,0.273
Aaron Civale,650644,92.49,2465.0,0.31,0.0,0.31,0.31,0.276
Merrill Kelly,518876,91.92,2357.0,0.56,0.0,0.32,0.24,0.4
Nick Pivetta,601713,93.53,2314.0,0.394,0.0,0.303,0.333,0.242
Emerson Hancock,676106,94.83,2322.0,0.5,0.0,0.393,0.286,0.214
Luis L Ortiz,682847,97.46,2323.0,0.519,0.0,0.556,0.185,0.222
Dustin May,669160,95.38,2332.0,0.353,0.0,0.265,0.294,0.294
Kyle Harrison,690986,94.8,2306.0,0.367,0.0,0.333,0.3,0.3
