Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9,FG_ID,K%,BB%,K-BB%,AVG Against,WHIP,BABIP,LOB%,ERA-,FIP-,FIP,Four Seamer,Changeup,Slider,Curveball,Sinker,Cutter,Split Finger,Sweeper,Knuckle Curve,Slurve,Heart_Count,Heart_Pct,Shadow_Count,Shadow_Pct,Chase_Count,Chase_Pct,Waste_Count,Waste_Pct,15_day_fastball_velo,15_day_fastball_spin,15_day_hard_hit_pct,15_day_barrel_pct,15_day_gb_pct,15_day_fb_pct,15_day_ld_pct,30_day_fastball_velo,30_day_fastball_spin,30_day_hard_hit_pct,30_day_barrel_pct,30_day_gb_pct,30_day_fb_pct,30_day_ld_pct,DEC,TBF,ER,IP,SHO,ERA_y,GF,CG,GS,WP,SV,Pitches Thrown,Pitching Outs,Actual Stat,Hit
michael lorenzen,P,KC,Hits Allowed,5.5,OAK,base,Sat 4:10 PM,13,4,6,4.94,61,7.73,2.79,2.77,1.65,9.63,14843.0,19.7%,7.1%,12.6%,0.267,1.38,0.299,72.1%,118.0,117.0,4.75,26.1%,18.4%,11.2%,13.9%,12.5%,10.6%,,7.4%,,,321.0,0.272,514.0,0.435,251.0,0.213,95.0,0.08,94.08,2323.0,0.44,0.0,0.28,0.36,0.24,94.02,2318.0,0.475,0.0,0.361,0.311,0.23,,,,,,,,,,,,,,,
zac gallen,P,AZ,Pitcher Fantasy Score,28.5,SD,base,Sat 7:15 PM,14,4,8,5.15,75,8.4,4.03,2.08,1.57,7.95,19291.0,21.7%,10.4%,11.3%,0.231,1.33,0.26,67.1%,126.0,127.0,4.89,46.6%,14.2%,8.7%,,,7.2%,,,23.3%,,337.0,0.254,578.0,0.435,343.0,0.258,70.0,0.053,93.66,2309.0,0.462,0.0,0.487,0.359,0.154,93.21,2323.0,0.512,0.0,0.442,0.337,0.209,,27.0,4.0,6.1,0.0,5.68,0.0,0.0,1.0,0.0,0.0,96.0,19.0,25.0,0.0
zac gallen,P,AZ,Pitches Thrown,93.5,SD,base,Sat 7:15 PM,14,4,8,5.15,75,8.4,4.03,2.08,1.57,7.95,19291.0,21.7%,10.4%,11.3%,0.231,1.33,0.26,67.1%,126.0,127.0,4.89,46.6%,14.2%,8.7%,,,7.2%,,,23.3%,,337.0,0.254,578.0,0.435,343.0,0.258,70.0,0.053,93.66,2309.0,0.462,0.0,0.487,0.359,0.154,93.21,2323.0,0.512,0.0,0.442,0.337,0.209,,27.0,4.0,6.1,0.0,5.68,0.0,0.0,1.0,0.0,0.0,96.0,19.0,96.0,1.0
zac gallen,P,AZ,Earned Runs Allowed,2.5,SD,base,Sat 7:15 PM,14,4,8,5.15,75,8.4,4.03,2.08,1.57,7.95,19291.0,21.7%,10.4%,11.3%,0.231,1.33,0.26,67.1%,126.0,127.0,4.89,46.6%,14.2%,8.7%,,,7.2%,,,23.3%,,337.0,0.254,578.0,0.435,343.0,0.258,70.0,0.053,93.66,2309.0,0.462,0.0,0.487,0.359,0.154,93.21,2323.0,0.512,0.0,0.442,0.337,0.209,,27.0,4.0,6.1,0.0,5.68,0.0,0.0,1.0,0.0,0.0,96.0,19.0,4.0,1.0
zac gallen,P,AZ,Pitcher Strikeouts,4.0,SD,base,Sat 7:15 PM,14,4,8,5.15,75,8.4,4.03,2.08,1.57,7.95,19291.0,21.7%,10.4%,11.3%,0.231,1.33,0.26,67.1%,126.0,127.0,4.89,46.6%,14.2%,8.7%,,,7.2%,,,23.3%,,337.0,0.254,578.0,0.435,343.0,0.258,70.0,0.053,93.66,2309.0,0.462,0.0,0.487,0.359,0.154,93.21,2323.0,0.512,0.0,0.442,0.337,0.209,,27.0,4.0,6.1,0.0,5.68,0.0,0.0,1.0,0.0,0.0,96.0,19.0,6.0,1.0
ryan bergert,P,SD,Pitcher Strikeouts,3.0,AZ,base,Sat 7:15 PM,6,1,0,1.26,8,5.02,3.77,1.33,0.63,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,3.0,5.0,0.0,5.4,0.0,0.0,1.0,0.0,0.0,90.0,15.0,8.0,1.0
ryan bergert,P,SD,Pitching Outs,14.5,AZ,base,Sat 7:15 PM,6,1,0,1.26,8,5.02,3.77,1.33,0.63,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,3.0,5.0,0.0,5.4,0.0,0.0,1.0,0.0,0.0,90.0,15.0,15.0,1.0
ryan bergert,P,SD,Hits Allowed,5.5,AZ,base,Sat 7:15 PM,6,1,0,1.26,8,5.02,3.77,1.33,0.63,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carlos rodon,P,NYY,Pitcher Strikeouts,7.0,BOS,base,Sat 7:15 PM,14,8,4,2.87,103,10.95,3.19,3.43,1.06,5.31,16137.0,31.0%,9.0%,22.0%,0.166,0.94,0.213,77.6%,72.0,78.0,3.28,41.0%,15.6%,28.6%,6.5%,8.3%,,,,,,308.0,0.227,590.0,0.434,316.0,0.233,145.0,0.107,94.6,2330.0,0.333,0.0,0.433,0.267,0.167,94.45,2329.0,0.358,0.0,0.388,0.299,0.224,L,24.0,3.0,5.0,0.0,5.4,0.0,0.0,1.0,0.0,0.0,92.0,15.0,4.0,0.0
carlos rodon,P,NYY,Pitches Thrown,94.5,BOS,base,Sat 7:15 PM,14,8,4,2.87,103,10.95,3.19,3.43,1.06,5.31,16137.0,31.0%,9.0%,22.0%,0.166,0.94,0.213,77.6%,72.0,78.0,3.28,41.0%,15.6%,28.6%,6.5%,8.3%,,,,,,308.0,0.227,590.0,0.434,316.0,0.233,145.0,0.107,94.6,2330.0,0.333,0.0,0.433,0.267,0.167,94.45,2329.0,0.358,0.0,0.388,0.299,0.224,L,24.0,3.0,5.0,0.0,5.4,0.0,0.0,1.0,0.0,0.0,92.0,15.0,92.0,0.0
carlos rodon,P,NYY,Hits Allowed,4.5,BOS,base,Sat 7:15 PM,14,8,4,2.87,103,10.95,3.19,3.43,1.06,5.31,16137.0,31.0%,9.0%,22.0%,0.166,0.94,0.213,77.6%,72.0,78.0,3.28,41.0%,15.6%,28.6%,6.5%,8.3%,,,,,,308.0,0.227,590.0,0.434,316.0,0.233,145.0,0.107,94.6,2330.0,0.333,0.0,0.433,0.267,0.167,94.45,2329.0,0.358,0.0,0.388,0.299,0.224,,,,,,,,,,,,,,,
carlos rodon,P,NYY,Pitcher Fantasy Score,39.5,BOS,base,Sat 7:15 PM,14,8,4,2.87,103,10.95,3.19,3.43,1.06,5.31,16137.0,31.0%,9.0%,22.0%,0.166,0.94,0.213,77.6%,72.0,78.0,3.28,41.0%,15.6%,28.6%,6.5%,8.3%,,,,,,308.0,0.227,590.0,0.434,316.0,0.233,145.0,0.107,94.6,2330.0,0.333,0.0,0.433,0.267,0.167,94.45,2329.0,0.358,0.0,0.388,0.299,0.224,L,24.0,3.0,5.0,0.0,5.4,0.0,0.0,1.0,0.0,0.0,92.0,15.0,18.0,0.0
hunter dobbins,P,BOS,Earned Runs Allowed,2.5,NYY,base,Sat 7:15 PM,10,3,1,4.2,37,6.75,1.82,3.7,1.09,9.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,21.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82.0,18.0,0.0,0.0
hunter dobbins,P,BOS,Pitcher Strikeouts,4.0,NYY,base,Sat 7:15 PM,10,3,1,4.2,37,6.75,1.82,3.7,1.09,9.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,21.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82.0,18.0,5.0,1.0
george kirby,P,SEA,Pitcher Fantasy Score,33.5,CLE,base,Sat 9:40 PM,4,1,3,6.53,25,10.89,1.74,6.25,1.74,10.02,25436.0,28.4%,4.5%,23.9%,0.28,1.31,0.358,59.8%,174.0,103.0,4.04,33.4%,,23.5%,,24.6%,,9.1%,,9.4%,,102.0,0.299,159.0,0.466,66.0,0.194,14.0,0.041,96.46,2224.0,0.481,0.0,0.481,0.259,0.222,96.21,2222.0,0.5,0.0,0.423,0.212,0.346,,22.0,2.0,5.0,0.0,3.6,0.0,0.0,1.0,0.0,0.0,101.0,15.0,24.0,0.0
george kirby,P,SEA,Pitches Thrown,94.5,CLE,base,Sat 9:40 PM,4,1,3,6.53,25,10.89,1.74,6.25,1.74,10.02,25436.0,28.4%,4.5%,23.9%,0.28,1.31,0.358,59.8%,174.0,103.0,4.04,33.4%,,23.5%,,24.6%,,9.1%,,9.4%,,102.0,0.299,159.0,0.466,66.0,0.194,14.0,0.041,96.46,2224.0,0.481,0.0,0.481,0.259,0.222,96.21,2222.0,0.5,0.0,0.423,0.212,0.346,,22.0,2.0,5.0,0.0,3.6,0.0,0.0,1.0,0.0,0.0,101.0,15.0,101.0,1.0
george kirby,P,SEA,Pitcher Strikeouts,5.5,CLE,base,Sat 9:40 PM,4,1,3,6.53,25,10.89,1.74,6.25,1.74,10.02,25436.0,28.4%,4.5%,23.9%,0.28,1.31,0.358,59.8%,174.0,103.0,4.04,33.4%,,23.5%,,24.6%,,9.1%,,9.4%,,102.0,0.299,159.0,0.466,66.0,0.194,14.0,0.041,96.46,2224.0,0.481,0.0,0.481,0.259,0.222,96.21,2222.0,0.5,0.0,0.423,0.212,0.346,,22.0,2.0,5.0,0.0,3.6,0.0,0.0,1.0,0.0,0.0,101.0,15.0,5.0,0.0
tanner bibee,P,CLE,Pitcher Fantasy Score,31.5,SEA,base,Sat 9:40 PM,13,4,6,3.81,62,7.37,2.74,2.7,1.67,8.09,30134.0,19.9%,7.4%,12.5%,0.238,1.2,0.257,80.4%,96.0,120.0,4.83,30.8%,13.2%,,4.1%,14.1%,20.3%,,17.5%,,,354.0,0.286,551.0,0.445,235.0,0.19,99.0,0.08,95.47,2318.0,0.303,0.0,0.455,0.303,0.212,94.65,2286.0,0.369,0.0,0.393,0.298,0.262,,23.0,2.0,5.0,0.0,3.6,0.0,0.0,1.0,0.0,0.0,104.0,15.0,18.0,0.0
tanner bibee,P,CLE,Pitcher Strikeouts,5.5,SEA,base,Sat 9:40 PM,13,4,6,3.81,62,7.37,2.74,2.7,1.67,8.09,30134.0,19.9%,7.4%,12.5%,0.238,1.2,0.257,80.4%,96.0,120.0,4.83,30.8%,13.2%,,4.1%,14.1%,20.3%,,17.5%,,,354.0,0.286,551.0,0.445,235.0,0.19,99.0,0.08,95.47,2318.0,0.303,0.0,0.455,0.303,0.212,94.65,2286.0,0.369,0.0,0.393,0.298,0.262,,23.0,2.0,5.0,0.0,3.6,0.0,0.0,1.0,0.0,0.0,104.0,15.0,3.0,0.0
tanner bibee,P,CLE,Pitches Thrown,95.5,SEA,base,Sat 9:40 PM,13,4,6,3.81,62,7.37,2.74,2.7,1.67,8.09,30134.0,19.9%,7.4%,12.5%,0.238,1.2,0.257,80.4%,96.0,120.0,4.83,30.8%,13.2%,,4.1%,14.1%,20.3%,,17.5%,,,354.0,0.286,551.0,0.445,235.0,0.19,99.0,0.08,95.47,2318.0,0.303,0.0,0.455,0.303,0.212,94.65,2286.0,0.369,0.0,0.393,0.298,0.262,,23.0,2.0,5.0,0.0,3.6,0.0,0.0,1.0,0.0,0.0,104.0,15.0,104.0,1.0
clayton kershaw,P,LAD,Pitcher Fantasy Score,23.5,SF,base,Sat 10:10 PM,5,1,0,4.35,15,6.53,3.92,1.67,0.87,10.02,2036.0,16.5%,9.9%,6.6%,0.28,1.55,0.323,68.5%,110.0,104.0,4.19,38.7%,,39.2%,17.4%,,,4.8%,,,,105.0,0.294,138.0,0.387,81.0,0.227,33.0,0.092,89.44,2323.0,0.581,0.0,0.419,0.194,0.226,89.24,2302.0,0.538,0.0,0.431,0.185,0.277,W,24.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81.0,21.0,46.0,1.0
clayton kershaw,P,LAD,Hits Allowed,4.5,SF,base,Sat 10:10 PM,5,1,0,4.35,15,6.53,3.92,1.67,0.87,10.02,2036.0,16.5%,9.9%,6.6%,0.28,1.55,0.323,68.5%,110.0,104.0,4.19,38.7%,,39.2%,17.4%,,,4.8%,,,,105.0,0.294,138.0,0.387,81.0,0.227,33.0,0.092,89.44,2323.0,0.581,0.0,0.419,0.194,0.226,89.24,2302.0,0.538,0.0,0.431,0.185,0.277,,,,,,,,,,,,,,,
clayton kershaw,P,LAD,Pitcher Strikeouts,4.5,SF,base,Sat 10:10 PM,5,1,0,4.35,15,6.53,3.92,1.67,0.87,10.02,2036.0,16.5%,9.9%,6.6%,0.28,1.55,0.323,68.5%,110.0,104.0,4.19,38.7%,,39.2%,17.4%,,,4.8%,,,,105.0,0.294,138.0,0.387,81.0,0.227,33.0,0.092,89.44,2323.0,0.581,0.0,0.419,0.194,0.226,89.24,2302.0,0.538,0.0,0.431,0.185,0.277,W,24.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81.0,21.0,5.0,1.0
landen roupp,P,SF,Pitcher Fantasy Score,19.5,LAD,base,Sat 10:10 PM,13,4,4,3.29,63,8.3,3.16,2.63,0.79,9.09,30076.0,21.2%,8.1%,13.1%,0.254,1.36,0.31,71.3%,83.0,91.0,3.47,0.2%,14.7%,,39.6%,38.4%,7.1%,,,,,263.0,0.235,505.0,0.451,266.0,0.238,85.0,0.076,,,0.343,0.0,0.429,0.314,0.257,91.75,2271.0,0.337,0.0,0.482,0.229,0.253,L,13.0,6.0,1.2,0.0,32.4,0.0,0.0,1.0,0.0,0.0,45.0,5.0,-13.0,0.0
landen roupp,P,SF,Pitcher Strikeouts,4.0,LAD,base,Sat 10:10 PM,13,4,4,3.29,63,8.3,3.16,2.63,0.79,9.09,30076.0,21.2%,8.1%,13.1%,0.254,1.36,0.31,71.3%,83.0,91.0,3.47,0.2%,14.7%,,39.6%,38.4%,7.1%,,,,,263.0,0.235,505.0,0.451,266.0,0.238,85.0,0.076,,,0.343,0.0,0.429,0.314,0.257,91.75,2271.0,0.337,0.0,0.482,0.229,0.253,L,13.0,6.0,1.2,0.0,32.4,0.0,0.0,1.0,0.0,0.0,45.0,5.0,0.0,0.0
