Team,Player,Position,Handedness
Reds,Wade Miley,LHP,left
Tigers,Jahmai Jones,DH,right
Tigers,Gleyber Torres,2B,right
Tigers,Riley Greene,LF,left
Tigers,Dillon Dingler,C,right
Tigers,Spencer Torkelson,1B,right
Tigers,Zach McKinstry,3B,left
Tigers,Wenceel Pérez,RF,switch
Tigers,Javier Báez,SS,right
Tigers,Parker Meadows,CF,left
Tigers,Sawyer Gipson-Long,RHP,right
Angels,Yusei Kikuchi,LHP,left
Orioles,Cade Povich,LHP,left
Blue Jays,José Berríos,RHP,right
Phillies,Zack Wheeler,RHP,right
Rockies,Austin Gomber,LHP,left
Braves,Grant Holmes,RHP,right
Marlins,Eury Pérez,RHP,right
Nationals,MacKenzie Gore,LHP,left
Yankees,Max Fried,LHP,left
Red Sox,Brayan Bello,RHP,right
Rays,Shane Baz,RHP,right
Mets,Griffin Canning,RHP,right
Athletics,Jeffrey Springs,LHP,left
Royals,Noah Cameron,LHP,left
Twins,Simeon Woods Richardson,RHP,right
Astros,Brandon Walter,LHP,left
Cardinals,Miles Mikolas,RHP,right
Brewers,Quinn Priester,RHP,right
Pirates,Mitch Keller,RHP,right
Cubs,Colin Rea,RHP,right
White Sox,Aaron Civale,RHP,right
Rangers,Kumar Rocker,RHP,right
Padres,Nick Pivetta,RHP,right
Diamondbacks,Merrill Kelly,RHP,right
Guardians,Luis L. Ortiz,RHP,right
Mariners,Emerson Hancock,RHP,right
Giants,Kyle Harrison,LHP,left
Dodgers,Dustin May,RHP,right
