Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,RBI,HBP,HR,GIDP,TB,SO,SB,R,H,PA,3B,IBB,BB,SF,XBH,CS,SH,AB,2B,SHO,ER,IP,ERA,WP,SV,GF,DEC,TBF,GS,CG,Pitches Thrown,Pitching Outs,Actual Stat,Hit
michael lorenzen,P,KC,Pitches Thrown,91.5,OAK,base,Sat 4:10 PM,,0,1,,,4,,3,4,,,0,3,,,,,,,0,3,6.0,4.50,0,0,0,L,25,1,0,89,18,89.0,0
michael lorenzen,P,KC,Pitching Outs,17.5,OAK,base,Sat 4:10 PM,,0,1,,,4,,3,4,,,0,3,,,,,,,0,3,6.0,4.50,0,0,0,L,25,1,0,89,18,18.0,1
michael lorenzen,P,KC,Pitcher Strikeouts,4.5,OAK,base,Sat 4:10 PM,,0,1,,,4,,3,4,,,0,3,,,,,,,0,3,6.0,4.50,0,0,0,L,25,1,0,89,18,4.0,0
zac gallen,P,AZ,Pitcher Fantasy Score,28.5,SD,base,Sat 7:15 PM,,0,1,,,6,,4,6,,,0,4,,,,,,,0,4,6.1,5.68,0,0,0,,27,1,0,96,19,25.0,0
zac gallen,P,AZ,Pitches Thrown,93.5,SD,base,Sat 7:15 PM,,0,1,,,6,,4,6,,,0,4,,,,,,,0,4,6.1,5.68,0,0,0,,27,1,0,96,19,96.0,1
zac gallen,P,AZ,Earned Runs Allowed,2.5,SD,base,Sat 7:15 PM,,0,1,,,6,,4,6,,,0,4,,,,,,,0,4,6.1,5.68,0,0,0,,27,1,0,96,19,4.0,1
zac gallen,P,AZ,Pitcher Strikeouts,4.0,SD,base,Sat 7:15 PM,,0,1,,,6,,4,6,,,0,4,,,,,,,0,4,6.1,5.68,0,0,0,,27,1,0,96,19,6.0,1
ryan bergert,P,SD,Pitcher Strikeouts,3.0,AZ,base,Sat 7:15 PM,,0,1,,,8,,3,3,,,0,2,,,,,,,0,3,5.0,5.40,0,0,0,,20,1,0,90,15,8.0,1
ryan bergert,P,SD,Pitching Outs,14.5,AZ,base,Sat 7:15 PM,,0,1,,,8,,3,3,,,0,2,,,,,,,0,3,5.0,5.40,0,0,0,,20,1,0,90,15,15.0,1
carlos rodon,P,NYY,Pitcher Strikeouts,7.0,BOS,base,Sat 7:15 PM,,1,0,,,4,,4,7,,,0,2,,,,,,,0,3,5.0,5.40,0,0,0,L,24,1,0,92,15,4.0,0
carlos rodon,P,NYY,Pitches Thrown,94.5,BOS,base,Sat 7:15 PM,,1,0,,,4,,4,7,,,0,2,,,,,,,0,3,5.0,5.40,0,0,0,L,24,1,0,92,15,92.0,0
carlos rodon,P,NYY,Pitcher Fantasy Score,39.5,BOS,base,Sat 7:15 PM,,1,0,,,4,,4,7,,,0,2,,,,,,,0,3,5.0,5.40,0,0,0,L,24,1,0,92,15,18.0,0
hunter dobbins,P,BOS,Earned Runs Allowed,2.5,NYY,base,Sat 7:15 PM,,0,0,,,5,,0,2,,,0,1,,,,,,,0,0,6.0,0.00,0,0,0,W,21,1,0,82,18,0.0,0
hunter dobbins,P,BOS,Pitcher Strikeouts,4.0,NYY,base,Sat 7:15 PM,,0,0,,,5,,0,2,,,0,1,,,,,,,0,0,6.0,0.00,0,0,0,W,21,1,0,82,18,5.0,1
george kirby,P,SEA,Pitcher Fantasy Score,33.5,CLE,base,Sat 9:40 PM,,0,1,,,5,,2,5,,,0,3,,,,,,,0,2,5.0,3.60,0,0,0,,22,1,0,101,15,24.0,0
george kirby,P,SEA,Pitches Thrown,94.5,CLE,base,Sat 9:40 PM,,0,1,,,5,,2,5,,,0,3,,,,,,,0,2,5.0,3.60,0,0,0,,22,1,0,101,15,101.0,1
george kirby,P,SEA,Pitcher Strikeouts,5.5,CLE,base,Sat 9:40 PM,,0,1,,,5,,2,5,,,0,3,,,,,,,0,2,5.0,3.60,0,0,0,,22,1,0,101,15,5.0,0
tanner bibee,P,CLE,Pitcher Fantasy Score,31.5,SEA,base,Sat 9:40 PM,,2,0,,,3,,2,4,,,0,3,,,,,,,0,2,5.0,3.60,0,0,0,,23,1,0,104,15,18.0,0
tanner bibee,P,CLE,Pitcher Strikeouts,5.5,SEA,base,Sat 9:40 PM,,2,0,,,3,,2,4,,,0,3,,,,,,,0,2,5.0,3.60,0,0,0,,23,1,0,104,15,3.0,0
tanner bibee,P,CLE,Pitches Thrown,95.5,SEA,base,Sat 9:40 PM,,2,0,,,3,,2,4,,,0,3,,,,,,,0,2,5.0,3.60,0,0,0,,23,1,0,104,15,104.0,1
clayton kershaw,P,LAD,Pitcher Fantasy Score,23.5,SF,base,Sat 10:10 PM,,0,0,,,5,,0,3,,,0,1,,,,,,,0,0,7.0,0.00,0,0,0,W,24,1,0,81,21,46.0,1
clayton kershaw,P,LAD,Pitcher Strikeouts,4.5,SF,base,Sat 10:10 PM,,0,0,,,5,,0,3,,,0,1,,,,,,,0,0,7.0,0.00,0,0,0,W,24,1,0,81,21,5.0,1
landen roupp,P,SF,Pitcher Fantasy Score,19.5,LAD,base,Sat 10:10 PM,,0,1,,,0,,6,4,,,1,5,,,,,,,0,6,1.2,32.40,0,0,0,L,13,1,0,45,5,-13.0,0
landen roupp,P,SF,Pitcher Strikeouts,4.0,LAD,base,Sat 10:10 PM,,0,1,,,0,,6,4,,,1,5,,,,,,,0,6,1.2,32.40,0,0,0,L,13,1,0,45,5,0.0,0
