Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9,FG_ID,K%,BB%,K-BB%,AVG Against,WHIP,BABIP,LOB%,ERA-,FIP-,FIP,Four Seamer,Changeup,Slider,Sinker,Cutter,Curveball,Sweeper,Split Finger,Slurve,Knuckle Curve,Slow Curve,Heart_Count,Heart_Pct,Shadow_Count,Shadow_Pct,Chase_Count,Chase_Pct,Waste_Count,Waste_Pct,15_day_fastball_velo,15_day_fastball_spin,15_day_hard_hit_pct,15_day_barrel_pct,15_day_gb_pct,15_day_fb_pct,15_day_ld_pct,30_day_fastball_velo,30_day_fastball_spin,30_day_hard_hit_pct,30_day_barrel_pct,30_day_gb_pct,30_day_fb_pct,30_day_ld_pct
aaron civale,P,CWS,Pitcher Strikeouts,4.0,TEX,base,Sun 2:35 PM,5.0,1.0,2.0,4.91,19.0,7.77,2.86,2.71,2.05,9.41,19479.0,20.2%,7.4%,12.8%,0.271,1.36,0.295,80.0%,121.0,137.0,5.53,14.0%,,5.4%,25.1%,37.0%,13.0%,2.6%,2.8%,,,,115.0,0.298,167.0,0.433,86.0,0.223,18.0,0.047,92.49,2465.0,0.31,0.0,0.31,0.31,0.276,92.25,2439.0,0.321,0.0,0.264,0.377,0.245
merrill kelly,P,AZ,Pitcher Strikeouts,4.5,SD,base,Sun 4:10 PM,14.0,6.0,2.0,3.18,79.0,8.67,2.3,3.76,0.88,6.59,11156.0,24.4%,6.5%,17.9%,0.199,0.99,0.242,70.6%,78.0,84.0,3.22,24.6%,24.1%,7.6%,13.1%,19.3%,11.3%,,,,,,307.0,0.242,571.0,0.449,321.0,0.253,72.0,0.057,91.92,2357.0,0.56,0.0,0.32,0.24,0.4,92.02,2365.0,0.545,0.0,0.455,0.197,0.273
merrill kelly,P,AZ,Pitches Thrown,95.5,SD,base,Sun 4:10 PM,14.0,6.0,2.0,3.18,79.0,8.67,2.3,3.76,0.88,6.59,11156.0,24.4%,6.5%,17.9%,0.199,0.99,0.242,70.6%,78.0,84.0,3.22,24.6%,24.1%,7.6%,13.1%,19.3%,11.3%,,,,,,307.0,0.242,571.0,0.449,321.0,0.253,72.0,0.057,91.92,2357.0,0.56,0.0,0.32,0.24,0.4,92.02,2365.0,0.545,0.0,0.455,0.197,0.273
nick pivetta,P,SD,Pitches Thrown,91.5,AZ,base,Sun 4:10 PM,13.0,6.0,2.0,3.48,79.0,9.83,2.61,3.76,1.0,7.34,15454.0,26.9%,7.1%,19.7%,0.217,1.11,0.276,73.1%,90.0,82.0,3.24,48.3%,,0.9%,3.3%,7.7%,21.5%,18.3%,,,,,350.0,0.309,505.0,0.445,216.0,0.19,63.0,0.056,93.53,2314.0,0.394,0.0,0.303,0.333,0.242,93.53,2301.0,0.395,0.0,0.342,0.316,0.224
nick pivetta,P,SD,Pitcher Strikeouts,5.0,AZ,base,Sun 4:10 PM,13.0,6.0,2.0,3.48,79.0,9.83,2.61,3.76,1.0,7.34,15454.0,26.9%,7.1%,19.7%,0.217,1.11,0.276,73.1%,90.0,82.0,3.24,48.3%,,0.9%,3.3%,7.7%,21.5%,18.3%,,,,,350.0,0.309,505.0,0.445,216.0,0.19,63.0,0.056,93.53,2314.0,0.394,0.0,0.303,0.333,0.242,93.53,2301.0,0.395,0.0,0.342,0.316,0.224
nick pivetta,P,SD,Pitching Outs,17.5,AZ,base,Sun 4:10 PM,13.0,6.0,2.0,3.48,79.0,9.83,2.61,3.76,1.0,7.34,15454.0,26.9%,7.1%,19.7%,0.217,1.11,0.276,73.1%,90.0,82.0,3.24,48.3%,,0.9%,3.3%,7.7%,21.5%,18.3%,,,,,350.0,0.309,505.0,0.445,216.0,0.19,63.0,0.056,93.53,2314.0,0.394,0.0,0.303,0.333,0.242,93.53,2301.0,0.395,0.0,0.342,0.316,0.224
nick pivetta,P,SD,Earned Runs Allowed,2.5,AZ,base,Sun 4:10 PM,13.0,6.0,2.0,3.48,79.0,9.83,2.61,3.76,1.0,7.34,15454.0,26.9%,7.1%,19.7%,0.217,1.11,0.276,73.1%,90.0,82.0,3.24,48.3%,,0.9%,3.3%,7.7%,21.5%,18.3%,,,,,350.0,0.309,505.0,0.445,216.0,0.19,63.0,0.056,93.53,2314.0,0.394,0.0,0.303,0.333,0.242,93.53,2301.0,0.395,0.0,0.342,0.316,0.224
emerson hancock,P,SEA,Pitching Outs,15.5,CLE,base,Sun 4:10 PM,11.0,2.0,2.0,5.04,41.0,6.67,3.25,2.05,1.63,10.25,27470.0,17.1%,8.3%,8.8%,0.289,1.5,0.317,76.1%,134.0,131.0,5.13,26.3%,22.5%,13.4%,35.6%,,,2.2%,,,,,236.0,0.268,379.0,0.43,186.0,0.211,80.0,0.091,94.83,2322.0,0.5,0.0,0.393,0.286,0.214,95.04,2373.0,0.387,0.0,0.413,0.253,0.253
emerson hancock,P,SEA,Pitcher Strikeouts,3.5,CLE,base,Sun 4:10 PM,11.0,2.0,2.0,5.04,41.0,6.67,3.25,2.05,1.63,10.25,27470.0,17.1%,8.3%,8.8%,0.289,1.5,0.317,76.1%,134.0,131.0,5.13,26.3%,22.5%,13.4%,35.6%,,,2.2%,,,,,236.0,0.268,379.0,0.43,186.0,0.211,80.0,0.091,94.83,2322.0,0.5,0.0,0.393,0.286,0.214,95.04,2373.0,0.387,0.0,0.413,0.253,0.253
luis l ortiz,P,CLE,Pitching Outs,16.5,SEA,base,Sun 4:10 PM,13.0,3.0,7.0,4.26,76.0,9.82,4.39,2.24,1.16,8.66,27646.0,25.2%,11.3%,13.9%,0.25,1.45,0.317,75.8%,108.0,100.0,4.04,29.4%,12.0%,26.8%,18.2%,13.6%,,,,,,,334.0,0.278,515.0,0.428,268.0,0.223,86.0,0.071,97.46,2323.0,0.519,0.0,0.556,0.185,0.222,96.81,2307.0,0.521,0.0,0.563,0.141,0.268
luis l ortiz,P,CLE,Pitches Thrown,91.5,SEA,base,Sun 4:10 PM,13.0,3.0,7.0,4.26,76.0,9.82,4.39,2.24,1.16,8.66,27646.0,25.2%,11.3%,13.9%,0.25,1.45,0.317,75.8%,108.0,100.0,4.04,29.4%,12.0%,26.8%,18.2%,13.6%,,,,,,,334.0,0.278,515.0,0.428,268.0,0.223,86.0,0.071,97.46,2323.0,0.519,0.0,0.556,0.185,0.222,96.81,2307.0,0.521,0.0,0.563,0.141,0.268
luis l ortiz,P,CLE,Pitcher Strikeouts,5.0,SEA,base,Sun 4:10 PM,13.0,3.0,7.0,4.26,76.0,9.82,4.39,2.24,1.16,8.66,27646.0,25.2%,11.3%,13.9%,0.25,1.45,0.317,75.8%,108.0,100.0,4.04,29.4%,12.0%,26.8%,18.2%,13.6%,,,,,,,334.0,0.278,515.0,0.428,268.0,0.223,86.0,0.071,97.46,2323.0,0.519,0.0,0.556,0.185,0.222,96.81,2307.0,0.521,0.0,0.563,0.141,0.268
dustin may,P,LAD,Pitches Thrown,89.5,SF,base,Sun 7:10 PM,12.0,3.0,4.0,4.45,64.0,8.64,3.51,2.46,1.08,8.24,19716.0,22.5%,9.1%,13.3%,0.24,1.31,0.291,68.1%,112.0,102.0,4.11,14.5%,,,39.4%,5.1%,,41.0%,,,,,308.0,0.292,434.0,0.411,230.0,0.218,84.0,0.08,95.38,2332.0,0.353,0.0,0.265,0.294,0.294,95.38,2328.0,0.397,0.0,0.368,0.279,0.265
dustin may,P,LAD,Pitcher Strikeouts,5.0,SF,base,Sun 7:10 PM,12.0,3.0,4.0,4.45,64.0,8.64,3.51,2.46,1.08,8.24,19716.0,22.5%,9.1%,13.3%,0.24,1.31,0.291,68.1%,112.0,102.0,4.11,14.5%,,,39.4%,5.1%,,41.0%,,,,,308.0,0.292,434.0,0.411,230.0,0.218,84.0,0.08,95.38,2332.0,0.353,0.0,0.265,0.294,0.294,95.38,2328.0,0.397,0.0,0.368,0.279,0.265
kyle harrison,P,SF,Pitcher Strikeouts,4.5,LAD,base,Sun 7:10 PM,8.0,1.0,1.0,4.56,25.0,9.51,3.42,2.78,1.52,7.99,27758.0,25.0%,9.0%,16.0%,0.231,1.27,0.274,73.8%,116.0,112.0,4.3,65.2%,9.8%,,,,,,,25.0%,,,119.0,0.307,164.0,0.423,77.0,0.198,28.0,0.072,94.8,2306.0,0.367,0.0,0.333,0.3,0.3,94.96,2297.0,0.491,0.0,0.345,0.273,0.327
