Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9,FG_ID,K%,BB%,K-BB%,AVG Against,WHIP,BABIP,LOB%,ERA-,FIP-,FIP,Four Seamer,Changeup,Slider,Sinker,Cutter,Curveball,Sweeper,Split Finger,Slurve,Knuckle Curve,Slow Curve,Heart_Count,Heart_Pct,Shadow_Count,Shadow_Pct,Chase_Count,Chase_Pct,Waste_Count,Waste_Pct,15_day_fastball_velo,15_day_fastball_spin,15_day_hard_hit_pct,15_day_barrel_pct,15_day_gb_pct,15_day_fb_pct,15_day_ld_pct,30_day_fastball_velo,30_day_fastball_spin,30_day_hard_hit_pct,30_day_barrel_pct,30_day_gb_pct,30_day_fb_pct,30_day_ld_pct
brayan bello,P,BOS,Pitching Outs,15.5,NYY,base,Sun 1:35 PM,10.0,2.0,1.0,3.96,37.0,6.36,4.3,1.48,0.86,9.63,23920.0,15.8%,10.7%,5.1%,0.273,1.55,0.313,75.6%,93.0,112.0,4.56,14.2%,16.2%,1.4%,38.5%,2.5%,,27.1%,,,,,236.0,0.258,386.0,0.422,228.0,0.249,64.0,0.07,95.27,2202.0,0.324,0.0,0.514,0.216,0.135,94.99,2188.0,0.416,0.0,0.494,0.208,0.234
brayan bello,P,BOS,Pitcher Strikeouts,4.0,NYY,base,Sun 1:35 PM,10.0,2.0,1.0,3.96,37.0,6.36,4.3,1.48,0.86,9.63,23920.0,15.8%,10.7%,5.1%,0.273,1.55,0.313,75.6%,93.0,112.0,4.56,14.2%,16.2%,1.4%,38.5%,2.5%,,27.1%,,,,,236.0,0.258,386.0,0.422,228.0,0.249,64.0,0.07,95.27,2202.0,0.324,0.0,0.514,0.216,0.135,94.99,2188.0,0.416,0.0,0.494,0.208,0.234
brayan bello,P,BOS,Pitches Thrown,89.5,NYY,base,Sun 1:35 PM,10.0,2.0,1.0,3.96,37.0,6.36,4.3,1.48,0.86,9.63,23920.0,15.8%,10.7%,5.1%,0.273,1.55,0.313,75.6%,93.0,112.0,4.56,14.2%,16.2%,1.4%,38.5%,2.5%,,27.1%,,,,,236.0,0.258,386.0,0.422,228.0,0.249,64.0,0.07,95.27,2202.0,0.324,0.0,0.514,0.216,0.135,94.99,2188.0,0.416,0.0,0.494,0.208,0.234
brayan bello,P,BOS,Hits Allowed,5.5,NYY,base,Sun 1:35 PM,10.0,2.0,1.0,3.96,37.0,6.36,4.3,1.48,0.86,9.63,23920.0,15.8%,10.7%,5.1%,0.273,1.55,0.313,75.6%,93.0,112.0,4.56,14.2%,16.2%,1.4%,38.5%,2.5%,,27.1%,,,,,236.0,0.258,386.0,0.422,228.0,0.249,64.0,0.07,95.27,2202.0,0.324,0.0,0.514,0.216,0.135,94.99,2188.0,0.416,0.0,0.494,0.208,0.234
max fried,P,NYY,Pitcher Strikeouts,6.0,BOS,base,Sun 1:35 PM,14.0,9.0,1.0,1.84,81.0,8.28,1.84,4.5,0.61,6.55,13743.0,23.4%,5.2%,18.2%,0.198,0.93,0.245,81.2%,46.0,68.0,2.87,42.9%,8.8%,0.5%,18.8%,2.6%,15.0%,11.4%,,,,,370.0,0.28,554.0,0.419,309.0,0.234,90.0,0.068,94.03,2309.0,0.25,0.0,0.531,0.094,0.188,94.22,2321.0,0.385,0.0,0.5,0.154,0.269
max fried,P,NYY,Pitches Thrown,94.5,BOS,base,Sun 1:35 PM,14.0,9.0,1.0,1.84,81.0,8.28,1.84,4.5,0.61,6.55,13743.0,23.4%,5.2%,18.2%,0.198,0.93,0.245,81.2%,46.0,68.0,2.87,42.9%,8.8%,0.5%,18.8%,2.6%,15.0%,11.4%,,,,,370.0,0.28,554.0,0.419,309.0,0.234,90.0,0.068,94.03,2309.0,0.25,0.0,0.531,0.094,0.188,94.22,2321.0,0.385,0.0,0.5,0.154,0.269
cade povich,P,BAL,Earned Runs Allowed,2.5,LAA,base,Sun 1:35 PM,12.0,1.0,5.0,5.46,64.0,9.44,3.25,2.91,1.48,10.48,30055.0,23.7%,8.1%,15.6%,0.287,1.52,0.353,67.5%,140.0,106.0,4.24,36.7%,12.7%,,12.7%,,21.8%,16.1%,,,,,314.0,0.286,445.0,0.406,238.0,0.217,99.0,0.09,92.53,2356.0,0.5,0.0,0.393,0.25,0.286,92.17,2375.0,0.565,0.0,0.387,0.274,0.306
cade povich,P,BAL,Pitcher Strikeouts,5.0,LAA,base,Sun 1:35 PM,12.0,1.0,5.0,5.46,64.0,9.44,3.25,2.91,1.48,10.48,30055.0,23.7%,8.1%,15.6%,0.287,1.52,0.353,67.5%,140.0,106.0,4.24,36.7%,12.7%,,12.7%,,21.8%,16.1%,,,,,314.0,0.286,445.0,0.406,238.0,0.217,99.0,0.09,92.53,2356.0,0.5,0.0,0.393,0.25,0.286,92.17,2375.0,0.565,0.0,0.387,0.274,0.306
yusei kikuchi,P,LAA,Hits Allowed,5.5,BAL,base,Sun 1:35 PM,14.0,2.0,5.0,2.92,68.0,7.95,4.79,1.66,0.94,8.42,20633.0,20.4%,12.3%,8.1%,0.247,1.47,0.296,83.7%,72.0,103.0,4.29,37.0%,13.0%,38.3%,0.9%,,10.3%,0.5%,,,,,377.0,0.284,604.0,0.455,257.0,0.194,90.0,0.068,94.85,2266.0,0.559,0.0,0.382,0.324,0.206,94.91,2220.0,0.436,0.0,0.372,0.308,0.218
yusei kikuchi,P,LAA,Earned Runs Allowed,2.5,BAL,base,Sun 1:35 PM,14.0,2.0,5.0,2.92,68.0,7.95,4.79,1.66,0.94,8.42,20633.0,20.4%,12.3%,8.1%,0.247,1.47,0.296,83.7%,72.0,103.0,4.29,37.0%,13.0%,38.3%,0.9%,,10.3%,0.5%,,,,,377.0,0.284,604.0,0.455,257.0,0.194,90.0,0.068,94.85,2266.0,0.559,0.0,0.382,0.324,0.206,94.91,2220.0,0.436,0.0,0.372,0.308,0.218
yusei kikuchi,P,LAA,Pitcher Strikeouts,6.0,BAL,base,Sun 1:35 PM,14.0,2.0,5.0,2.92,68.0,7.95,4.79,1.66,0.94,8.42,20633.0,20.4%,12.3%,8.1%,0.247,1.47,0.296,83.7%,72.0,103.0,4.29,37.0%,13.0%,38.3%,0.9%,,10.3%,0.5%,,,,,377.0,0.284,604.0,0.455,257.0,0.194,90.0,0.068,94.85,2266.0,0.559,0.0,0.382,0.324,0.206,94.91,2220.0,0.436,0.0,0.372,0.308,0.218
mackenzie gore,P,WSH,Pitches Thrown,94.5,MIA,base,Sun 1:35 PM,14.0,3.0,5.0,2.88,114.0,12.61,2.43,5.18,1.0,7.64,22201.0,34.8%,6.7%,28.0%,0.228,1.12,0.333,83.5%,72.0,66.0,2.63,,,,,,,,,,,,387.0,0.284,576.0,0.422,284.0,0.208,117.0,0.086,,,,,,,,,,,,,,
mackenzie gore,P,WSH,Pitcher Strikeouts,7.0,MIA,base,Sun 1:35 PM,14.0,3.0,5.0,2.88,114.0,12.61,2.43,5.18,1.0,7.64,22201.0,34.8%,6.7%,28.0%,0.228,1.12,0.333,83.5%,72.0,66.0,2.63,,,,,,,,,,,,387.0,0.284,576.0,0.422,284.0,0.208,117.0,0.086,,,,,,,,,,,,,,
mackenzie gore,P,WSH,Hits Allowed,4.5,MIA,base,Sun 1:35 PM,14.0,3.0,5.0,2.88,114.0,12.61,2.43,5.18,1.0,7.64,22201.0,34.8%,6.7%,28.0%,0.228,1.12,0.333,83.5%,72.0,66.0,2.63,,,,,,,,,,,,387.0,0.284,576.0,0.422,284.0,0.208,117.0,0.086,,,,,,,,,,,,,,
mackenzie gore,P,WSH,Walks Allowed,1.5,MIA,base,Sun 1:35 PM,14.0,3.0,5.0,2.88,114.0,12.61,2.43,5.18,1.0,7.64,22201.0,34.8%,6.7%,28.0%,0.228,1.12,0.333,83.5%,72.0,66.0,2.63,,,,,,,,,,,,387.0,0.284,576.0,0.422,284.0,0.208,117.0,0.086,,,,,,,,,,,,,,
eury perez,P,MIA,Pitcher Strikeouts,5.0,WSH,base,Sun 1:35 PM,,,,,,,,,,,27768.0,33.3%,13.3%,20.0%,0.308,2.0,0.5,33.3%,290.0,45.0,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shane baz,P,TB,Pitcher Strikeouts,5.0,NYM,base,Sun 1:40 PM,13.0,5.0,3.0,4.97,65.0,8.28,3.31,2.5,1.66,8.79,22264.0,21.6%,8.6%,13.0%,0.255,1.34,0.29,74.3%,129.0,124.0,4.9,48.1%,13.1%,7.2%,,,,,,,31.5%,,365.0,0.315,489.0,0.423,228.0,0.197,75.0,0.065,96.82,2461.0,0.222,0.0,0.556,0.259,0.185,96.87,2468.0,0.381,0.0,0.536,0.167,0.262
shane baz,P,TB,Pitching Outs,15.5,NYM,base,Sun 1:40 PM,13.0,5.0,3.0,4.97,65.0,8.28,3.31,2.5,1.66,8.79,22264.0,21.6%,8.6%,13.0%,0.255,1.34,0.29,74.3%,129.0,124.0,4.9,48.1%,13.1%,7.2%,,,,,,,31.5%,,365.0,0.315,489.0,0.423,228.0,0.197,75.0,0.065,96.82,2461.0,0.222,0.0,0.556,0.259,0.185,96.87,2468.0,0.381,0.0,0.536,0.167,0.262
griffin canning,P,NYM,Pitcher Strikeouts,5.0,TB,base,Sun 1:40 PM,13.0,6.0,2.0,3.22,61.0,8.53,3.92,2.18,1.12,8.25,19867.0,22.3%,10.2%,12.0%,0.24,1.35,0.288,81.8%,83.0,104.0,4.1,35.5%,24.0%,32.0%,0.7%,2.0%,,,,,5.7%,,301.0,0.268,491.0,0.437,252.0,0.224,80.0,0.071,94.35,2124.0,0.452,0.0,0.323,0.323,0.29,94.29,2148.0,0.47,0.0,0.394,0.288,0.273
griffin canning,P,NYM,Pitches Thrown,90.5,TB,base,Sun 1:40 PM,13.0,6.0,2.0,3.22,61.0,8.53,3.92,2.18,1.12,8.25,19867.0,22.3%,10.2%,12.0%,0.24,1.35,0.288,81.8%,83.0,104.0,4.1,35.5%,24.0%,32.0%,0.7%,2.0%,,,,,5.7%,,301.0,0.268,491.0,0.437,252.0,0.224,80.0,0.071,94.35,2124.0,0.452,0.0,0.323,0.323,0.29,94.29,2148.0,0.47,0.0,0.394,0.288,0.273
griffin canning,P,NYM,Hits Allowed,4.5,TB,base,Sun 1:40 PM,13.0,6.0,2.0,3.22,61.0,8.53,3.92,2.18,1.12,8.25,19867.0,22.3%,10.2%,12.0%,0.24,1.35,0.288,81.8%,83.0,104.0,4.1,35.5%,24.0%,32.0%,0.7%,2.0%,,,,,5.7%,,301.0,0.268,491.0,0.437,252.0,0.224,80.0,0.071,94.35,2124.0,0.452,0.0,0.323,0.323,0.29,94.29,2148.0,0.47,0.0,0.394,0.288,0.273
griffin canning,P,NYM,Pitching Outs,17.5,TB,base,Sun 1:40 PM,13.0,6.0,2.0,3.22,61.0,8.53,3.92,2.18,1.12,8.25,19867.0,22.3%,10.2%,12.0%,0.24,1.35,0.288,81.8%,83.0,104.0,4.1,35.5%,24.0%,32.0%,0.7%,2.0%,,,,,5.7%,,301.0,0.268,491.0,0.437,252.0,0.224,80.0,0.071,94.35,2124.0,0.452,0.0,0.323,0.323,0.29,94.29,2148.0,0.47,0.0,0.394,0.288,0.273
miles mikolas,P,STL,Pitcher Strikeouts,3.0,MIL,base,Sun 2:10 PM,13.0,4.0,3.0,4.48,38.0,5.16,2.31,2.24,0.68,9.5,9803.0,13.4%,6.0%,7.4%,0.264,1.31,0.293,67.1%,113.0,96.0,3.77,28.5%,11.3%,24.8%,15.8%,,16.1%,3.2%,,,,0.2%,354.0,0.342,431.0,0.416,196.0,0.189,54.0,0.052,92.54,2245.0,0.366,0.0,0.439,0.293,0.171,92.22,2245.0,0.43,0.0,0.387,0.29,0.204
miles mikolas,P,STL,Pitching Outs,16.5,MIL,base,Sun 2:10 PM,13.0,4.0,3.0,4.48,38.0,5.16,2.31,2.24,0.68,9.5,9803.0,13.4%,6.0%,7.4%,0.264,1.31,0.293,67.1%,113.0,96.0,3.77,28.5%,11.3%,24.8%,15.8%,,16.1%,3.2%,,,,0.2%,354.0,0.342,431.0,0.416,196.0,0.189,54.0,0.052,92.54,2245.0,0.366,0.0,0.439,0.293,0.171,92.22,2245.0,0.43,0.0,0.387,0.29,0.204
miles mikolas,P,STL,Hits Allowed,5.5,MIL,base,Sun 2:10 PM,13.0,4.0,3.0,4.48,38.0,5.16,2.31,2.24,0.68,9.5,9803.0,13.4%,6.0%,7.4%,0.264,1.31,0.293,67.1%,113.0,96.0,3.77,28.5%,11.3%,24.8%,15.8%,,16.1%,3.2%,,,,0.2%,354.0,0.342,431.0,0.416,196.0,0.189,54.0,0.052,92.54,2245.0,0.366,0.0,0.439,0.293,0.171,92.22,2245.0,0.43,0.0,0.387,0.29,0.204
quinn priester,P,MIL,Hits Allowed,5.5,STL,base,Sun 2:10 PM,12.0,4.0,2.0,3.65,43.0,6.28,3.79,1.65,0.88,7.88,25977.0,16.7%,10.1%,6.6%,0.233,1.3,0.262,74.0%,90.0,105.0,4.21,,2.7%,29.1%,44.9%,15.0%,8.3%,,,,,,252.0,0.254,434.0,0.438,232.0,0.234,74.0,0.075,,,0.357,0.0,0.536,0.143,0.25,,,0.476,0.0,0.598,0.146,0.207
quinn priester,P,MIL,Pitcher Strikeouts,3.5,STL,base,Sun 2:10 PM,12.0,4.0,2.0,3.65,43.0,6.28,3.79,1.65,0.88,7.88,25977.0,16.7%,10.1%,6.6%,0.233,1.3,0.262,74.0%,90.0,105.0,4.21,,2.7%,29.1%,44.9%,15.0%,8.3%,,,,,,252.0,0.254,434.0,0.438,232.0,0.234,74.0,0.075,,,0.357,0.0,0.536,0.143,0.25,,,0.476,0.0,0.598,0.146,0.207
quinn priester,P,MIL,Pitching Outs,16.5,STL,base,Sun 2:10 PM,12.0,4.0,2.0,3.65,43.0,6.28,3.79,1.65,0.88,7.88,25977.0,16.7%,10.1%,6.6%,0.233,1.3,0.262,74.0%,90.0,105.0,4.21,,2.7%,29.1%,44.9%,15.0%,8.3%,,,,,,252.0,0.254,434.0,0.438,232.0,0.234,74.0,0.075,,,0.357,0.0,0.536,0.143,0.25,,,0.476,0.0,0.598,0.146,0.207
quinn priester,P,MIL,Walks Allowed,1.5,STL,base,Sun 2:10 PM,12.0,4.0,2.0,3.65,43.0,6.28,3.79,1.65,0.88,7.88,25977.0,16.7%,10.1%,6.6%,0.233,1.3,0.262,74.0%,90.0,105.0,4.21,,2.7%,29.1%,44.9%,15.0%,8.3%,,,,,,252.0,0.254,434.0,0.438,232.0,0.234,74.0,0.075,,,0.357,0.0,0.536,0.143,0.25,,,0.476,0.0,0.598,0.146,0.207
noah cameron,P,KC,Earned Runs Allowed,2.5,OAK,base,Sun 2:10 PM,6.0,2.0,2.0,2.17,25.0,6.03,2.65,2.27,0.96,5.3,30184.0,17.4%,7.6%,9.7%,0.165,0.88,0.173,87.6%,52.0,98.0,4.01,28.6%,18.7%,18.9%,,17.4%,16.4%,,,,,,152.0,0.293,217.0,0.419,118.0,0.228,31.0,0.06,92.53,2263.0,0.485,0.0,0.455,0.333,0.152,91.89,2274.0,0.405,0.0,0.369,0.381,0.179
noah cameron,P,KC,Pitches Thrown,90.5,OAK,base,Sun 2:10 PM,6.0,2.0,2.0,2.17,25.0,6.03,2.65,2.27,0.96,5.3,30184.0,17.4%,7.6%,9.7%,0.165,0.88,0.173,87.6%,52.0,98.0,4.01,28.6%,18.7%,18.9%,,17.4%,16.4%,,,,,,152.0,0.293,217.0,0.419,118.0,0.228,31.0,0.06,92.53,2263.0,0.485,0.0,0.455,0.333,0.152,91.89,2274.0,0.405,0.0,0.369,0.381,0.179
noah cameron,P,KC,Pitcher Strikeouts,5.0,OAK,base,Sun 2:10 PM,6.0,2.0,2.0,2.17,25.0,6.03,2.65,2.27,0.96,5.3,30184.0,17.4%,7.6%,9.7%,0.165,0.88,0.173,87.6%,52.0,98.0,4.01,28.6%,18.7%,18.9%,,17.4%,16.4%,,,,,,152.0,0.293,217.0,0.419,118.0,0.228,31.0,0.06,92.53,2263.0,0.485,0.0,0.455,0.333,0.152,91.89,2274.0,0.405,0.0,0.369,0.381,0.179
noah cameron,P,KC,Hits Allowed,5.5,OAK,base,Sun 2:10 PM,6.0,2.0,2.0,2.17,25.0,6.03,2.65,2.27,0.96,5.3,30184.0,17.4%,7.6%,9.7%,0.165,0.88,0.173,87.6%,52.0,98.0,4.01,28.6%,18.7%,18.9%,,17.4%,16.4%,,,,,,152.0,0.293,217.0,0.419,118.0,0.228,31.0,0.06,92.53,2263.0,0.485,0.0,0.455,0.333,0.152,91.89,2274.0,0.405,0.0,0.369,0.381,0.179
simeon woods richardson,P,MIN,Pitcher Strikeouts,4.0,HOU,base,Sun 2:10 PM,9.0,2.0,3.0,5.74,39.0,8.29,3.61,2.29,1.7,11.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simeon woods richardson,P,MIN,Walks Allowed,1.5,HOU,base,Sun 2:10 PM,9.0,2.0,3.0,5.74,39.0,8.29,3.61,2.29,1.7,11.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simeon woods richardson,P,MIN,Hits Allowed,5.5,HOU,base,Sun 2:10 PM,9.0,2.0,3.0,5.74,39.0,8.29,3.61,2.29,1.7,11.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon walter,P,HOU,Pitcher Strikeouts,4.0,MIN,base,Sun 2:10 PM,2.0,0.0,0.0,1.64,10.0,8.18,0.82,10.0,0.82,7.36,26056.0,23.8%,2.4%,21.4%,0.22,0.91,0.267,93.0%,41.0,66.0,2.71,7.1%,20.6%,,15.3%,32.9%,,24.1%,,,,,48.0,0.282,73.0,0.429,26.0,0.153,23.0,0.135,92.15,2240.0,0.579,0.0,0.632,0.105,0.263,91.88,2185.0,0.516,0.0,0.581,0.161,0.226
brandon walter,P,HOU,Pitching Outs,15.5,MIN,base,Sun 2:10 PM,2.0,0.0,0.0,1.64,10.0,8.18,0.82,10.0,0.82,7.36,26056.0,23.8%,2.4%,21.4%,0.22,0.91,0.267,93.0%,41.0,66.0,2.71,7.1%,20.6%,,15.3%,32.9%,,24.1%,,,,,48.0,0.282,73.0,0.429,26.0,0.153,23.0,0.135,92.15,2240.0,0.579,0.0,0.632,0.105,0.263,91.88,2185.0,0.516,0.0,0.581,0.161,0.226
brandon walter,P,HOU,Pitcher Strikeouts,4.0,MIN,base,Sun 2:10 PM,2.0,0.0,0.0,1.64,10.0,8.18,0.82,10.0,0.82,7.36,26056.0,23.8%,2.4%,21.4%,0.22,0.91,0.267,93.0%,41.0,66.0,2.71,7.1%,20.6%,,15.3%,32.9%,,24.1%,,,,,48.0,0.282,73.0,0.429,26.0,0.153,23.0,0.135,92.15,2240.0,0.579,0.0,0.632,0.105,0.263,91.88,2185.0,0.516,0.0,0.581,0.161,0.226
mitch keller,P,PIT,Pitches Thrown,92.5,CHC,base,Sun 2:20 PM,14.0,1.0,9.0,4.15,65.0,7.11,2.19,3.25,0.66,9.29,17594.0,18.6%,5.7%,12.9%,0.261,1.28,0.31,67.6%,100.0,84.0,3.32,32.9%,8.1%,15.9%,16.0%,,7.7%,19.4%,,,,,445.0,0.343,513.0,0.395,261.0,0.201,80.0,0.062,94.5,2445.0,0.395,0.0,0.581,0.186,0.116,94.0,2415.0,0.406,0.0,0.562,0.167,0.177
mitch keller,P,PIT,Walks Allowed,1.5,CHC,base,Sun 2:20 PM,14.0,1.0,9.0,4.15,65.0,7.11,2.19,3.25,0.66,9.29,17594.0,18.6%,5.7%,12.9%,0.261,1.28,0.31,67.6%,100.0,84.0,3.32,32.9%,8.1%,15.9%,16.0%,,7.7%,19.4%,,,,,445.0,0.343,513.0,0.395,261.0,0.201,80.0,0.062,94.5,2445.0,0.395,0.0,0.581,0.186,0.116,94.0,2415.0,0.406,0.0,0.562,0.167,0.177
mitch keller,P,PIT,Pitcher Strikeouts,5.0,CHC,base,Sun 2:20 PM,14.0,1.0,9.0,4.15,65.0,7.11,2.19,3.25,0.66,9.29,17594.0,18.6%,5.7%,12.9%,0.261,1.28,0.31,67.6%,100.0,84.0,3.32,32.9%,8.1%,15.9%,16.0%,,7.7%,19.4%,,,,,445.0,0.343,513.0,0.395,261.0,0.201,80.0,0.062,94.5,2445.0,0.395,0.0,0.581,0.186,0.116,94.0,2415.0,0.406,0.0,0.562,0.167,0.177
colin rea,P,CHC,Pitcher Strikeouts,4.5,PIT,base,Sun 2:20 PM,14.0,4.0,2.0,3.92,48.0,6.97,2.47,2.82,1.31,9.87,12317.0,18.3%,6.5%,11.8%,0.28,1.37,0.317,79.3%,100.0,111.0,4.33,47.4%,,9.7%,6.4%,10.0%,10.0%,7.8%,8.7%,,,,291.0,0.288,430.0,0.425,211.0,0.208,80.0,0.079,93.97,2140.0,0.529,0.0,0.382,0.206,0.324,93.64,2204.0,0.506,0.0,0.395,0.21,0.284
kumar rocker,P,TEX,Pitcher Strikeouts,4.5,CWS,base,Sun 2:35 PM,6.0,1.0,4.0,8.87,21.0,8.1,2.7,3.0,1.54,13.89,31843.0,18.4%,6.1%,12.3%,0.343,1.84,0.4,53.3%,221.0,113.0,4.66,16.2%,5.4%,32.2%,33.6%,7.7%,4.9%,,,,,,136.0,0.319,165.0,0.387,85.0,0.2,40.0,0.094,98.1,2301.0,0.545,0.0,0.364,0.364,0.273,98.1,2301.0,0.545,0.0,0.364,0.364,0.273
