Player,G,AB,H,HR,RBI,PA,AVG,OBP,SLG,OPS
Javier Baez,15,27,10,1,6,27,0.37,0.37,0.556,0.926
Tyler Stephenson,15,22,6,1,1,26,0.273,0.385,0.455,0.839
Will Benson,15,15,1,0,1,17,0.067,0.176,0.067,0.243
Spencer Steer,15,23,8,0,2,24,0.348,0.375,0.391,0.766
Matt McLain,15,21,3,0,1,23,0.143,0.217,0.143,0.36
Elly De La Cruz,15,26,4,1,1,28,0.154,0.214,0.346,0.56
Dillon Dingler,15,34,13,2,10,34,0.382,0.382,0.706,1.088
Gavin Lux,15,19,3,0,1,21,0.158,0.238,0.158,0.396
Oneil Cruz,15,19,3,0,3,21,0.158,0.238,0.263,0.501
Ian Happ,15,35,6,1,1,39,0.171,0.256,0.314,0.571
Nico Hoerner,15,27,9,0,1,28,0.333,0.357,0.444,0.802
Henry Davis,15,23,4,2,2,25,0.174,0.24,0.435,0.675
Jared Triolo,15,27,6,0,2,32,0.222,0.29,0.333,0.624
Pete Crow-Armstrong,15,27,3,1,4,29,0.111,0.172,0.222,0.395
Kyle Tucker,15,30,9,1,3,36,0.3,0.417,0.433,0.85
Ke'Bryan Hayes,15,37,10,0,3,37,0.27,0.27,0.297,0.568
Bryan Reynolds,15,20,8,3,8,24,0.4,0.5,0.9,1.4
Seiya Suzuki,15,27,8,2,2,33,0.296,0.424,0.593,1.017
Dansby Swanson,15,30,4,0,1,32,0.133,0.188,0.167,0.354
Andrew McCutchen,15,26,7,0,1,29,0.269,0.345,0.308,0.653
Nick Gonzales,15,23,8,1,1,25,0.348,0.4,0.609,1.009
Michael Busch,15,18,1,0,2,21,0.056,0.19,0.056,0.246
Isiah Kiner-Falefa,15,27,8,1,2,30,0.296,0.333,0.407,0.741
Matt Shaw,15,27,5,0,0,28,0.185,0.214,0.222,0.437
Luis Robert,15,25,8,1,3,30,0.32,0.433,0.44,0.873
Corey Seager,15,23,4,1,2,24,0.174,0.208,0.348,0.556
Marcus Semien,15,24,6,0,0,27,0.25,0.333,0.25,0.583
Jonah Heim,15,24,4,1,2,25,0.167,0.16,0.292,0.452
Josh Smith,15,17,3,0,1,20,0.176,0.25,0.176,0.426
Wyatt Langford,15,22,5,2,3,27,0.227,0.37,0.5,0.87
Miguel Vargas,15,29,8,1,3,32,0.276,0.313,0.586,0.899
Josh Rojas,15,17,3,0,1,18,0.176,0.176,0.235,0.412
Kyle Teel,2,2,0,0,0,2,0.0,0.0,0.0,0.0
Mike Trout,15,21,5,0,4,24,0.238,0.292,0.286,0.577
Adley Rutschman,15,23,7,1,3,28,0.304,0.429,0.478,0.907
Zach Neto,15,30,8,3,6,32,0.267,0.281,0.6,0.881
Ryan O'Hearn,15,18,4,0,0,20,0.222,0.3,0.222,0.522
Nolan Schanuel,15,24,7,0,2,25,0.292,0.292,0.292,0.583
Ramon Laureano,15,24,6,1,4,29,0.25,0.345,0.417,0.761
Vladimir Guerrero,15,33,16,1,7,34,0.485,0.5,0.758,1.258
George Springer,15,26,4,2,6,35,0.154,0.294,0.385,0.679
Kyle Schwarber,15,29,5,2,3,34,0.172,0.294,0.414,0.708
Alejandro Kirk,15,27,10,0,2,33,0.37,0.455,0.407,0.862
Bryson Stott,15,24,7,0,3,26,0.292,0.346,0.292,0.638
Trea Turner,15,30,8,3,3,33,0.267,0.333,0.633,0.967
Davis Schneider,15,26,6,1,2,33,0.231,0.394,0.346,0.74
Ernie Clement,15,25,11,3,5,26,0.44,0.462,0.92,1.382
Adolis Garcia,15,28,5,1,3,29,0.179,0.207,0.286,0.493
Josh Jung,15,27,10,2,6,27,0.37,0.37,0.593,0.963
Andrew Benintendi,15,22,4,2,4,25,0.182,0.208,0.545,0.754
Chase Meidroth,15,33,9,1,1,36,0.273,0.333,0.364,0.697
Mike Tauchman,15,19,6,2,6,21,0.316,0.381,0.684,1.065
Taylor Ward,15,27,5,2,3,29,0.185,0.241,0.481,0.723
Jo Adell,15,27,5,2,3,29,0.185,0.241,0.481,0.723
Luis Rengifo,15,28,3,0,1,28,0.107,0.107,0.107,0.214
Gunnar Henderson,15,21,6,0,3,22,0.286,0.318,0.333,0.652
Ramon Urias,15,24,6,0,0,26,0.25,0.308,0.292,0.599
Logan O'Hoppe,15,24,8,2,6,24,0.333,0.333,0.583,0.917
Jackson Holliday,15,25,6,1,3,26,0.24,0.269,0.4,0.669
Dylan Carlson,15,28,8,1,3,30,0.286,0.333,0.393,0.726
Bo Bichette,15,32,7,1,6,35,0.219,0.257,0.344,0.601
Nick Castellanos,15,30,8,0,3,33,0.267,0.303,0.333,0.636
Jt Realmuto,15,30,6,0,3,31,0.2,0.226,0.267,0.492
Alec Bohm,15,34,11,2,4,35,0.324,0.343,0.529,0.872
Brandon Marsh,15,16,2,1,3,21,0.125,0.3,0.313,0.613
Max Kepler,15,16,2,0,1,18,0.125,0.222,0.188,0.41
Myles Straw,15,30,10,0,6,31,0.333,0.355,0.4,0.755
Jonatan Clase,15,25,6,0,0,30,0.24,0.367,0.28,0.647
Otto Kemp,5,8,2,0,1,8,0.25,0.25,0.25,0.5
Yandy Diaz,15,28,10,1,3,30,0.357,0.4,0.536,0.936
Pete Alonso,15,27,6,1,5,30,0.222,0.3,0.444,0.744
Francisco Lindor,15,31,9,3,5,34,0.29,0.353,0.613,0.966
