Player,FG_ID,BB%BB% - Walk Percentage (BB/PA),K%K% - Strikeout Percentage (SO/PA),BB/KBB/K - Walk to Strikeout Ratio (BB/SO),ISOISO - Isolated Power (SLG-AVG),BABIPBABIP - Batting Average on Balls in Play,wOBAwOBA - Weighted On Base Average (Linear Weights),wRC+wRC+ - Runs per PA scaled where 100 is average; both league and park adjusted; based on wOBA
Spencer Torkelson,27465,20.2%,19.0%,1.06,.385,.227,.421,177
Gleyber Torres,16997,14.5%,8.1%,1.80,.283,.311,.438,189
Mike Trout,10155,0.0%,50.0%,0.00,.053,.500,.241,48
Kyle Tucker,18345,12.2%,14.3%,0.86,.247,.303,.402,163
Brice Turang,22186,8.0%,25.3%,0.32,.063,.339,.286,80
Trea Turner,16252,5.3%,15.8%,0.33,.180,.352,.371,138
Ramon Urias,18795,12.5%,22.5%,0.56,.143,.400,.380,150
Miguel Vargas,20178,9.7%,18.1%,0.54,.188,.294,.328,110
Anthony Volpe,27647,9.2%,23.0%,0.40,.171,.393,.375,144
Tyler Wade,15730,10.0%,45.0%,0.22,.000,.556,.292,88
Christian Walker,13419,8.8%,29.4%,0.30,.033,.143,.151,-12
Matt Wallner,26466,15.8%,36.8%,0.43,.313,.250,.352,128
Taylor Ward,17548,7.1%,42.9%,0.17,.231,.263,.271,69
Austin Wells,27562,6.5%,24.7%,0.26,.300,.277,.368,139
Jordan Westburg,27815,6.1%,21.2%,0.29,.032,.292,.242,53
Eli White,19346,3.8%,26.9%,0.14,.060,.250,.193,15
Ben Williamson,33197,5.6%,27.8%,0.20,.040,.400,.296,95
Masyn Winn,27479,7.6%,21.7%,0.35,.084,.286,.274,74
Bobby Witt,25764,8.5%,11.9%,0.71,.154,.348,.345,118
James Wood,29518,9.8%,27.5%,0.36,.207,.339,.359,131
Mike Yastrzemski,14854,3.6%,25.0%,0.14,.094,.211,.215,34
Christian Yelich,11477,7.2%,33.0%,0.22,.045,.309,.246,53
Cole Young,31680,0.0%,22.2%,0.00,.111,.286,.240,55
Jared Young,20404,0.0%,0.0%,0.00,.000,1.000,.889,497
Nathaniel Lowe,19566,5.4%,34.8%,0.16,.093,.315,.245,53
