Player,Pitch,RV/100,wOBA,xwOBA,Hard Hit %
Heliot Ramos,Sweeper,2.5,0.413,0.381,40.0
Heliot Ramos,4-Seam Fastball,1.4,0.409,0.367,55.0
Heliot Ramos,Sinker,1.4,0.397,0.374,45.5
Heliot Ramos,Slider,0.1,0.3,0.344,55.9
Ian Happ,Curveball,4.6,0.5,0.463,37.0
Ian Happ,Sinker,0.9,0.383,0.394,41.2
Ian Happ,4-Seam Fastball,0.3,0.334,0.34,45.8
Ian Happ,Changeup,-2.0,0.174,0.239,30.3
Isaac Collins,4-Seam Fastball,-1.1,0.297,0.253,20.7
Isaac Paredes,Sweeper,5.8,0.518,0.376,25.0
Isaac Paredes,4-Seam Fastball,1.4,0.395,0.398,38.2
Isaac Paredes,Sinker,1.3,0.424,0.342,45.0
Isaac Paredes,Changeup,1.3,0.357,0.273,33.3
Isaac Paredes,Slider,-0.7,0.223,0.285,35.5
Isiah Kiner-Falefa,4-Seam Fastball,1.9,0.445,0.374,33.3
Isiah Kiner-Falefa,Slider,0.6,0.348,0.254,20.0
Isiah Kiner-Falefa,Sinker,-0.4,0.343,0.347,25.0
Ivan Herrera,4-Seam Fastball,2.4,0.415,0.384,44.1
Ivan Herrera,Sinker,1.7,0.44,0.372,34.6
Jackson Chourio,Slider,1.5,0.393,0.318,25.6
Jackson Chourio,4-Seam Fastball,-0.8,0.328,0.279,44.8
Jackson Chourio,Sinker,-1.2,0.313,0.348,50.0
Jackson Chourio,Sweeper,-2.3,0.206,0.222,24.0
Jackson Holliday,Sinker,1.2,0.381,0.336,51.9
Jackson Holliday,Changeup,0.9,0.338,0.29,36.8
Jackson Holliday,Slider,0.1,0.312,0.29,47.6
Jackson Holliday,4-Seam Fastball,-0.1,0.37,0.392,52.8
Jake Bauers,4-Seam Fastball,-2.6,0.224,0.37,45.8
Jake Meyers,4-Seam Fastball,-0.6,0.328,0.37,49.0
Jake Meyers,Slider,-0.6,0.322,0.324,26.7
Jake Meyers,Sinker,-1.0,0.349,0.306,46.7
James Wood,4-Seam Fastball,2.6,0.503,0.539,74.5
James Wood,Slider,2.4,0.442,0.479,56.0
