Player,G,AB,H,HR,RBI,PA,AVG,OBP,SLG,OPS
Javier Baez,10,14,7,0,4,14,0.5,0.5,0.643,1.143
Riley Greene,10,15,7,0,7,17,0.467,0.529,0.667,1.196
Spencer Torkelson,10,11,2,1,2,17,0.182,0.471,0.455,0.925
TJ Friedl,10,14,3,2,3,18,0.214,0.353,0.643,0.996
Zach Mckinstry,10,14,5,1,2,15,0.357,0.4,1.0,1.4
Elly De La Cruz,10,14,3,1,1,15,0.214,0.267,0.5,0.767
Christian Encarnacion-Strand,10,19,1,0,0,19,0.053,0.053,0.053,0.105
Wenceel Perez,10,13,3,0,1,14,0.231,0.214,0.385,0.599
Gleyber Torres,10,12,2,0,1,17,0.167,0.412,0.333,0.745
Jahmai Jones,10,20,9,1,2,20,0.45,0.45,0.7,1.15
Will Benson,10,9,0,0,0,11,0.0,0.182,0.0,0.182
Spencer Steer,10,13,4,0,1,14,0.308,0.357,0.308,0.665
Matt McLain,10,15,3,0,1,17,0.2,0.294,0.2,0.494
Parker Meadows,10,18,7,0,0,20,0.389,0.45,0.5,0.95
Dillon Dingler,10,22,8,1,6,22,0.364,0.364,0.591,0.955
Bo Bichette,10,25,7,1,5,27,0.28,0.296,0.44,0.736
Kyle Schwarber,10,17,3,1,2,19,0.176,0.263,0.412,0.675
Nick Castellanos,10,18,4,0,2,20,0.222,0.3,0.333,0.633
Jt Realmuto,10,18,4,0,2,19,0.222,0.263,0.278,0.541
Alejandro Kirk,10,23,8,0,2,26,0.348,0.385,0.391,0.776
Bryson Stott,10,15,3,0,0,17,0.2,0.294,0.2,0.494
Trea Turner,10,19,4,0,0,20,0.211,0.25,0.316,0.566
Alan Roden,10,9,0,0,0,12,0.0,0.25,0.0,0.25
Jonatan Clase,10,21,3,0,0,23,0.143,0.217,0.143,0.36
Ronald Acuna,10,15,3,1,1,17,0.2,0.294,0.533,0.827
Matt Olson,10,22,4,1,4,22,0.182,0.182,0.364,0.545
Marcell Ozuna,10,19,7,2,5,22,0.368,0.409,0.684,1.093
Michael Harris,10,19,6,0,3,20,0.316,0.35,0.368,0.718
Sam Hilliard,10,13,5,3,7,13,0.385,0.385,1.077,1.462
Sean Murphy,10,19,6,2,6,26,0.316,0.5,0.737,1.237
Eli White,10,21,3,0,1,21,0.143,0.143,0.19,0.333
Keston Hiura,10,17,4,0,2,17,0.235,0.235,0.353,0.588
Ryan Ritter,2,5,1,0,1,5,0.2,0.2,0.2,0.4
Rafael Devers,10,23,6,2,5,28,0.261,0.393,0.609,1.002
Aaron Judge,10,20,5,2,4,25,0.25,0.4,0.6,1.0
DJ LeMahieu,10,16,5,0,2,21,0.313,0.476,0.313,0.789
Jarren Duran,10,23,6,0,3,25,0.261,0.32,0.435,0.755
Austin Wells,10,20,7,2,9,21,0.35,0.381,0.75,1.131
Trent Grisham,10,22,2,0,0,24,0.091,0.167,0.136,0.303
Ben Rice,10,21,3,2,4,24,0.143,0.174,0.429,0.602
Romy Gonzalez,10,21,9,1,7,21,0.429,0.429,0.714,1.143
Cody Bellinger,10,20,6,0,1,21,0.3,0.333,0.4,0.733
Mike Trout,10,15,4,0,1,15,0.267,0.267,0.267,0.533
Taylor Ward,10,19,4,1,2,21,0.211,0.286,0.474,0.759
Adley Rutschman,10,18,6,0,0,22,0.333,0.455,0.389,0.843
Luis Rengifo,10,17,2,1,1,17,0.118,0.118,0.294,0.412
Gunnar Henderson,10,17,6,0,3,18,0.353,0.389,0.353,0.742
Ramon Urias,10,15,4,0,0,16,0.267,0.313,0.333,0.646
Zach Neto,10,20,6,2,4,21,0.3,0.333,0.6,0.933
Jordan Westburg,10,20,4,0,3,21,0.2,0.238,0.25,0.488
Nolan Schanuel,10,17,6,0,2,18,0.353,0.353,0.353,0.706
Jackson Holliday,10,20,6,1,1,21,0.3,0.333,0.55,0.883
Ramon Laureano,10,18,4,0,3,22,0.222,0.318,0.278,0.596
Nick Fortes,10,17,3,0,1,21,0.176,0.286,0.176,0.462
CJ Abrams,10,24,3,0,0,25,0.125,0.16,0.125,0.285
Luis Garcia,10,14,4,0,1,15,0.286,0.333,0.429,0.762
Xavier Edwards,10,17,3,0,0,20,0.176,0.3,0.176,0.476
Otto Lopez,10,23,5,0,0,23,0.217,0.217,0.261,0.478
James Wood,10,21,5,0,0,22,0.238,0.273,0.238,0.511
Nathaniel Lowe,10,19,6,0,2,20,0.316,0.35,0.368,0.718
Heriberto Hernandez,8,14,5,1,3,16,0.357,0.438,0.643,1.08
Vladimir Guerrero,10,21,8,0,3,22,0.381,0.409,0.476,0.885
George Springer,10,22,2,0,3,27,0.091,0.185,0.091,0.276
Alec Bohm,10,20,7,1,2,21,0.35,0.381,0.55,0.931
Austin Riley,10,19,5,1,1,20,0.263,0.3,0.421,0.721
Ozzie Albies,10,19,7,0,1,21,0.368,0.429,0.421,0.85
Brenton Doyle,10,23,7,0,1,27,0.304,0.407,0.478,0.886
Hunter Goodman,10,24,3,0,3,25,0.125,0.16,0.208,0.368
Jordan Beck,10,26,7,0,0,27,0.269,0.296,0.346,0.642
Nick Allen,10,12,1,0,1,16,0.083,0.2,0.083,0.283
Thairo Estrada,10,19,1,0,2,20,0.053,0.1,0.053,0.153
Anthony Volpe,10,18,5,0,2,19,0.278,0.263,0.389,0.652
Ceddanne Rafaela,10,19,7,2,5,21,0.368,0.429,0.737,1.165
Paul Goldschmidt,10,25,5,0,2,28,0.2,0.286,0.28,0.566
Kristian Campbell,10,15,5,1,4,21,0.333,0.524,0.6,1.124
Jo Adell,10,17,4,2,2,19,0.235,0.316,0.647,0.963
Jorge Soler,10,18,3,0,2,19,0.167,0.211,0.222,0.433
Agustin Ramirez,10,22,8,3,6,24,0.364,0.417,0.773,1.189
Yandy Diaz,10,16,6,1,3,18,0.375,0.444,0.625,1.069
Pete Alonso,10,17,4,1,5,19,0.235,0.316,0.529,0.845
Francisco Lindor,10,18,7,2,4,20,0.389,0.45,0.722,1.172
Josh Lowe,10,14,6,1,3,14,0.429,0.429,0.786,1.214
Brandon Nimmo,10,18,3,0,1,19,0.167,0.211,0.167,0.377
Jeff Mcneil,10,15,4,0,4,17,0.267,0.353,0.4,0.753
