Player,G,AB,H,HR,RBI,PA,AVG,OBP,SLG,OPS
Javier Baez,15,44,8,0,0,44,0.182,0.182,0.205,0.386
Tyler Stephenson,15,45,13,3,10,51,0.289,0.353,0.533,0.886
Will Benson,15,42,9,1,4,46,0.214,0.261,0.31,0.57
Spencer Steer,15,40,8,0,6,44,0.2,0.273,0.225,0.498
Matt McLain,15,42,9,1,4,45,0.214,0.267,0.333,0.6
Elly De La Cruz,15,38,16,4,10,48,0.421,0.542,0.816,1.357
Dillon Dingler,15,42,10,3,9,45,0.238,0.289,0.476,0.765
Gavin Lux,15,39,9,1,6,43,0.231,0.302,0.333,0.636
Oneil Cruz,15,52,11,3,6,61,0.212,0.328,0.462,0.789
Ian Happ,15,41,11,3,7,48,0.268,0.375,0.561,0.936
Nico Hoerner,15,40,10,0,4,42,0.25,0.286,0.275,0.561
Henry Davis,15,39,11,2,6,44,0.282,0.333,0.513,0.846
Jared Triolo,15,35,6,2,5,45,0.171,0.341,0.343,0.684
Pete Crow-Armstrong,15,42,12,3,7,44,0.286,0.318,0.571,0.89
Kyle Tucker,15,32,8,1,4,42,0.25,0.405,0.438,0.842
Ke'Bryan Hayes,15,44,9,1,4,49,0.205,0.286,0.273,0.558
Bryan Reynolds,15,42,10,0,7,48,0.238,0.333,0.357,0.69
Seiya Suzuki,15,42,11,1,6,45,0.262,0.289,0.405,0.694
Dansby Swanson,15,41,8,1,6,44,0.195,0.205,0.317,0.522
Andrew McCutchen,15,46,12,3,10,50,0.261,0.3,0.522,0.822
Nick Gonzales,15,38,10,2,4,45,0.263,0.356,0.5,0.856
Michael Busch,15,39,14,4,10,45,0.359,0.444,0.795,1.239
Isiah Kiner-Falefa,15,42,13,0,6,47,0.31,0.37,0.429,0.798
Matt Shaw,15,43,12,1,3,45,0.279,0.311,0.372,0.683
Luis Robert,15,45,11,1,9,49,0.244,0.271,0.378,0.649
Corey Seager,15,40,6,1,2,48,0.15,0.292,0.25,0.542
Marcus Semien,15,44,15,4,9,49,0.341,0.408,0.682,1.09
Jonah Heim,15,39,9,2,7,41,0.231,0.244,0.436,0.68
Josh Smith,15,50,16,2,7,53,0.32,0.358,0.52,0.878
Wyatt Langford,15,51,10,3,8,57,0.196,0.263,0.392,0.655
Miguel Vargas,15,45,10,2,7,51,0.222,0.314,0.422,0.736
Josh Rojas,15,41,9,0,2,47,0.22,0.298,0.293,0.591
Kyle Teel,5,10,3,0,0,15,0.3,0.533,0.3,0.833
Mike Trout,15,45,14,1,6,52,0.311,0.385,0.4,0.785
Adley Rutschman,15,39,11,2,4,45,0.282,0.356,0.462,0.817
Zach Neto,15,52,14,1,5,54,0.269,0.296,0.404,0.7
Ryan O'Hearn,15,40,12,2,9,46,0.3,0.348,0.5,0.848
Nolan Schanuel,15,45,12,0,5,54,0.267,0.377,0.356,0.733
Ramon Laureano,15,37,14,3,5,42,0.378,0.452,0.649,1.101
Vladimir Guerrero,15,50,16,1,7,54,0.32,0.333,0.44,0.773
George Springer,15,35,12,5,10,42,0.343,0.4,0.857,1.257
Kyle Schwarber,15,42,10,3,8,47,0.238,0.319,0.524,0.843
Alejandro Kirk,15,36,17,2,11,39,0.472,0.487,0.722,1.209
Bryson Stott,15,39,6,0,2,41,0.154,0.195,0.179,0.375
Trea Turner,15,41,14,2,8,45,0.341,0.4,0.561,0.961
Davis Schneider,15,25,0,0,0,31,0.0,0.194,0.0,0.194
Ernie Clement,15,44,12,0,2,45,0.273,0.289,0.364,0.653
Adolis Garcia,15,44,10,1,6,47,0.227,0.255,0.364,0.619
Josh Jung,15,47,7,0,7,52,0.149,0.231,0.191,0.422
Andrew Benintendi,15,42,12,0,4,47,0.286,0.362,0.429,0.79
Chase Meidroth,15,50,14,1,4,61,0.28,0.41,0.36,0.77
Mike Tauchman,15,45,12,1,8,56,0.267,0.393,0.489,0.882
Taylor Ward,15,44,7,3,9,51,0.159,0.255,0.386,0.641
Jo Adell,15,39,14,6,13,45,0.359,0.444,0.846,1.291
Luis Rengifo,15,42,9,0,1,45,0.214,0.25,0.214,0.464
Gunnar Henderson,15,40,12,1,2,44,0.3,0.364,0.425,0.789
Ramon Urias,15,38,10,1,6,45,0.263,0.311,0.368,0.68
Logan O'Hoppe,15,52,7,1,2,53,0.135,0.151,0.212,0.362
Jackson Holliday,15,46,12,1,4,49,0.261,0.306,0.413,0.719
Dylan Carlson,15,42,11,3,7,45,0.262,0.311,0.524,0.835
Bo Bichette,15,42,10,3,10,44,0.238,0.273,0.5,0.773
Nick Castellanos,15,39,14,2,2,41,0.359,0.39,0.641,1.031
Jt Realmuto,15,31,9,0,5,34,0.29,0.353,0.323,0.676
Alec Bohm,15,44,13,1,6,46,0.295,0.326,0.364,0.69
Brandon Marsh,15,26,10,0,3,32,0.385,0.469,0.5,0.969
Max Kepler,15,33,5,1,5,38,0.152,0.263,0.333,0.596
Myles Straw,15,31,6,0,2,35,0.194,0.219,0.226,0.445
Jonatan Clase,15,37,10,1,4,42,0.27,0.357,0.405,0.763
Otto Kemp,6,14,4,0,0,15,0.286,0.333,0.357,0.69
Yandy Diaz,15,49,12,2,9,54,0.245,0.296,0.429,0.725
Pete Alonso,15,42,15,6,18,50,0.357,0.46,0.857,1.317
Francisco Lindor,15,47,12,2,5,51,0.255,0.294,0.447,0.741
Josh Lowe,15,44,8,0,1,50,0.182,0.28,0.205,0.485
Brandon Nimmo,15,44,16,5,9,50,0.364,0.44,0.773,1.213
Brett Baty,15,45,8,1,6,50,0.178,0.24,0.289,0.529
Juan Soto,15,35,11,3,5,48,0.314,0.5,0.629,1.129
Austin Riley,15,53,15,2,6,57,0.283,0.333,0.472,0.805
Matt Olson,15,41,12,1,9,53,0.293,0.434,0.512,0.946
Marcell Ozuna,15,48,8,1,8,56,0.167,0.286,0.25,0.536
Michael Harris,15,47,13,3,9,48,0.277,0.277,0.468,0.745
Sam Hilliard,15,37,9,2,3,46,0.243,0.378,0.568,0.945
Ozzie Albies,15,44,8,1,7,54,0.182,0.333,0.318,0.652
Brenton Doyle,15,49,7,1,6,53,0.143,0.189,0.265,0.454
Hunter Goodman,15,48,18,4,8,49,0.375,0.388,0.771,1.159
Kyle Farmer,15,32,6,1,3,33,0.188,0.212,0.344,0.556
Nick Allen,15,31,6,0,2,36,0.194,0.278,0.258,0.536
Mickey Moniak,15,32,8,4,5,34,0.25,0.294,0.656,0.95
Alex Verdugo,15,44,11,0,1,47,0.25,0.298,0.295,0.593
Tyler Freeman,15,33,14,1,4,38,0.424,0.474,0.697,1.171
Ryan Ritter,6,19,5,0,3,20,0.263,0.3,0.474,0.774
Nolan Arenado,15,36,8,2,7,38,0.222,0.263,0.389,0.652
Nolan Gorman,15,31,11,2,5,34,0.355,0.412,0.645,1.057
Ivan Herrera,15,42,11,2,6,44,0.262,0.295,0.429,0.724
Lars Nootbaar,15,39,7,1,3,42,0.179,0.238,0.282,0.52
Brice Turang,15,43,10,0,4,52,0.233,0.346,0.279,0.625
William Contreras,15,44,7,0,2,48,0.159,0.229,0.205,0.434
Willson Contreras,15,38,12,2,10,42,0.316,0.381,0.579,0.96
Sal Frelick,15,42,17,1,5,46,0.405,0.444,0.476,0.921
Masyn Winn,15,42,9,1,3,44,0.214,0.25,0.31,0.56
Victor Scott,15,29,3,0,0,34,0.103,0.235,0.103,0.339
Yohel Pozo,15,37,9,0,0,38,0.243,0.263,0.27,0.533
Jeremy Pena,15,55,21,2,6,57,0.382,0.404,0.6,1.004
Matt Wallner,15,41,10,4,5,48,0.244,0.354,0.61,0.964
Yainer Diaz,15,52,15,2,5,55,0.288,0.309,0.442,0.751
Christian Vazquez,15,45,11,2,7,48,0.244,0.292,0.422,0.714
Brendan Rodgers,15,36,3,1,3,39,0.083,0.154,0.194,0.348
Kody Clemens,15,38,6,2,3,45,0.158,0.289,0.316,0.605
Bobby Witt,15,58,12,3,9,63,0.207,0.254,0.414,0.668
Vinnie Pasquantino,15,42,19,2,4,50,0.452,0.54,0.595,1.135
Freddy Fermin,15,44,11,0,1,46,0.25,0.283,0.318,0.601
Salvador Perez,15,50,11,3,6,52,0.22,0.25,0.44,0.69
Maikel Garcia,15,53,15,1,7,58,0.283,0.345,0.415,0.76
Nick Loftin,15,31,9,1,2,35,0.29,0.343,0.516,0.859
Mark Canha,15,31,5,0,1,35,0.161,0.229,0.161,0.39
Jac Caglianone,9,22,5,0,1,22,0.227,0.227,0.273,0.5
Jeff Mcneil,15,44,15,5,11,50,0.341,0.4,0.773,1.173
Brandon Lowe,15,47,15,3,7,51,0.319,0.353,0.617,0.97
Taylor Walls,15,37,8,1,3,44,0.216,0.318,0.324,0.643
Jonathan Aranda,15,36,12,1,9,45,0.333,0.444,0.444,0.889
Junior Caminero,15,49,12,4,11,53,0.245,0.302,0.612,0.914
Kameron Misner,15,34,6,1,4,38,0.176,0.263,0.324,0.587
Jake Mangum,15,38,13,1,9,41,0.342,0.39,0.447,0.838
Matt Thaiss,15,35,8,0,1,45,0.229,0.4,0.229,0.629
Ronald Acuna,15,49,21,3,7,57,0.429,0.509,0.633,1.141
Ryan Mcmahon,15,43,11,2,4,49,0.256,0.347,0.465,0.812
Drake Baldwin,15,43,7,1,3,45,0.163,0.2,0.233,0.433
Thairo Estrada,15,55,16,0,7,56,0.291,0.286,0.382,0.668
Christian Yelich,15,35,12,3,7,41,0.343,0.439,0.6,1.039
Alec Burleson,15,43,13,1,4,46,0.302,0.326,0.442,0.768
Joey Ortiz,15,34,5,0,3,41,0.147,0.275,0.176,0.451
Rhys Hoskins,15,39,5,1,3,42,0.128,0.167,0.205,0.372
Jackson Chourio,15,50,10,3,8,52,0.2,0.231,0.46,0.691
Isaac Collins,15,32,6,0,3,42,0.188,0.381,0.25,0.631
Byron Buxton,15,52,15,2,15,60,0.288,0.367,0.462,0.828
Carlos Correa,15,42,13,1,3,45,0.31,0.356,0.476,0.832
Jose Altuve,15,49,16,1,5,54,0.327,0.37,0.449,0.819
Jake Meyers,15,50,11,0,0,54,0.22,0.278,0.28,0.558
Trevor Larnach,15,50,15,2,8,52,0.3,0.308,0.48,0.788
Willi Castro,15,40,13,2,3,48,0.325,0.438,0.475,0.913
Victor Caratini,15,49,12,0,5,54,0.245,0.296,0.286,0.582
Brooks Lee,15,44,15,1,7,47,0.341,0.362,0.455,0.816
Christian Walker,15,49,14,4,11,53,0.286,0.34,0.551,0.891
Ty France,15,43,14,0,6,48,0.326,0.396,0.372,0.768
Cam Smith,15,50,11,0,5,53,0.22,0.264,0.3,0.564
Drew Waters,15,36,11,0,4,37,0.306,0.324,0.333,0.658
Manny Machado,15,44,17,2,11,46,0.386,0.413,0.568,0.981
Xander Bogaerts,15,37,11,0,3,42,0.297,0.381,0.324,0.705
Fernando Tatis,15,38,7,1,1,48,0.184,0.354,0.263,0.617
Lourdes Gurriel,15,42,14,2,4,47,0.333,0.404,0.5,0.904
Corbin Carroll,15,47,12,4,9,53,0.255,0.34,0.66,0.999
Ketel Marte,15,37,14,3,7,49,0.378,0.531,0.649,1.179
Gabriel Moreno,15,41,14,3,9,43,0.341,0.372,0.659,1.031
Geraldo Perdomo,15,44,5,0,5,50,0.114,0.18,0.159,0.339
Alek Thomas,15,44,14,2,4,45,0.318,0.333,0.5,0.833
Tyler Wade,15,27,4,0,4,33,0.148,0.258,0.222,0.48
Jackson Merrill,15,42,10,1,6,47,0.238,0.298,0.405,0.703
Luis Arraez,15,46,12,0,8,50,0.261,0.3,0.391,0.691
Aaron Judge,15,37,16,6,10,45,0.432,0.533,1.0,1.533
DJ LeMahieu,15,33,8,1,5,37,0.242,0.324,0.394,0.718
Jarren Duran,15,39,10,1,2,44,0.256,0.341,0.436,0.777
Anthony Volpe,15,40,9,2,7,44,0.225,0.295,0.5,0.795
Austin Wells,15,35,8,1,6,39,0.229,0.282,0.371,0.653
Jazz Chisholm,15,41,11,3,10,49,0.268,0.367,0.512,0.88
Cody Bellinger,15,39,8,1,5,45,0.205,0.311,0.333,0.644
Kristian Campbell,15,32,6,0,2,35,0.188,0.257,0.219,0.476
Roman Anthony,4,12,1,0,3,14,0.083,0.214,0.167,0.381
Jake Cronenworth,15,35,8,0,4,42,0.229,0.333,0.257,0.59
Eugenio Suarez,15,45,11,3,9,47,0.244,0.277,0.511,0.788
Pavin Smith,15,34,9,1,6,41,0.265,0.39,0.441,0.831
Jose Herrera,15,38,12,0,2,43,0.316,0.366,0.368,0.734
Josh Naylor,15,48,17,2,11,50,0.354,0.38,0.563,0.943
Gavin Sheets,15,34,8,2,5,39,0.235,0.333,0.441,0.775
Rafael Devers,15,31,5,0,2,42,0.161,0.381,0.194,0.575
Rob Refsnyder,15,23,6,1,2,25,0.261,0.32,0.435,0.755
Jasson Dominguez,15,36,6,1,3,41,0.167,0.244,0.278,0.522
Ceddanne Rafaela,15,40,13,2,2,42,0.325,0.357,0.525,0.882
