Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9,FG_ID,K%,BB%,K-BB%,AVG Against,WHIP,BABIP,LOB%,ERA-,FIP-,FIP,Four Seamer,Sinker,Curveball,Sweeper,Changeup,Cutter,Slider,Split Finger,Knuckle Curve,Slow Curve,Slurve,Heart_Count,Heart_Pct,Shadow_Count,Shadow_Pct,Chase_Count,Chase_Pct,Waste_Count,Waste_Pct,15_day_fastball_velo,15_day_fastball_spin,15_day_hard_hit_pct,15_day_barrel_pct,15_day_gb_pct,15_day_fb_pct,15_day_ld_pct,30_day_fastball_velo,30_day_fastball_spin,30_day_hard_hit_pct,30_day_barrel_pct,30_day_gb_pct,30_day_fb_pct,30_day_ld_pct,DEC,TBF,ER,IP,SHO,ERA_y,GF,CG,GS,WP,SV,Pitches Thrown,Pitching Outs,Actual Stat,Hit
slade cecconi,P,CLE,Pitcher Fantasy Score,24.5,CIN,base,Tue 6:40 PM,4,1,2,4.87,20,8.85,3.1,2.86,2.66,9.74,27500.0,22.5%,7.9%,14.6%,0.272,1.43,0.291,88.0%,123.0,153.0,6.12,39.2%,8.5%,15.2%,1.8%,7.9%,3.0%,24.3%,,,,,104.0,0.316,135.0,0.41,63.0,0.191,27.0,0.082,94.35,2368.0,0.531,0.0,0.25,0.438,0.281,94.6,2397.0,0.475,0.0,0.344,0.393,0.246,L,20.0,1.0,5.0,0.0,1.8,0.0,0.0,1.0,0.0,0.0,85.0,15.0,36.0,1.0
slade cecconi,P,CLE,Pitching Outs,15.5,CIN,base,Tue 6:40 PM,4,1,2,4.87,20,8.85,3.1,2.86,2.66,9.74,27500.0,22.5%,7.9%,14.6%,0.272,1.43,0.291,88.0%,123.0,153.0,6.12,39.2%,8.5%,15.2%,1.8%,7.9%,3.0%,24.3%,,,,,104.0,0.316,135.0,0.41,63.0,0.191,27.0,0.082,94.35,2368.0,0.531,0.0,0.25,0.438,0.281,94.6,2397.0,0.475,0.0,0.344,0.393,0.246,L,20.0,1.0,5.0,0.0,1.8,0.0,0.0,1.0,0.0,0.0,85.0,15.0,15.0,0.0
sandy alcantara,P,MIA,Earned Runs Allowed,2.5,PIT,base,Tue 6:40 PM,12,2,7,7.89,44,6.95,4.74,1.47,1.26,9.47,18684.0,16.9%,11.5%,5.4%,0.262,1.58,0.294,50.7%,192.0,127.0,5.04,25.1%,24.5%,13.9%,,23.4%,,13.1%,,,,,286.0,0.279,425.0,0.414,236.0,0.23,79.0,0.077,97.15,2216.0,0.267,0.0,0.567,0.2,0.233,97.27,2244.0,0.378,0.0,0.541,0.27,0.162,W,22.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,85.0,18.0,0.0,0.0
sandy alcantara,P,MIA,Pitching Outs,17.5,PIT,base,Tue 6:40 PM,12,2,7,7.89,44,6.95,4.74,1.47,1.26,9.47,18684.0,16.9%,11.5%,5.4%,0.262,1.58,0.294,50.7%,192.0,127.0,5.04,25.1%,24.5%,13.9%,,23.4%,,13.1%,,,,,286.0,0.279,425.0,0.414,236.0,0.23,79.0,0.077,97.15,2216.0,0.267,0.0,0.567,0.2,0.233,97.27,2244.0,0.378,0.0,0.541,0.27,0.162,W,22.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,85.0,18.0,18.0,1.0
sandy alcantara,P,MIA,Pitcher Strikeouts,4.5,PIT,base,Tue 6:40 PM,12,2,7,7.89,44,6.95,4.74,1.47,1.26,9.47,18684.0,16.9%,11.5%,5.4%,0.262,1.58,0.294,50.7%,192.0,127.0,5.04,25.1%,24.5%,13.9%,,23.4%,,13.1%,,,,,286.0,0.279,425.0,0.414,236.0,0.23,79.0,0.077,97.15,2216.0,0.267,0.0,0.567,0.2,0.233,97.27,2244.0,0.378,0.0,0.541,0.27,0.162,W,22.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,85.0,18.0,6.0,1.0
mitch keller,P,PIT,Pitches Thrown,93.5,MIA,base,Tue 6:40 PM,13,1,8,4.13,61,7.19,2.36,3.05,0.59,9.08,17594.0,18.8%,6.2%,12.7%,0.257,1.27,0.308,67.0%,100.0,83.0,3.27,33.4%,16.1%,8.1%,19.4%,8.2%,,15.0%,,,,,409.0,0.34,476.0,0.396,244.0,0.203,73.0,0.061,93.75,2440.0,0.439,0.0,0.561,0.195,0.171,93.94,2431.0,0.419,0.0,0.527,0.204,0.194,L,26.0,3.0,6.0,0.0,4.5,0.0,0.0,1.0,1.0,0.0,97.0,18.0,97.0,1.0
mitch keller,P,PIT,Earned Runs Allowed,2.5,MIA,base,Tue 6:40 PM,13,1,8,4.13,61,7.19,2.36,3.05,0.59,9.08,17594.0,18.8%,6.2%,12.7%,0.257,1.27,0.308,67.0%,100.0,83.0,3.27,33.4%,16.1%,8.1%,19.4%,8.2%,,15.0%,,,,,409.0,0.34,476.0,0.396,244.0,0.203,73.0,0.061,93.75,2440.0,0.439,0.0,0.561,0.195,0.171,93.94,2431.0,0.419,0.0,0.527,0.204,0.194,L,26.0,3.0,6.0,0.0,4.5,0.0,0.0,1.0,1.0,0.0,97.0,18.0,3.0,1.0
mitch keller,P,PIT,Pitcher Fantasy Score,30.5,MIA,base,Tue 6:40 PM,13,1,8,4.13,61,7.19,2.36,3.05,0.59,9.08,17594.0,18.8%,6.2%,12.7%,0.257,1.27,0.308,67.0%,100.0,83.0,3.27,33.4%,16.1%,8.1%,19.4%,8.2%,,15.0%,,,,,409.0,0.34,476.0,0.396,244.0,0.203,73.0,0.061,93.75,2440.0,0.439,0.0,0.561,0.195,0.171,93.94,2431.0,0.419,0.0,0.527,0.204,0.194,L,26.0,3.0,6.0,0.0,4.5,0.0,0.0,1.0,1.0,0.0,97.0,18.0,25.0,0.0
mitch keller,P,PIT,Pitcher Strikeouts,5.0,MIA,base,Tue 6:40 PM,13,1,8,4.13,61,7.19,2.36,3.05,0.59,9.08,17594.0,18.8%,6.2%,12.7%,0.257,1.27,0.308,67.0%,100.0,83.0,3.27,33.4%,16.1%,8.1%,19.4%,8.2%,,15.0%,,,,,409.0,0.34,476.0,0.396,244.0,0.203,73.0,0.061,93.75,2440.0,0.439,0.0,0.561,0.195,0.171,93.94,2431.0,0.419,0.0,0.527,0.204,0.194,L,26.0,3.0,6.0,0.0,4.5,0.0,0.0,1.0,1.0,0.0,97.0,18.0,4.0,0.0
colin rea,P,CHC,Pitching Outs,15.5,PHI,base,Tue 6:45 PM,13,4,2,3.59,43,6.71,2.65,2.53,1.25,9.52,12317.0,17.8%,7.0%,10.7%,0.272,1.35,0.306,81.1%,92.0,111.0,4.32,48.5%,6.1%,9.5%,8.5%,,10.5%,8.6%,8.3%,,,,269.0,0.289,399.0,0.429,193.0,0.208,69.0,0.074,93.41,2189.0,0.463,0.0,0.366,0.268,0.244,93.41,2210.0,0.488,0.0,0.407,0.198,0.267,,20.0,4.0,4.1,0.0,8.31,0.0,0.0,1.0,0.0,0.0,83.0,13.0,13.0,0.0
colin rea,P,CHC,Pitcher Strikeouts,4.0,PHI,base,Tue 6:45 PM,13,4,2,3.59,43,6.71,2.65,2.53,1.25,9.52,12317.0,17.8%,7.0%,10.7%,0.272,1.35,0.306,81.1%,92.0,111.0,4.32,48.5%,6.1%,9.5%,8.5%,,10.5%,8.6%,8.3%,,,,269.0,0.289,399.0,0.429,193.0,0.208,69.0,0.074,93.41,2189.0,0.463,0.0,0.366,0.268,0.244,93.41,2210.0,0.488,0.0,0.407,0.198,0.267,,20.0,4.0,4.1,0.0,8.31,0.0,0.0,1.0,0.0,0.0,83.0,13.0,5.0,1.0
colin rea,P,CHC,Pitcher Fantasy Score,20.5,PHI,base,Tue 6:45 PM,13,4,2,3.59,43,6.71,2.65,2.53,1.25,9.52,12317.0,17.8%,7.0%,10.7%,0.272,1.35,0.306,81.1%,92.0,111.0,4.32,48.5%,6.1%,9.5%,8.5%,,10.5%,8.6%,8.3%,,,,269.0,0.289,399.0,0.429,193.0,0.208,69.0,0.074,93.41,2189.0,0.463,0.0,0.366,0.268,0.244,93.41,2210.0,0.488,0.0,0.407,0.198,0.267,,20.0,4.0,4.1,0.0,8.31,0.0,0.0,1.0,0.0,0.0,83.0,13.0,16.0,0.0
mick abel,P,PHI,Pitcher Fantasy Score,22.5,CHC,base,Tue 6:45 PM,2,1,0,0.79,11,8.74,0.0,,0.0,6.35,27756.0,26.8%,0.0%,26.8%,0.195,0.71,0.267,87.5%,20.0,29.0,1.13,45.7%,15.4%,22.8%,,3.1%,,13.0%,,,,,59.0,0.364,69.0,0.426,30.0,0.185,4.0,0.025,95.28,2512.0,0.706,0.0,0.412,0.235,0.353,96.19,2529.0,0.621,0.0,0.379,0.276,0.345,,20.0,3.0,4.0,0.0,6.75,0.0,0.0,1.0,0.0,0.0,89.0,12.0,12.0,0.0
mick abel,P,PHI,Earned Runs Allowed,2.5,CHC,base,Tue 6:45 PM,2,1,0,0.79,11,8.74,0.0,,0.0,6.35,27756.0,26.8%,0.0%,26.8%,0.195,0.71,0.267,87.5%,20.0,29.0,1.13,45.7%,15.4%,22.8%,,3.1%,,13.0%,,,,,59.0,0.364,69.0,0.426,30.0,0.185,4.0,0.025,95.28,2512.0,0.706,0.0,0.412,0.235,0.353,96.19,2529.0,0.621,0.0,0.379,0.276,0.345,,20.0,3.0,4.0,0.0,6.75,0.0,0.0,1.0,0.0,0.0,89.0,12.0,3.0,1.0
mick abel,P,PHI,Pitcher Strikeouts,4.5,CHC,base,Tue 6:45 PM,2,1,0,0.79,11,8.74,0.0,,0.0,6.35,27756.0,26.8%,0.0%,26.8%,0.195,0.71,0.267,87.5%,20.0,29.0,1.13,45.7%,15.4%,22.8%,,3.1%,,13.0%,,,,,59.0,0.364,69.0,0.426,30.0,0.185,4.0,0.025,95.28,2512.0,0.706,0.0,0.412,0.235,0.353,96.19,2529.0,0.621,0.0,0.379,0.276,0.345,,20.0,3.0,4.0,0.0,6.75,0.0,0.0,1.0,0.0,0.0,89.0,12.0,3.0,0.0
lucas giolito,P,BOS,Pitcher Fantasy Score,25.5,TB,base,Tue 7:10 PM,7,1,1,6.42,27,7.22,2.94,2.45,1.6,11.76,15474.0,18.0%,7.3%,10.7%,0.317,1.63,0.358,66.5%,152.0,117.0,4.76,45.4%,,3.4%,,27.4%,,23.9%,,,,,141.0,0.249,259.0,0.458,131.0,0.231,35.0,0.062,92.68,2187.0,0.667,0.0,0.296,0.148,0.444,93.44,2230.0,0.493,0.0,0.387,0.253,0.293,W,23.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,98.0,18.0,40.0,1.0
lucas giolito,P,BOS,Earned Runs Allowed,2.5,TB,base,Tue 7:10 PM,7,1,1,6.42,27,7.22,2.94,2.45,1.6,11.76,15474.0,18.0%,7.3%,10.7%,0.317,1.63,0.358,66.5%,152.0,117.0,4.76,45.4%,,3.4%,,27.4%,,23.9%,,,,,141.0,0.249,259.0,0.458,131.0,0.231,35.0,0.062,92.68,2187.0,0.667,0.0,0.296,0.148,0.444,93.44,2230.0,0.493,0.0,0.387,0.253,0.293,W,23.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,98.0,18.0,0.0,0.0
lucas giolito,P,BOS,Pitcher Strikeouts,5.0,TB,base,Tue 7:10 PM,7,1,1,6.42,27,7.22,2.94,2.45,1.6,11.76,15474.0,18.0%,7.3%,10.7%,0.317,1.63,0.358,66.5%,152.0,117.0,4.76,45.4%,,3.4%,,27.4%,,23.9%,,,,,141.0,0.249,259.0,0.458,131.0,0.231,35.0,0.062,92.68,2187.0,0.667,0.0,0.296,0.148,0.444,93.44,2230.0,0.493,0.0,0.387,0.253,0.293,W,23.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,98.0,18.0,4.0,0.0
ryan pepiot,P,TB,Pitcher Strikeouts,5.0,BOS,base,Tue 7:10 PM,13,3,5,3.2,64,7.58,2.61,2.91,1.42,7.58,26221.0,21.1%,7.3%,13.9%,0.229,1.13,0.255,84.0%,83.0,110.0,4.35,44.7%,,3.7%,,23.1%,5.7%,22.8%,,,,,336.0,0.285,527.0,0.447,240.0,0.204,75.0,0.064,95.14,2436.0,0.556,0.0,0.296,0.407,0.222,94.87,2406.0,0.5,0.0,0.312,0.262,0.312,L,24.0,3.0,5.2,0.0,4.76,0.0,0.0,1.0,0.0,0.0,108.0,17.0,9.0,1.0
