Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9,FG_ID,K%,BB%,K-BB%,AVG Against,WHIP,BABIP,LOB%,ERA-,FIP-,FIP,Four Seamer,Slider,Sinker,Cutter,Changeup,Curveball,Sweeper,Split Finger,Knuckle Curve,Slurve,Heart_Count,Heart_Pct,Shadow_Count,Shadow_Pct,Chase_Count,Chase_Pct,Waste_Count,Waste_Pct,15_day_fastball_velo,15_day_fastball_spin,15_day_hard_hit_pct,15_day_barrel_pct,15_day_gb_pct,15_day_fb_pct,15_day_ld_pct,30_day_fastball_velo,30_day_fastball_spin,30_day_hard_hit_pct,30_day_barrel_pct,30_day_gb_pct,30_day_fb_pct,30_day_ld_pct,DEC,TBF,ER,IP,SHO,ERA_y,GF,CG,GS,WP,SV,Pitches Thrown,Pitching Outs,Actual Stat,Hit
dustin may,P,LAD,Pitcher Fantasy Score,27.5,SD,base,Mon 9:40 PM,11.0,3.0,4.0,4.09,63.0,9.19,3.21,2.86,1.17,8.03,19716.0,24.2%,8.5%,15.8%,0.236,1.25,0.29,72.0%,104.0,100.0,4.02,14.5%,,39.7%,5.2%,,,40.6%,,,,280.0,0.29,405.0,0.419,209.0,0.216,73.0,0.075,95.73,2323.0,0.308,0.0,0.269,0.346,0.308,95.47,2332.0,0.389,0.0,0.403,0.306,0.25,,25.0,5.0,5.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,89.0,15.0,3.0,0.0
nick pivetta,P,SD,Pitcher Fantasy Score,30.5,LAD,base,Mon 9:40 PM,12.0,6.0,2.0,3.16,76.0,10.01,2.5,4.0,0.92,6.72,15454.0,28.0%,7.0%,21.0%,0.203,1.02,0.262,75.2%,82.0,78.0,3.05,48.4%,0.6%,3.5%,8.1%,,20.6%,18.9%,,,,324.0,0.311,466.0,0.448,196.0,0.188,55.0,0.053,94.0,2303.0,0.353,0.0,0.353,0.265,0.235,93.77,2309.0,0.405,0.0,0.311,0.338,0.257,,23.0,4.0,4.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,93.0,12.0,9.0,0.0
nick pivetta,P,SD,Pitcher Strikeouts,6.0,LAD,base,Mon 9:40 PM,12.0,6.0,2.0,3.16,76.0,10.01,2.5,4.0,0.92,6.72,15454.0,28.0%,7.0%,21.0%,0.203,1.02,0.262,75.2%,82.0,78.0,3.05,48.4%,0.6%,3.5%,8.1%,,20.6%,18.9%,,,,324.0,0.311,466.0,0.448,196.0,0.188,55.0,0.053,94.0,2303.0,0.353,0.0,0.353,0.265,0.235,93.77,2309.0,0.405,0.0,0.311,0.338,0.257,,23.0,4.0,4.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,93.0,12.0,3.0,0.0
nick pivetta,P,SD,Pitches Thrown,89.5,LAD,base,Mon 9:40 PM,12.0,6.0,2.0,3.16,76.0,10.01,2.5,4.0,0.92,6.72,15454.0,28.0%,7.0%,21.0%,0.203,1.02,0.262,75.2%,82.0,78.0,3.05,48.4%,0.6%,3.5%,8.1%,,20.6%,18.9%,,,,324.0,0.311,466.0,0.448,196.0,0.188,55.0,0.053,94.0,2303.0,0.353,0.0,0.353,0.265,0.235,93.77,2309.0,0.405,0.0,0.311,0.338,0.257,,23.0,4.0,4.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,93.0,12.0,93.0,1.0
nick pivetta,P,SD,Pitching Outs,17.5,LAD,base,Mon 9:40 PM,12.0,6.0,2.0,3.16,76.0,10.01,2.5,4.0,0.92,6.72,15454.0,28.0%,7.0%,21.0%,0.203,1.02,0.262,75.2%,82.0,78.0,3.05,48.4%,0.6%,3.5%,8.1%,,20.6%,18.9%,,,,324.0,0.311,466.0,0.448,196.0,0.188,55.0,0.053,94.0,2303.0,0.353,0.0,0.353,0.265,0.235,93.77,2309.0,0.405,0.0,0.311,0.338,0.257,,23.0,4.0,4.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,93.0,12.0,12.0,0.0
emerson hancock,P,SEA,Hits Allowed,5.5,AZ,base,Mon 9:40 PM,10.0,2.0,2.0,5.19,38.0,6.79,3.04,2.24,1.61,10.19,27470.0,17.5%,7.8%,9.7%,0.288,1.47,0.318,74.1%,139.0,129.0,5.01,23.5%,13.8%,36.8%,,23.5%,,2.4%,,,,212.0,0.266,340.0,0.427,164.0,0.206,80.0,0.101,94.47,2334.0,0.25,0.0,0.417,0.25,0.25,95.04,2401.0,0.39,0.0,0.39,0.26,0.286,,,,,,,,,,,,,,,
emerson hancock,P,SEA,Pitcher Strikeouts,3.0,AZ,base,Mon 9:40 PM,10.0,2.0,2.0,5.19,38.0,6.79,3.04,2.24,1.61,10.19,27470.0,17.5%,7.8%,9.7%,0.288,1.47,0.318,74.1%,139.0,129.0,5.01,23.5%,13.8%,36.8%,,23.5%,,2.4%,,,,212.0,0.266,340.0,0.427,164.0,0.206,80.0,0.101,94.47,2334.0,0.25,0.0,0.417,0.25,0.25,95.04,2401.0,0.39,0.0,0.39,0.26,0.286,,23.0,2.0,5.0,0.0,3.6,0.0,0.0,1.0,0.0,0.0,85.0,15.0,3.0,1.0
emerson hancock,P,SEA,Pitcher Fantasy Score,18.5,AZ,base,Mon 9:40 PM,10.0,2.0,2.0,5.19,38.0,6.79,3.04,2.24,1.61,10.19,27470.0,17.5%,7.8%,9.7%,0.288,1.47,0.318,74.1%,139.0,129.0,5.01,23.5%,13.8%,36.8%,,23.5%,,2.4%,,,,212.0,0.266,340.0,0.427,164.0,0.206,80.0,0.101,94.47,2334.0,0.25,0.0,0.417,0.25,0.25,95.04,2401.0,0.39,0.0,0.39,0.26,0.286,,23.0,2.0,5.0,0.0,3.6,0.0,0.0,1.0,0.0,0.0,85.0,15.0,18.0,0.0
emerson hancock,P,SEA,Pitches Thrown,88.5,AZ,base,Mon 9:40 PM,10.0,2.0,2.0,5.19,38.0,6.79,3.04,2.24,1.61,10.19,27470.0,17.5%,7.8%,9.7%,0.288,1.47,0.318,74.1%,139.0,129.0,5.01,23.5%,13.8%,36.8%,,23.5%,,2.4%,,,,212.0,0.266,340.0,0.427,164.0,0.206,80.0,0.101,94.47,2334.0,0.25,0.0,0.417,0.25,0.25,95.04,2401.0,0.39,0.0,0.39,0.26,0.286,,23.0,2.0,5.0,0.0,3.6,0.0,0.0,1.0,0.0,0.0,85.0,15.0,85.0,0.0
merrill kelly,P,AZ,Pitcher Strikeouts,5.5,SEA,base,Mon 9:40 PM,13.0,6.0,2.0,3.43,72.0,8.53,2.25,3.79,0.95,6.63,11156.0,23.8%,6.3%,17.5%,0.199,0.99,0.238,67.9%,84.0,87.0,3.33,24.5%,8.0%,13.5%,18.7%,23.8%,11.5%,,,,,284.0,0.241,531.0,0.45,294.0,0.249,70.0,0.059,91.99,2347.0,0.607,0.0,0.429,0.25,0.286,91.93,2361.0,0.507,0.0,0.479,0.205,0.205,,22.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,92.0,18.0,7.0,1.0
merrill kelly,P,AZ,Pitcher Fantasy Score,30.5,SEA,base,Mon 9:40 PM,13.0,6.0,2.0,3.43,72.0,8.53,2.25,3.79,0.95,6.63,11156.0,23.8%,6.3%,17.5%,0.199,0.99,0.238,67.9%,84.0,87.0,3.33,24.5%,8.0%,13.5%,18.7%,23.8%,11.5%,,,,,284.0,0.241,531.0,0.45,294.0,0.249,70.0,0.059,91.99,2347.0,0.607,0.0,0.429,0.25,0.286,91.93,2361.0,0.507,0.0,0.479,0.205,0.205,,22.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,92.0,18.0,43.0,1.0
merrill kelly,P,AZ,Walks Allowed,1.5,SEA,base,Mon 9:40 PM,13.0,6.0,2.0,3.43,72.0,8.53,2.25,3.79,0.95,6.63,11156.0,23.8%,6.3%,17.5%,0.199,0.99,0.238,67.9%,84.0,87.0,3.33,24.5%,8.0%,13.5%,18.7%,23.8%,11.5%,,,,,284.0,0.241,531.0,0.45,294.0,0.249,70.0,0.059,91.99,2347.0,0.607,0.0,0.429,0.25,0.286,91.93,2361.0,0.507,0.0,0.479,0.205,0.205,,,,,,,,,,,,,,,
merrill kelly,P,AZ,Pitches Thrown,96.5,SEA,base,Mon 9:40 PM,13.0,6.0,2.0,3.43,72.0,8.53,2.25,3.79,0.95,6.63,11156.0,23.8%,6.3%,17.5%,0.199,0.99,0.238,67.9%,84.0,87.0,3.33,24.5%,8.0%,13.5%,18.7%,23.8%,11.5%,,,,,284.0,0.241,531.0,0.45,294.0,0.249,70.0,0.059,91.99,2347.0,0.607,0.0,0.429,0.25,0.286,91.93,2361.0,0.507,0.0,0.479,0.205,0.205,,22.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,92.0,18.0,92.0,0.0
merrill kelly,P,AZ,Hits Allowed,5.5,SEA,base,Mon 9:40 PM,13.0,6.0,2.0,3.43,72.0,8.53,2.25,3.79,0.95,6.63,11156.0,23.8%,6.3%,17.5%,0.199,0.99,0.238,67.9%,84.0,87.0,3.33,24.5%,8.0%,13.5%,18.7%,23.8%,11.5%,,,,,284.0,0.241,531.0,0.45,294.0,0.249,70.0,0.059,91.99,2347.0,0.607,0.0,0.429,0.25,0.286,91.93,2361.0,0.507,0.0,0.479,0.205,0.205,,,,,,,,,,,,,,,
