Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9,FG_ID,K%,BB%,K-BB%,AVG Against,WHIP,BABIP,LOB%,ERA-,FIP-,FIP,Four Seamer,Sinker,Slider,Curveball,Split Finger,Cutter,Changeup,Knuckle Curve,Sweeper,Slurve,Heart_Count,Heart_Pct,Shadow_Count,Shadow_Pct,Chase_Count,Chase_Pct,Waste_Count,Waste_Pct,15_day_fastball_velo,15_day_fastball_spin,15_day_hard_hit_pct,15_day_barrel_pct,15_day_gb_pct,15_day_fb_pct,15_day_ld_pct,30_day_fastball_velo,30_day_fastball_spin,30_day_hard_hit_pct,30_day_barrel_pct,30_day_gb_pct,30_day_fb_pct,30_day_ld_pct,DEC,TBF,ER,IP,SHO,ERA_y,GF,CG,GS,WP,SV,Pitches Thrown,Pitching Outs,Actual Stat,Hit
bryan woo,P,SEA,Pitcher Strikeouts,4.0,AZ,base,Wed 3:40 PM,12,5,3,3.07,69,8.14,1.3,6.27,1.06,7.31,30279,23.0%,3.7%,19.3%,0.216,0.96,0.254,78.5%,82.0,84.0,3.31,43.0%,26.5%,12.9%,,,,8.4%,,9.1%,,348,0.322,464,0.429,209,0.193,61,0.056,95.81,2245.0,0.385,0.0,0.41,0.282,0.205,95.37,2219.0,0.4,0.0,0.432,0.295,0.221,L,26.0,5.0,6.0,0.0,7.5,0.0,0.0,1.0,0.0,0.0,79.0,18.0,3.0,0.0
bryan woo,P,SEA,Pitcher Fantasy Score,27.5,AZ,base,Wed 3:40 PM,12,5,3,3.07,69,8.14,1.3,6.27,1.06,7.31,30279,23.0%,3.7%,19.3%,0.216,0.96,0.254,78.5%,82.0,84.0,3.31,43.0%,26.5%,12.9%,,,,8.4%,,9.1%,,348,0.322,464,0.429,209,0.193,61,0.056,95.81,2245.0,0.385,0.0,0.41,0.282,0.205,95.37,2219.0,0.4,0.0,0.432,0.295,0.221,L,26.0,5.0,6.0,0.0,7.5,0.0,0.0,1.0,0.0,0.0,79.0,18.0,12.0,0.0
bryan woo,P,SEA,Earned Runs Allowed,2.5,AZ,base,Wed 3:40 PM,12,5,3,3.07,69,8.14,1.3,6.27,1.06,7.31,30279,23.0%,3.7%,19.3%,0.216,0.96,0.254,78.5%,82.0,84.0,3.31,43.0%,26.5%,12.9%,,,,8.4%,,9.1%,,348,0.322,464,0.429,209,0.193,61,0.056,95.81,2245.0,0.385,0.0,0.41,0.282,0.205,95.37,2219.0,0.4,0.0,0.432,0.295,0.221,L,26.0,5.0,6.0,0.0,7.5,0.0,0.0,1.0,0.0,0.0,79.0,18.0,5.0,1.0
bryan woo,P,SEA,Pitches Thrown,92.5,AZ,base,Wed 3:40 PM,12,5,3,3.07,69,8.14,1.3,6.27,1.06,7.31,30279,23.0%,3.7%,19.3%,0.216,0.96,0.254,78.5%,82.0,84.0,3.31,43.0%,26.5%,12.9%,,,,8.4%,,9.1%,,348,0.322,464,0.429,209,0.193,61,0.056,95.81,2245.0,0.385,0.0,0.41,0.282,0.205,95.37,2219.0,0.4,0.0,0.432,0.295,0.221,L,26.0,5.0,6.0,0.0,7.5,0.0,0.0,1.0,0.0,0.0,79.0,18.0,79.0,0.0
eduardo rodriguez,P,AZ,Pitcher Fantasy Score,25.5,SEA,base,Wed 3:40 PM,10,1,3,6.7,55,9.97,3.26,3.06,1.63,11.6,13164,23.7%,7.8%,15.9%,0.299,1.65,0.367,56.2%,164.0,112.0,4.3,45.3%,10.1%,9.7%,,,13.7%,21.2%,,,,200,0.236,399,0.47,203,0.239,47,0.055,91.48,2256.0,0.188,0.0,0.25,0.375,0.188,91.47,2271.0,0.179,0.0,0.25,0.286,0.286,W,25.0,2.0,6.1,0.0,2.84,0.0,0.0,1.0,0.0,0.0,81.0,19.0,38.0,1.0
eduardo rodriguez,P,AZ,Pitcher Strikeouts,5.0,SEA,base,Wed 3:40 PM,10,1,3,6.7,55,9.97,3.26,3.06,1.63,11.6,13164,23.7%,7.8%,15.9%,0.299,1.65,0.367,56.2%,164.0,112.0,4.3,45.3%,10.1%,9.7%,,,13.7%,21.2%,,,,200,0.236,399,0.47,203,0.239,47,0.055,91.48,2256.0,0.188,0.0,0.25,0.375,0.188,91.47,2271.0,0.179,0.0,0.25,0.286,0.286,W,25.0,2.0,6.1,0.0,2.84,0.0,0.0,1.0,0.0,0.0,81.0,19.0,5.0,1.0
eduardo rodriguez,P,AZ,Hits Allowed,4.5,SEA,base,Wed 3:40 PM,10,1,3,6.7,55,9.97,3.26,3.06,1.63,11.6,13164,23.7%,7.8%,15.9%,0.299,1.65,0.367,56.2%,164.0,112.0,4.3,45.3%,10.1%,9.7%,,,13.7%,21.2%,,,,200,0.236,399,0.47,203,0.239,47,0.055,91.48,2256.0,0.188,0.0,0.25,0.375,0.188,91.47,2271.0,0.179,0.0,0.25,0.286,0.286,,,,,,,,,,,,,,,
kyle hendricks,P,LAA,Pitches Thrown,87.5,OAK,base,Wed 4:07 PM,12,3,6,5.4,41,5.68,2.77,2.05,1.52,9.14,12049,14.7%,7.2%,7.6%,0.26,1.32,0.272,68.4%,132.0,123.0,5.12,15.5%,35.9%,,11.9%,,,36.7%,,,,269,0.257,482,0.461,247,0.236,48,0.046,86.05,2066.0,0.475,0.0,0.4,0.3,0.225,86.41,2045.0,0.434,0.0,0.364,0.283,0.242,W,25.0,2.0,6.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,88.0,18.0,88.0,1.0
kyle hendricks,P,LAA,Pitcher Strikeouts,4.0,OAK,base,Wed 4:07 PM,12,3,6,5.4,41,5.68,2.77,2.05,1.52,9.14,12049,14.7%,7.2%,7.6%,0.26,1.32,0.272,68.4%,132.0,123.0,5.12,15.5%,35.9%,,11.9%,,,36.7%,,,,269,0.257,482,0.461,247,0.236,48,0.046,86.05,2066.0,0.475,0.0,0.4,0.3,0.225,86.41,2045.0,0.434,0.0,0.364,0.283,0.242,W,25.0,2.0,6.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,88.0,18.0,3.0,0.0
kyle hendricks,P,LAA,Pitcher Fantasy Score,24.5,OAK,base,Wed 4:07 PM,12,3,6,5.4,41,5.68,2.77,2.05,1.52,9.14,12049,14.7%,7.2%,7.6%,0.26,1.32,0.272,68.4%,132.0,123.0,5.12,15.5%,35.9%,,11.9%,,,36.7%,,,,269,0.257,482,0.461,247,0.236,48,0.046,86.05,2066.0,0.475,0.0,0.4,0.3,0.225,86.41,2045.0,0.434,0.0,0.364,0.283,0.242,W,25.0,2.0,6.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,88.0,18.0,31.0,1.0
