Player,Position,Team,Prop Type,Prop Value,Opposing Team,Stadium,Game-Time Temp (°F),Game-Time Humidity (%),Game-Time Wind Speed (mph),Game-Time Wind Dir (°),Game-Time Effect on Hitters,Odds Category,Start Time,Full Opposing Team,Opposing Pitcher,Pitcher Handedness,G_vs_rhp,AB_vs_rhp,H_vs_rhp,HR_vs_rhp,RBI_vs_rhp,PA_vs_rhp,AVG_vs_rhp,OBP_vs_rhp,SLG_vs_rhp,OPS_vs_rhp,G_vs_rhp_5,AB_vs_rhp_5,H_vs_rhp_5,HR_vs_rhp_5,RBI_vs_rhp_5,PA_vs_rhp_5,AVG_vs_rhp_5,OBP_vs_rhp_5,SLG_vs_rhp_5,OPS_vs_rhp_5,G_vs_rhp_10,AB_vs_rhp_10,H_vs_rhp_10,HR_vs_rhp_10,RBI_vs_rhp_10,PA_vs_rhp_10,AVG_vs_rhp_10,OBP_vs_rhp_10,SLG_vs_rhp_10,OPS_vs_rhp_10,G_vs_rhp_15,AB_vs_rhp_15,H_vs_rhp_15,HR_vs_rhp_15,RBI_vs_rhp_15,PA_vs_rhp_15,AVG_vs_rhp_15,OBP_vs_rhp_15,SLG_vs_rhp_15,OPS_vs_rhp_15,BB%_vs_rhp,K%_vs_rhp,BB/K_vs_rhp,ISO_vs_rhp,BABIP_vs_rhp,wOBA_vs_rhp,wRC+_vs_rhp,G_vs_lhp,AB_vs_lhp,H_vs_lhp,HR_vs_lhp,RBI_vs_lhp,PA_vs_lhp,AVG_vs_lhp,OBP_vs_lhp,SLG_vs_lhp,OPS_vs_lhp,G_vs_lhp_5,AB_vs_lhp_5,H_vs_lhp_5,HR_vs_lhp_5,RBI_vs_lhp_5,PA_vs_lhp_5,AVG_vs_lhp_5,OBP_vs_lhp_5,SLG_vs_lhp_5,OPS_vs_lhp_5,G_vs_lhp_10,AB_vs_lhp_10,H_vs_lhp_10,HR_vs_lhp_10,RBI_vs_lhp_10,PA_vs_lhp_10,AVG_vs_lhp_10,OBP_vs_lhp_10,SLG_vs_lhp_10,OPS_vs_lhp_10,G_vs_lhp_15,AB_vs_lhp_15,H_vs_lhp_15,HR_vs_lhp_15,RBI_vs_lhp_15,PA_vs_lhp_15,AVG_vs_lhp_15,OBP_vs_lhp_15,SLG_vs_lhp_15,OPS_vs_lhp_15,BB%_vs_lhp,K%_vs_lhp,BB/K_vs_lhp,ISO_vs_lhp,BABIP_vs_lhp,wOBA_vs_lhp,wRC+_vs_lhp,EV,Barrel%,Hard Hit %,xBA,xwOBA,Heart_Swing,Heart_Take,Heart_Run,Shadow_Swing,Shadow_Take,Shadow_Run,Chase_Swing,Chase_Take,Chase_Run,Waste_Swing,Waste_Take,Waste_Run,4seam_fastball_HardHit%,changeup_HardHit%,curveball_HardHit%,cutter_HardHit%,sinker_HardHit%,slider_HardHit%,sweeper_HardHit%,4seam_fastball_RV100,changeup_RV100,curveball_RV100,cutter_RV100,sinker_RV100,slider_RV100,sweeper_RV100,4seam_fastball_wOBA,changeup_wOBA,curveball_wOBA,cutter_wOBA,sinker_wOBA,slider_wOBA,sweeper_wOBA,4seam_fastball_xwOBA,changeup_xwOBA,curveball_xwOBA,cutter_xwOBA,sinker_xwOBA,slider_xwOBA,sweeper_xwOBA,Team Name,Weather Team Name,Park_Factor_Basic,Park_Factor_1B,Park_Factor_2B,Park_Factor_3B,Park_Factor_HR,Park_Factor_SO,Park_Factor_BB,Park_Factor_GB,Park_Factor_FB,Park_Factor_LD,Park_Factor_IFFB,Park_Factor_FIP,TB,AB,IBB,XBH,H,CS,BB,RBI,HBP,SB,2B,R,SH,PA,SO,3B,SF,GIDP,HR,Actual Stat,Hit
alex call,OF,WSH,Total Bases,0.5,NYM,Citi Field,86.81,46,8.86,270,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Thu 1:10 PM,Mets,kodai senga,right,34,77,19,0,8,99,0.247,0.392,0.351,0.742,5,10,2,0,0,13,0.2,0.385,0.2,0.585,10,19,4,0,0,26,0.211,0.4,0.368,0.768,15,33,5,0,0,42,0.152,0.3,0.273,0.573,14.1%,16.2%,0.88,0.104,0.29,0.333,113.0,27,48,16,2,8,57,0.333,0.382,0.5,0.882,5,14,5,2,2,14,0.357,0.357,0.786,1.143,10,21,6,2,2,23,0.286,0.318,0.571,0.89,15,28,9,2,4,33,0.321,0.406,0.571,0.978,8.8%,10.5%,0.83,0.167,0.333,0.379,145.0,88.8,5.5%,28.2%,0.245,0.337,109.0,75.0,-9.0,108.0,163.0,5.0,15.0,100.0,6.0,0.0,36.0,2.0,27.8,,,,28.6,,,0.1,,,,-0.5,,,0.397,,,,0.336,,,0.372,,,,0.351,,,Nationals,Mets,99,99,99,92,100,98,98,100,102,98,100,101,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0.0,0
james wood,OF,WSH,Total Bases,0.5,NYM,Citi Field,86.81,46,8.86,270,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Thu 1:10 PM,Mets,kodai senga,right,60,165,46,11,28,196,0.279,0.383,0.552,0.934,5,14,2,0,1,17,0.143,0.235,0.214,0.45,10,34,8,3,7,41,0.235,0.341,0.559,0.9,15,45,13,3,11,53,0.289,0.377,0.578,0.955,14.3%,26.5%,0.54,0.273,0.337,0.398,158.0,50,87,23,5,17,97,0.264,0.34,0.483,0.823,5,12,3,0,0,13,0.25,0.308,0.25,0.558,10,20,4,0,2,22,0.2,0.273,0.25,0.523,15,25,5,1,4,29,0.2,0.31,0.36,0.67,10.3%,28.9%,0.36,0.218,0.333,0.359,131.0,94.0,17.8%,58.0%,0.277,0.398,198.0,121.0,10.0,230.0,321.0,-9.0,61.0,245.0,9.0,5.0,78.0,4.0,74.5,50.0,41.7,,51.5,56.0,,2.6,0.7,2.0,,-1.7,2.4,,0.503,0.322,0.364,,0.31,0.442,,0.539,0.322,0.259,,0.293,0.479,,Nationals,Mets,99,99,99,92,100,98,98,100,102,98,100,101,2,4,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2.0,1
jose tena,IF,WSH,Total Bases,0.5,NYM,Citi Field,86.81,46,8.86,270,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Thu 1:10 PM,Mets,kodai senga,right,40,116,27,0,10,129,0.233,0.302,0.345,0.647,5,14,2,0,2,17,0.143,0.294,0.214,0.508,10,31,8,0,4,36,0.258,0.361,0.452,0.813,15,44,12,0,5,51,0.273,0.353,0.432,0.785,9.3%,20.9%,0.44,0.112,0.3,0.288,83.0,9,10,5,0,3,12,0.5,0.583,0.8,1.383,5,5,2,0,0,7,0.4,0.571,0.6,1.171,10,11,5,0,3,13,0.455,0.538,0.727,1.266,15,26,7,0,3,28,0.269,0.321,0.385,0.706,16.7%,16.7%,1.0,0.3,0.625,0.58,283.0,89.7,6.1%,41.8%,0.262,0.32,103.0,44.0,-3.0,126.0,114.0,-6.0,26.0,103.0,6.0,1.0,53.0,3.0,55.9,,,,,,,0.0,,,,,,,0.383,,,,,,,0.365,,,,,,,Nationals,Mets,99,99,99,92,100,98,98,100,102,98,100,101,0,3,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0.0,0
robert hassell,OF,WSH,Total Bases,0.5,NYM,Citi Field,86.81,46,8.86,270,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Thu 1:10 PM,Mets,kodai senga,right,15,50,12,1,5,50,0.24,0.24,0.32,0.56,5,14,2,0,0,14,0.143,0.143,0.143,0.286,10,37,10,1,4,37,0.27,0.27,0.378,0.649,15,50,12,1,5,50,0.24,0.24,0.32,0.56,0.0%,28.0%,0.0,0.08,0.314,0.245,53.0,8,13,3,0,2,13,0.231,0.231,0.231,0.462,5,9,3,0,2,9,0.333,0.333,0.333,0.667,8,13,3,0,2,13,0.231,0.231,0.231,0.462,8,13,3,0,2,13,0.231,0.231,0.231,0.462,0.0%,30.8%,0.0,0.0,0.333,0.205,26.0,89.0,8.9%,42.2%,0.261,0.281,57.0,12.0,-2.0,51.0,33.0,-3.0,15.0,39.0,0.0,1.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nationals,Mets,99,99,99,92,100,98,98,100,102,98,100,101,0,3,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0.0,0
byron buxton,OF,MIN,Total Bases,1.5,TEX,Target Field,68.34,66,8.34,81,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Thu 1:10 PM,Rangers,patrick corbin,left,50,166,45,9,36,185,0.271,0.33,0.5,0.83,5,14,6,1,4,19,0.429,0.579,0.786,1.365,10,35,13,1,13,40,0.371,0.45,0.543,0.993,15,52,15,2,15,60,0.288,0.367,0.462,0.828,7.6%,28.6%,0.26,0.229,0.336,0.356,131.0,20,31,10,2,5,36,0.323,0.389,0.613,1.002,5,5,1,0,1,9,0.2,0.444,0.2,0.644,10,14,4,1,3,19,0.286,0.421,0.571,0.992,15,24,10,2,5,29,0.417,0.483,0.792,1.274,11.1%,27.8%,0.4,0.29,0.4,0.412,170.0,91.5,14.5%,53.6%,0.248,0.342,174.0,52.0,7.0,199.0,148.0,-5.0,50.0,145.0,4.0,5.0,86.0,4.0,61.8,,,,46.2,66.7,,0.7,,,,0.8,1.4,,0.39,,,,0.381,0.354,,0.355,,,,0.305,0.383,,Twins,Twins,100,99,104,94,99,101,102,99,102,97,103,100,7,3,0,2,3,0,1,3,0,1,1,1,0,4,0,0,0,0,1,7.0,1
corey seager,IF,TEX,Total Bases,1.5,MIN,Target Field,68.34,66,8.34,81,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Thu 1:10 PM,Twins,bailey ober,right,35,98,27,3,8,111,0.276,0.36,0.398,0.758,5,14,2,0,0,20,0.143,0.4,0.143,0.543,10,28,3,0,0,35,0.107,0.286,0.107,0.393,15,42,8,1,4,49,0.19,0.306,0.286,0.592,11.7%,17.1%,0.68,0.122,0.316,0.333,114.0,25,42,7,3,4,43,0.167,0.186,0.405,0.591,5,8,1,0,0,8,0.125,0.125,0.125,0.25,10,18,3,1,2,18,0.167,0.167,0.389,0.556,15,24,4,1,2,24,0.167,0.167,0.333,0.5,2.3%,27.9%,0.08,0.238,0.148,0.252,58.0,93.0,14.7%,52.3%,0.296,0.381,135.0,19.0,3.0,148.0,109.0,-11.0,21.0,101.0,3.0,2.0,43.0,2.0,75.9,,,,,,,-0.2,,,,,,,0.355,,,,,,,0.514,,,,,,,Rangers,Twins,100,99,100,98,104,101,101,99,103,99,96,102,0,3,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0.0,0
kyle higashioka,C,TEX,Total Bases,0.5,MIN,Target Field,68.34,66,8.34,81,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Thu 1:10 PM,Twins,bailey ober,right,28,65,15,1,13,72,0.231,0.306,0.323,0.629,5,12,2,0,5,14,0.167,0.286,0.25,0.536,10,22,6,0,7,26,0.273,0.385,0.318,0.703,15,31,8,0,10,36,0.258,0.361,0.323,0.684,8.3%,13.9%,0.6,0.092,0.259,0.285,81.0,18,38,9,0,2,38,0.237,0.237,0.316,0.553,5,7,2,0,0,7,0.286,0.286,0.286,0.571,10,20,2,0,0,20,0.1,0.1,0.1,0.2,15,32,6,0,1,32,0.188,0.188,0.25,0.438,0.0%,23.7%,0.0,0.079,0.31,0.24,49.0,90.0,7.1%,36.9%,0.233,0.286,86.0,31.0,-6.0,77.0,93.0,-3.0,20.0,73.0,2.0,0.0,35.0,3.0,41.9,,,,,,,-1.7,,,,,,,0.279,,,,,,,0.335,,,,,,,Rangers,Twins,100,99,100,98,104,101,101,99,103,99,96,102,1,5,0,0,1,0,0,1,0,0,0,1,0,5,1,0,0,0,0,1.0,1
mike yastrzemski,OF,SF,Hitter Strikeouts,0.5,COL,Coors Field,85.44,30,5.64,98,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Thu 3:10 PM,Rockies,antonio senzatela,right,56,154,40,4,19,181,0.26,0.365,0.409,0.774,5,10,3,0,6,12,0.3,0.333,0.5,0.833,10,27,5,0,6,31,0.185,0.258,0.259,0.517,15,39,6,0,6,45,0.154,0.244,0.256,0.501,14.4%,20.4%,0.7,0.149,0.316,0.341,121.0,32,51,9,1,5,54,0.176,0.222,0.275,0.497,5,11,1,0,1,11,0.091,0.091,0.091,0.182,10,21,3,0,1,21,0.143,0.143,0.19,0.333,15,28,6,0,2,29,0.214,0.241,0.286,0.527,3.7%,25.9%,0.14,0.098,0.222,0.223,40.0,90.7,9.0%,40.0%,0.237,0.318,178.0,93.0,-8.0,184.0,198.0,-4.0,35.0,174.0,8.0,0.0,66.0,4.0,45.2,,,,57.9,36.0,,-2.1,,,,0.4,1.8,,0.238,,,,0.382,0.374,,0.269,,,,0.388,0.304,,Giants,Rockies,97,101,103,112,91,98,98,103,97,97,93,96,3,5,0,1,2,0,0,3,0,0,1,0,0,5,1,0,0,0,0,1.0,1
mike yastrzemski,OF,SF,Total Bases,1.5,COL,Coors Field,85.44,30,5.64,98,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Thu 3:10 PM,Rockies,antonio senzatela,right,56,154,40,4,19,181,0.26,0.365,0.409,0.774,5,10,3,0,6,12,0.3,0.333,0.5,0.833,10,27,5,0,6,31,0.185,0.258,0.259,0.517,15,39,6,0,6,45,0.154,0.244,0.256,0.501,14.4%,20.4%,0.7,0.149,0.316,0.341,121.0,32,51,9,1,5,54,0.176,0.222,0.275,0.497,5,11,1,0,1,11,0.091,0.091,0.091,0.182,10,21,3,0,1,21,0.143,0.143,0.19,0.333,15,28,6,0,2,29,0.214,0.241,0.286,0.527,3.7%,25.9%,0.14,0.098,0.222,0.223,40.0,90.7,9.0%,40.0%,0.237,0.318,178.0,93.0,-8.0,184.0,198.0,-4.0,35.0,174.0,8.0,0.0,66.0,4.0,45.2,,,,57.9,36.0,,-2.1,,,,0.4,1.8,,0.238,,,,0.382,0.374,,0.269,,,,0.388,0.304,,Giants,Rockies,97,101,103,112,91,98,98,103,97,97,93,96,3,5,0,1,2,0,0,3,0,0,1,0,0,5,1,0,0,0,0,3.0,1
sam hilliard,OF,COL,Walks,0.5,SF,Coors Field,85.44,30,5.64,98,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Thu 3:10 PM,Giants,hayden birdsong,right,9,22,7,1,2,26,0.318,0.423,0.682,1.105,5,10,3,0,0,13,0.3,0.462,0.7,1.162,10,24,8,2,3,29,0.333,0.448,0.792,1.24,15,37,9,2,3,45,0.243,0.364,0.568,0.931,15.4%,19.2%,0.8,0.364,0.375,0.463,189.0,27,40,12,5,16,43,0.3,0.286,0.725,1.011,5,5,1,1,1,5,0.2,0.2,0.8,1.0,10,13,5,3,7,13,0.385,0.385,1.077,1.462,15,23,6,4,9,23,0.261,0.261,0.783,1.043,,,,,,,,96.3,23.5%,70.6%,0.293,0.426,24.0,6.0,-1.0,24.0,33.0,2.0,2.0,17.0,1.0,0.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockies,Rockies,113,108,110,135,107,96,100,107,97,109,93,105,0,3,0,0,0,0,2,0,0,0,0,2,0,5,1,0,0,0,0,2.0,1
