Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9,FG_ID,K%,BB%,K-BB%,AVG Against,WHIP,BABIP,LOB%,ERA-,FIP-,FIP,Four Seamer,Split Finger,Sweeper,Sinker,Changeup,Slider,Curveball,Cutter,Knuckle Curve,Heart_Count,Heart_Pct,Shadow_Count,Shadow_Pct,Chase_Count,Chase_Pct,Waste_Count,Waste_Pct,15_day_fastball_velo,15_day_fastball_spin,15_day_hard_hit_pct,15_day_barrel_pct,15_day_gb_pct,15_day_fb_pct,15_day_ld_pct,30_day_fastball_velo,30_day_fastball_spin,30_day_hard_hit_pct,30_day_barrel_pct,30_day_gb_pct,30_day_fb_pct,30_day_ld_pct,DEC,TBF,ER,IP,SHO,ERA_y,GF,CG,GS,WP,SV,Pitches Thrown,Pitching Outs,Actual Stat,Hit
michael wacha,P,KC,Pitcher Strikeouts,5.0,OAK,base,Fri 8:10 PM,13,3,5,3.01,55,6.63,2.29,2.89,0.84,8.2,14078,17.9%,6.2%,11.7%,0.237,1.17,0.271,80.6%,72.0,89.0,3.63,31.0%,,,11.0%,25.9%,10.2%,7.7%,14.2%,,332,0.296,505,0.45,227,0.202,59,0.053,93.5,2194.0,0.176,0.0,0.324,0.353,0.118,93.09,2178.0,0.271,0.0,0.314,0.329,0.229,L,25.0,3.0,6.0,0.0,4.5,0.0,0.0,1.0,0.0,0.0,93.0,16.0,5.0,1.0
freddy peralta,P,MIL,Pitcher Strikeouts,6.0,STL,base,Fri 8:10 PM,14,5,4,2.69,78,9.12,3.62,2.52,1.05,6.78,18679,24.5%,9.7%,14.7%,0.204,1.16,0.247,85.6%,67.0,97.0,3.89,59.7%,,,,19.9%,6.9%,13.4%,,,293,0.22,559,0.419,311,0.233,171,0.128,95.44,2475.0,0.25,0.0,0.321,0.214,0.286,94.65,2450.0,0.368,0.0,0.338,0.309,0.235,,20.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,93.0,18.0,3.0,0.0
freddy peralta,P,MIL,Pitcher Fantasy Score,35.5,STL,base,Fri 8:10 PM,14,5,4,2.69,78,9.12,3.62,2.52,1.05,6.78,18679,24.5%,9.7%,14.7%,0.204,1.16,0.247,85.6%,67.0,97.0,3.89,59.7%,,,,19.9%,6.9%,13.4%,,,293,0.22,559,0.419,311,0.233,171,0.128,95.44,2475.0,0.25,0.0,0.321,0.214,0.286,94.65,2450.0,0.368,0.0,0.338,0.309,0.235,,20.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,93.0,18.0,31.0,0.0
freddy peralta,P,MIL,Pitching Outs,17.5,STL,base,Fri 8:10 PM,14,5,4,2.69,78,9.12,3.62,2.52,1.05,6.78,18679,24.5%,9.7%,14.7%,0.204,1.16,0.247,85.6%,67.0,97.0,3.89,59.7%,,,,19.9%,6.9%,13.4%,,,293,0.22,559,0.419,311,0.233,171,0.128,95.44,2475.0,0.25,0.0,0.321,0.214,0.286,94.65,2450.0,0.368,0.0,0.338,0.309,0.235,,20.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,93.0,18.0,18.0,1.0
freddy peralta,P,MIL,Pitches Thrown,93.5,STL,base,Fri 8:10 PM,14,5,4,2.69,78,9.12,3.62,2.52,1.05,6.78,18679,24.5%,9.7%,14.7%,0.204,1.16,0.247,85.6%,67.0,97.0,3.89,59.7%,,,,19.9%,6.9%,13.4%,,,293,0.22,559,0.419,311,0.233,171,0.128,95.44,2475.0,0.25,0.0,0.321,0.214,0.286,94.65,2450.0,0.368,0.0,0.338,0.309,0.235,,20.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,93.0,18.0,93.0,0.0
erick fedde,P,STL,Pitcher Fantasy Score,23.5,MIL,base,Fri 8:10 PM,13,3,5,3.54,46,5.62,4.03,1.39,0.73,7.7,17425,14.9%,10.7%,4.2%,0.231,1.3,0.258,74.8%,89.0,110.0,4.31,,,25.0%,38.5%,10.7%,,,25.8%,,308,0.266,517,0.446,241,0.208,92,0.079,,,0.382,0.0,0.235,0.353,0.382,,,0.456,0.0,0.316,0.304,0.316,,24.0,0.0,5.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,86.0,16.0,22.0,0.0
erick fedde,P,STL,Pitches Thrown,92.5,MIL,base,Fri 8:10 PM,13,3,5,3.54,46,5.62,4.03,1.39,0.73,7.7,17425,14.9%,10.7%,4.2%,0.231,1.3,0.258,74.8%,89.0,110.0,4.31,,,25.0%,38.5%,10.7%,,,25.8%,,308,0.266,517,0.446,241,0.208,92,0.079,,,0.382,0.0,0.235,0.353,0.382,,,0.456,0.0,0.316,0.304,0.316,,24.0,0.0,5.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,86.0,16.0,86.0,0.0
erick fedde,P,STL,Hits Allowed,5.5,MIL,base,Fri 8:10 PM,13,3,5,3.54,46,5.62,4.03,1.39,0.73,7.7,17425,14.9%,10.7%,4.2%,0.231,1.3,0.258,74.8%,89.0,110.0,4.31,,,25.0%,38.5%,10.7%,,,25.8%,,308,0.266,517,0.446,241,0.208,92,0.079,,,0.382,0.0,0.235,0.353,0.382,,,0.456,0.0,0.316,0.304,0.316,,,,,,,,,,,,,,,
erick fedde,P,STL,Pitching Outs,16.5,MIL,base,Fri 8:10 PM,13,3,5,3.54,46,5.62,4.03,1.39,0.73,7.7,17425,14.9%,10.7%,4.2%,0.231,1.3,0.258,74.8%,89.0,110.0,4.31,,,25.0%,38.5%,10.7%,,,25.8%,,308,0.266,517,0.446,241,0.208,92,0.079,,,0.382,0.0,0.235,0.353,0.382,,,0.456,0.0,0.316,0.304,0.316,,24.0,0.0,5.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,86.0,16.0,16.0,0.0
erick fedde,P,STL,Pitcher Strikeouts,4.0,MIL,base,Fri 8:10 PM,13,3,5,3.54,46,5.62,4.03,1.39,0.73,7.7,17425,14.9%,10.7%,4.2%,0.231,1.3,0.258,74.8%,89.0,110.0,4.31,,,25.0%,38.5%,10.7%,,,25.8%,,308,0.266,517,0.446,241,0.208,92,0.079,,,0.382,0.0,0.235,0.353,0.382,,,0.456,0.0,0.316,0.304,0.316,,24.0,0.0,5.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,86.0,16.0,2.0,0.0
