Player,Position,Team,Prop Type,Prop Value,Opposing Team,Stadium,Game-Time Temp (°F),Game-Time Humidity (%),Game-Time Wind Speed (mph),Game-Time Wind Dir (°),Game-Time Effect on Hitters,Odds Category,Start Time,Full Opposing Team,Opposing Pitcher,Pitcher Handedness,G_vs_rhp,AB_vs_rhp,H_vs_rhp,HR_vs_rhp,RBI_vs_rhp,PA_vs_rhp,AVG_vs_rhp,OBP_vs_rhp,SLG_vs_rhp,OPS_vs_rhp,G_vs_rhp_5,AB_vs_rhp_5,H_vs_rhp_5,HR_vs_rhp_5,RBI_vs_rhp_5,PA_vs_rhp_5,AVG_vs_rhp_5,OBP_vs_rhp_5,SLG_vs_rhp_5,OPS_vs_rhp_5,G_vs_rhp_10,AB_vs_rhp_10,H_vs_rhp_10,HR_vs_rhp_10,RBI_vs_rhp_10,PA_vs_rhp_10,AVG_vs_rhp_10,OBP_vs_rhp_10,SLG_vs_rhp_10,OPS_vs_rhp_10,G_vs_rhp_15,AB_vs_rhp_15,H_vs_rhp_15,HR_vs_rhp_15,RBI_vs_rhp_15,PA_vs_rhp_15,AVG_vs_rhp_15,OBP_vs_rhp_15,SLG_vs_rhp_15,OPS_vs_rhp_15,BB%_vs_rhp,K%_vs_rhp,BB/K_vs_rhp,ISO_vs_rhp,BABIP_vs_rhp,wOBA_vs_rhp,wRC+_vs_rhp,G_vs_lhp,AB_vs_lhp,H_vs_lhp,HR_vs_lhp,RBI_vs_lhp,PA_vs_lhp,AVG_vs_lhp,OBP_vs_lhp,SLG_vs_lhp,OPS_vs_lhp,G_vs_lhp_5,AB_vs_lhp_5,H_vs_lhp_5,HR_vs_lhp_5,RBI_vs_lhp_5,PA_vs_lhp_5,AVG_vs_lhp_5,OBP_vs_lhp_5,SLG_vs_lhp_5,OPS_vs_lhp_5,G_vs_lhp_10,AB_vs_lhp_10,H_vs_lhp_10,HR_vs_lhp_10,RBI_vs_lhp_10,PA_vs_lhp_10,AVG_vs_lhp_10,OBP_vs_lhp_10,SLG_vs_lhp_10,OPS_vs_lhp_10,G_vs_lhp_15,AB_vs_lhp_15,H_vs_lhp_15,HR_vs_lhp_15,RBI_vs_lhp_15,PA_vs_lhp_15,AVG_vs_lhp_15,OBP_vs_lhp_15,SLG_vs_lhp_15,OPS_vs_lhp_15,BB%_vs_lhp,K%_vs_lhp,BB/K_vs_lhp,ISO_vs_lhp,BABIP_vs_lhp,wOBA_vs_lhp,wRC+_vs_lhp,EV,Barrel%,Hard Hit %,xBA,xwOBA,Heart_Swing,Heart_Take,Heart_Run,Shadow_Swing,Shadow_Take,Shadow_Run,Chase_Swing,Chase_Take,Chase_Run,Waste_Swing,Waste_Take,Waste_Run,4seam_fastball_HardHit%,changeup_HardHit%,curveball_HardHit%,cutter_HardHit%,sinker_HardHit%,slider_HardHit%,sweeper_HardHit%,4seam_fastball_RV100,changeup_RV100,curveball_RV100,cutter_RV100,sinker_RV100,slider_RV100,sweeper_RV100,4seam_fastball_wOBA,changeup_wOBA,curveball_wOBA,cutter_wOBA,sinker_wOBA,slider_wOBA,sweeper_wOBA,4seam_fastball_xwOBA,changeup_xwOBA,curveball_xwOBA,cutter_xwOBA,sinker_xwOBA,slider_xwOBA,sweeper_xwOBA,Team Name,Weather Team Name,Park_Factor_Basic,Park_Factor_1B,Park_Factor_2B,Park_Factor_3B,Park_Factor_HR,Park_Factor_SO,Park_Factor_BB,Park_Factor_GB,Park_Factor_FB,Park_Factor_LD,Park_Factor_IFFB,Park_Factor_FIP,TB,AB,IBB,XBH,H,CS,BB,RBI,HBP,SB,2B,R,SH,PA,SO,3B,SF,GIDP,HR,Actual Stat,Hit
javier baez,IF,DET,Hits+Runs+RBIs,1.5,BAL,Oriole Park at Camden Yards,83.59,48,4.12,289,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Tue 6:35 PM,Orioles,cade povich,left,48,134,32,5,24,140,0.239,0.271,0.403,0.674,5,18,4,0,0,18,0.222,0.222,0.222,0.444,10,31,5,0,0,31,0.161,0.161,0.161,0.323,15,42,7,0,0,43,0.167,0.186,0.19,0.377,2.1%,23.6%,0.09,0.164,0.281,0.295,89.0,30,55,19,1,6,57,0.345,0.368,0.455,0.823,5,8,4,0,1,8,0.5,0.5,0.625,1.125,10,14,5,0,2,14,0.357,0.357,0.429,0.786,15,26,9,1,5,26,0.346,0.346,0.538,0.885,3.5%,22.8%,0.15,0.109,0.439,0.362,136.0,88.3,6.3%,40.6%,0.245,0.29,112.0,51.0,-5.0,177.0,119.0,2.0,58.0,110.0,2.0,19.0,50.0,2.0,60.0,,,,40.0,44.0,,-0.1,,,,-1.1,-0.3,,0.247,,,,0.359,0.326,,0.343,,,,0.271,0.336,,Tigers,Orioles,99,100,100,123,93,98,102,100,101,101,108,99,1,4,0,0,1,0,0,1,0,0,0,0,0,4,1,0,0,1,0,2.0,1
riley greene,OF,DET,Hits+Runs+RBIs,1.5,BAL,Oriole Park at Camden Yards,83.59,48,4.12,289,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Tue 6:35 PM,Orioles,cade povich,left,60,179,55,12,35,189,0.307,0.344,0.57,0.914,5,15,4,0,2,15,0.267,0.267,0.333,0.6,10,33,8,1,4,33,0.242,0.242,0.364,0.606,15,46,11,1,6,47,0.239,0.255,0.37,0.625,5.3%,30.2%,0.18,0.263,0.391,0.392,156.0,44,71,14,1,9,80,0.197,0.288,0.282,0.569,5,9,3,0,2,10,0.333,0.4,0.444,0.844,10,16,4,0,4,18,0.25,0.333,0.313,0.646,15,25,4,0,4,27,0.16,0.222,0.2,0.422,10.0%,36.3%,0.28,0.085,0.317,0.263,67.0,90.5,18.3%,47.0%,0.253,0.342,226.0,60.0,6.0,271.0,206.0,-7.0,66.0,195.0,6.0,5.0,64.0,2.0,35.7,55.6,,,41.4,50.0,,0.7,-0.2,,,-0.2,-0.6,,0.382,0.276,,,0.336,0.297,,0.359,0.276,,,0.259,0.336,,Tigers,Orioles,99,100,100,123,93,98,102,100,101,101,108,99,3,4,0,1,2,0,1,0,0,0,1,1,0,5,1,0,0,0,0,3.0,1
spencer torkelson,IF,DET,Hits+Runs+RBIs,1.5,BAL,Oriole Park at Camden Yards,83.59,48,4.12,289,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Tue 6:35 PM,Orioles,cade povich,left,60,167,38,9,29,192,0.228,0.323,0.455,0.778,5,18,5,1,3,18,0.278,0.278,0.5,0.778,10,32,7,2,5,33,0.219,0.242,0.438,0.68,15,46,9,3,6,50,0.196,0.26,0.413,0.673,9.9%,26.6%,0.37,0.228,0.269,0.341,121.0,43,61,16,6,16,77,0.262,0.39,0.623,1.013,5,7,1,0,0,9,0.143,0.333,0.143,0.476,10,12,4,1,1,15,0.333,0.467,0.667,1.133,15,16,4,1,2,22,0.25,0.409,0.5,0.909,18.2%,18.2%,1.0,0.361,0.233,0.409,168.0,91.0,14.5%,44.6%,0.24,0.37,225.0,69.0,6.0,219.0,253.0,-10.0,32.0,195.0,9.0,4.0,77.0,5.0,57.1,37.5,,,40.0,52.4,13.3,2.7,1.9,,,0.3,1.0,-3.0,0.449,0.418,,,0.355,0.346,0.146,0.457,0.401,,,0.414,0.318,0.152,Tigers,Orioles,99,100,100,123,93,98,102,100,101,101,108,99,4,4,0,1,1,0,0,2,0,0,0,1,0,4,2,0,0,0,1,4.0,1
adley rutschman,C,BAL,Hitter Strikeouts,0.5,DET,Oriole Park at Camden Yards,83.59,48,4.12,289,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Tue 6:35 PM,Tigers,brant hurter,left,55,148,32,6,14,167,0.216,0.305,0.385,0.691,5,15,7,2,3,16,0.467,0.5,0.933,1.433,10,28,8,2,3,31,0.286,0.355,0.536,0.891,15,42,10,2,4,47,0.238,0.319,0.429,0.748,11.2%,17.8%,0.63,0.167,0.228,0.307,99.0,37,63,16,1,4,73,0.254,0.356,0.349,0.705,5,10,3,0,0,12,0.3,0.417,0.3,0.717,10,16,6,1,3,20,0.375,0.5,0.563,1.063,15,25,10,1,4,29,0.4,0.483,0.64,1.123,13.3%,14.7%,0.91,0.092,0.302,0.325,111.0,90.8,9.4%,40.9%,0.27,0.364,179.0,86.0,-3.0,194.0,255.0,-11.0,32.0,192.0,9.0,0.0,62.0,4.0,45.9,47.1,54.5,,45.5,26.3,,-0.5,-0.7,-0.4,,2.4,0.3,,0.313,0.252,0.227,,0.397,0.341,,0.391,0.338,0.323,,0.367,0.349,,Orioles,Orioles,98,104,95,102,96,98,98,100,100,101,99,98,0,3,0,0,0,0,0,1,0,0,0,0,0,4,1,0,1,0,0,1.0,1
jackson holliday,IF,BAL,Runs,0.5,DET,Oriole Park at Camden Yards,83.59,48,4.12,289,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Tue 6:35 PM,Tigers,brant hurter,left,54,170,46,7,20,183,0.271,0.322,0.459,0.781,5,14,1,0,1,17,0.071,0.235,0.071,0.307,10,32,7,1,3,35,0.219,0.286,0.406,0.692,15,51,12,1,6,54,0.235,0.278,0.373,0.65,5.9%,20.3%,0.29,0.19,0.318,0.345,126.0,34,47,11,1,7,51,0.234,0.294,0.34,0.635,5,11,4,1,1,11,0.364,0.364,0.727,1.091,10,17,4,1,2,18,0.235,0.278,0.471,0.748,15,25,7,1,4,26,0.28,0.308,0.48,0.788,3.8%,34.6%,0.11,0.104,0.345,0.28,80.0,89.9,9.9%,45.7%,0.271,0.343,194.0,60.0,2.0,211.0,167.0,-8.0,27.0,147.0,5.0,2.0,58.0,4.0,53.8,36.8,,,48.0,50.0,,-0.2,1.2,,,1.2,-0.5,,0.362,0.35,,,0.387,0.279,,0.393,0.301,,,0.33,0.292,,Orioles,Orioles,98,104,95,102,96,98,98,100,100,101,99,98,3,4,0,1,2,0,0,0,0,1,1,2,0,4,1,0,0,0,0,2.0,1
riley greene,OF,DET,Hitter Fantasy Score,5.5,BAL,Oriole Park at Camden Yards,83.59,48,4.12,289,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Tue 6:35 PM,Orioles,cade povich,left,60,179,55,12,35,189,0.307,0.344,0.57,0.914,5,15,4,0,2,15,0.267,0.267,0.333,0.6,10,33,8,1,4,33,0.242,0.242,0.364,0.606,15,46,11,1,6,47,0.239,0.255,0.37,0.625,5.3%,30.2%,0.18,0.263,0.391,0.392,156.0,44,71,14,1,9,80,0.197,0.288,0.282,0.569,5,9,3,0,2,10,0.333,0.4,0.444,0.844,10,16,4,0,4,18,0.25,0.333,0.313,0.646,15,25,4,0,4,27,0.16,0.222,0.2,0.422,10.0%,36.3%,0.28,0.085,0.317,0.263,67.0,90.5,18.3%,47.0%,0.253,0.342,226.0,60.0,6.0,271.0,206.0,-7.0,66.0,195.0,6.0,5.0,64.0,2.0,35.7,55.6,,,41.4,50.0,,0.7,-0.2,,,-0.2,-0.6,,0.382,0.276,,,0.336,0.297,,0.359,0.276,,,0.259,0.336,,Tigers,Orioles,99,100,100,123,93,98,102,100,101,101,108,99,3,4,0,1,2,0,1,0,0,0,1,1,0,5,1,0,0,0,0,12.0,1
spencer torkelson,IF,DET,Hitter Fantasy Score,5.5,BAL,Oriole Park at Camden Yards,83.59,48,4.12,289,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Tue 6:35 PM,Orioles,cade povich,left,60,167,38,9,29,192,0.228,0.323,0.455,0.778,5,18,5,1,3,18,0.278,0.278,0.5,0.778,10,32,7,2,5,33,0.219,0.242,0.438,0.68,15,46,9,3,6,50,0.196,0.26,0.413,0.673,9.9%,26.6%,0.37,0.228,0.269,0.341,121.0,43,61,16,6,16,77,0.262,0.39,0.623,1.013,5,7,1,0,0,9,0.143,0.333,0.143,0.476,10,12,4,1,1,15,0.333,0.467,0.667,1.133,15,16,4,1,2,22,0.25,0.409,0.5,0.909,18.2%,18.2%,1.0,0.361,0.233,0.409,168.0,91.0,14.5%,44.6%,0.24,0.37,225.0,69.0,6.0,219.0,253.0,-10.0,32.0,195.0,9.0,4.0,77.0,5.0,57.1,37.5,,,40.0,52.4,13.3,2.7,1.9,,,0.3,1.0,-3.0,0.449,0.418,,,0.355,0.346,0.146,0.457,0.401,,,0.414,0.318,0.152,Tigers,Orioles,99,100,100,123,93,98,102,100,101,101,108,99,4,4,0,1,1,0,0,2,0,0,0,1,0,4,2,0,0,0,1,16.0,1
adley rutschman,C,BAL,Hitter Fantasy Score,6.5,DET,Oriole Park at Camden Yards,83.59,48,4.12,289,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Tue 6:35 PM,Tigers,brant hurter,left,55,148,32,6,14,167,0.216,0.305,0.385,0.691,5,15,7,2,3,16,0.467,0.5,0.933,1.433,10,28,8,2,3,31,0.286,0.355,0.536,0.891,15,42,10,2,4,47,0.238,0.319,0.429,0.748,11.2%,17.8%,0.63,0.167,0.228,0.307,99.0,37,63,16,1,4,73,0.254,0.356,0.349,0.705,5,10,3,0,0,12,0.3,0.417,0.3,0.717,10,16,6,1,3,20,0.375,0.5,0.563,1.063,15,25,10,1,4,29,0.4,0.483,0.64,1.123,13.3%,14.7%,0.91,0.092,0.302,0.325,111.0,90.8,9.4%,40.9%,0.27,0.364,179.0,86.0,-3.0,194.0,255.0,-11.0,32.0,192.0,9.0,0.0,62.0,4.0,45.9,47.1,54.5,,45.5,26.3,,-0.5,-0.7,-0.4,,2.4,0.3,,0.313,0.252,0.227,,0.397,0.341,,0.391,0.338,0.323,,0.367,0.349,,Orioles,Orioles,98,104,95,102,96,98,98,100,100,101,99,98,0,3,0,0,0,0,0,1,0,0,0,0,0,4,1,0,1,0,0,2.0,0
gunnar henderson,IF,BAL,Hitter Fantasy Score,8.5,DET,Oriole Park at Camden Yards,83.59,48,4.12,289,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Tue 6:35 PM,Tigers,brant hurter,left,53,150,49,7,15,166,0.327,0.392,0.553,0.945,5,10,4,1,2,11,0.4,0.455,0.7,1.155,10,29,10,1,2,30,0.345,0.367,0.483,0.849,15,41,13,1,3,47,0.317,0.404,0.415,0.819,10.1%,23.7%,0.43,0.23,0.419,0.417,176.0,45,76,11,1,2,80,0.145,0.188,0.211,0.398,5,7,1,0,0,8,0.143,0.25,0.143,0.393,10,13,2,0,1,14,0.154,0.214,0.231,0.445,15,21,2,0,1,22,0.095,0.136,0.143,0.279,3.7%,30.5%,0.12,0.064,0.192,0.177,8.0,93.6,8.7%,54.7%,0.26,0.316,186.0,73.0,-7.0,212.0,220.0,1.0,45.0,171.0,7.0,10.0,51.0,2.0,69.0,44.4,,,45.7,41.2,,0.5,2.9,,,-1.8,-1.8,,0.378,0.36,,,0.315,0.211,,0.365,0.298,,,0.337,0.231,,Orioles,Orioles,98,104,95,102,96,98,98,100,100,101,99,98,3,4,0,1,2,0,0,1,0,0,1,0,0,4,1,0,0,0,0,10.0,1
jackson holliday,IF,BAL,Hitter Fantasy Score,6.5,DET,Oriole Park at Camden Yards,83.59,48,4.12,289,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Tue 6:35 PM,Tigers,brant hurter,left,54,170,46,7,20,183,0.271,0.322,0.459,0.781,5,14,1,0,1,17,0.071,0.235,0.071,0.307,10,32,7,1,3,35,0.219,0.286,0.406,0.692,15,51,12,1,6,54,0.235,0.278,0.373,0.65,5.9%,20.3%,0.29,0.19,0.318,0.345,126.0,34,47,11,1,7,51,0.234,0.294,0.34,0.635,5,11,4,1,1,11,0.364,0.364,0.727,1.091,10,17,4,1,2,18,0.235,0.278,0.471,0.748,15,25,7,1,4,26,0.28,0.308,0.48,0.788,3.8%,34.6%,0.11,0.104,0.345,0.28,80.0,89.9,9.9%,45.7%,0.271,0.343,194.0,60.0,2.0,211.0,167.0,-8.0,27.0,147.0,5.0,2.0,58.0,4.0,53.8,36.8,,,48.0,50.0,,-0.2,1.2,,,1.2,-0.5,,0.362,0.35,,,0.387,0.279,,0.393,0.301,,,0.33,0.292,,Orioles,Orioles,98,104,95,102,96,98,98,100,100,101,99,98,3,4,0,1,2,0,0,0,0,1,1,2,0,4,1,0,0,0,0,17.0,1
