Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,Opponent Defensive Rating,Home/Away,Season Hit %,Last 10 Hit Percentage,GP (Season Stats),PPG (Season Stats),RPG (Season Stats),APG (Season Stats),SPG (Season Stats),BPG (Season Stats),FGM (Season Stats),FGA (Season Stats),3PM (Season Stats),3PA (Season Stats),FTM (Season Stats),FTA (Season Stats),OREB (Season Stats),DREB (Season Stats),TPG (Season Stats),GP (Last 5 Season),PPG (Last 5 Season),RPG (Last 5 Season),APG (Last 5 Season),SPG (Last 5 Season),BPG (Last 5 Season),FGM (Last 5 Season),FGA (Last 5 Season),3PM (Last 5 Season),3PA (Last 5 Season),FTM (Last 5 Season),FTA (Last 5 Season),OREB (Last 5 Season),DREB (Last 5 Season),TPG (Last 5 Season),GP (Last 10 Season),PPG (Last 10 Season),RPG (Last 10 Season),APG (Last 10 Season),SPG (Last 10 Season),BPG (Last 10 Season),FGM (Last 10 Season),FGA (Last 10 Season),3PM (Last 10 Season),3PA (Last 10 Season),FTM (Last 10 Season),FTA (Last 10 Season),OREB (Last 10 Season),DREB (Last 10 Season),TPG (Last 10 Season),GP (H2H Current Season),PPG (H2H Current Season),RPG (H2H Current Season),APG (H2H Current Season),SPG (H2H Current Season),BPG (H2H Current Season),FGM (H2H Current Season),FGA (H2H Current Season),3PM (H2H Current Season),3PA (H2H Current Season),FTM (H2H Current Season),FTA (H2H Current Season),OREB (H2H Current Season),DREB (H2H Current Season),TPG (H2H Current Season),GP (Last 10 H2H),PPG (Last 10 H2H),RPG (Last 10 H2H),APG (Last 10 H2H),SPG (Last 10 H2H),BPG (Last 10 H2H),FGM (Last 10 H2H),FGA (Last 10 H2H),3PM (Last 10 H2H),3PA (Last 10 H2H),FTM (Last 10 H2H),FTA (Last 10 H2H),OREB (Last 10 H2H),DREB (Last 10 H2H),TPG (Last 10 H2H)
Tyrese Haliburton,G,IND,points,17.5,OKC,base,Thu 8:30 PM,107.5,N/A,53.4%,33.3%,73,18.6,3.5,9.2,1.4,0.7,6.5,13.8,3.0,7.7,2.6,3.0,0.6,3.0,1.6,5,19.0,6.4,10.4,2.8,0.4,6.8,15.6,2.4,7.4,3.0,3.6,0.4,6.0,1.6,10,19.1,5.6,8.5,1.7,0.4,6.8,14.3,2.5,6.7,3.0,3.8,0.3,5.3,1.9,2.0,11.0,3.0,5.5,1.0,0.0,4.0,9.0,2.0,5.5,1.0,1.0,1.0,2.0,0.5,8,13.4,4.1,9.9,1.3,0.9,5.3,11.5,2.0,5.3,0.9,1.0,0.9,3.3,2.1
Myles Turner,C-F,IND,fg attempted,10.0,OKC,base,Thu 8:40 PM,107.5,N/A,54.2%,63.6%,72,15.6,6.5,1.5,0.8,2.0,5.4,11.3,2.2,5.5,2.6,3.3,1.3,5.3,1.7,5,12.8,2.8,1.4,0.4,2.0,4.4,7.8,1.2,3.6,2.8,3.8,0.8,2.0,2.2,10,14.6,4.4,1.3,0.5,2.3,5.0,9.4,1.5,3.5,3.1,4.2,1.3,3.1,1.6,2.0,11.5,8.0,1.5,0.0,2.5,3.0,9.5,0.5,3.5,5.0,8.0,3.0,5.0,2.5,10,12.3,5.8,1.4,0.5,2.8,4.5,10.0,1.0,2.6,2.3,3.4,1.9,3.9,1.8
Myles Turner,C-F,IND,free throws made,2.5,OKC,base,Thu 8:40 PM,107.5,N/A,45.8%,0%,72,15.6,6.5,1.5,0.8,2.0,5.4,11.3,2.2,5.5,2.6,3.3,1.3,5.3,1.7,5,12.8,2.8,1.4,0.4,2.0,4.4,7.8,1.2,3.6,2.8,3.8,0.8,2.0,2.2,10,14.6,4.4,1.3,0.5,2.3,5.0,9.4,1.5,3.5,3.1,4.2,1.3,3.1,1.6,2.0,11.5,8.0,1.5,0.0,2.5,3.0,9.5,0.5,3.5,5.0,8.0,3.0,5.0,2.5,10,12.3,5.8,1.4,0.5,2.8,4.5,10.0,1.0,2.6,2.3,3.4,1.9,3.9,1.8
Myles Turner,C-F,IND,two pointers attempted,5.5,OKC,base,Thu 8:40 PM,107.5,N/A,97.2%,0%,72,15.6,6.5,1.5,0.8,2.0,5.4,11.3,2.2,5.5,2.6,3.3,1.3,5.3,1.7,5,12.8,2.8,1.4,0.4,2.0,4.4,7.8,1.2,3.6,2.8,3.8,0.8,2.0,2.2,10,14.6,4.4,1.3,0.5,2.3,5.0,9.4,1.5,3.5,3.1,4.2,1.3,3.1,1.6,2.0,11.5,8.0,1.5,0.0,2.5,3.0,9.5,0.5,3.5,5.0,8.0,3.0,5.0,2.5,10,12.3,5.8,1.4,0.5,2.8,4.5,10.0,1.0,2.6,2.3,3.4,1.9,3.9,1.8
Myles Turner,C-F,IND,3-pt attempted,4.5,OKC,base,Thu 8:40 PM,107.5,N/A,63.9%,9.1%,72,15.6,6.5,1.5,0.8,2.0,5.4,11.3,2.2,5.5,2.6,3.3,1.3,5.3,1.7,5,12.8,2.8,1.4,0.4,2.0,4.4,7.8,1.2,3.6,2.8,3.8,0.8,2.0,2.2,10,14.6,4.4,1.3,0.5,2.3,5.0,9.4,1.5,3.5,3.1,4.2,1.3,3.1,1.6,2.0,11.5,8.0,1.5,0.0,2.5,3.0,9.5,0.5,3.5,5.0,8.0,3.0,5.0,2.5,10,12.3,5.8,1.4,0.5,2.8,4.5,10.0,1.0,2.6,2.3,3.4,1.9,3.9,1.8
Myles Turner,C-F,IND,fantasy score,26.5,OKC,base,Thu 8:40 PM,107.5,N/A,95.8%,0%,72,15.6,6.5,1.5,0.8,2.0,5.4,11.3,2.2,5.5,2.6,3.3,1.3,5.3,1.7,5,12.8,2.8,1.4,0.4,2.0,4.4,7.8,1.2,3.6,2.8,3.8,0.8,2.0,2.2,10,14.6,4.4,1.3,0.5,2.3,5.0,9.4,1.5,3.5,3.1,4.2,1.3,3.1,1.6,2.0,11.5,8.0,1.5,0.0,2.5,3.0,9.5,0.5,3.5,5.0,8.0,3.0,5.0,2.5,10,12.3,5.8,1.4,0.5,2.8,4.5,10.0,1.0,2.6,2.3,3.4,1.9,3.9,1.8
Myles Turner,C-F,IND,points,13.5,OKC,base,Thu 8:40 PM,107.5,N/A,63.9%,18.2%,72,15.6,6.5,1.5,0.8,2.0,5.4,11.3,2.2,5.5,2.6,3.3,1.3,5.3,1.7,5,12.8,2.8,1.4,0.4,2.0,4.4,7.8,1.2,3.6,2.8,3.8,0.8,2.0,2.2,10,14.6,4.4,1.3,0.5,2.3,5.0,9.4,1.5,3.5,3.1,4.2,1.3,3.1,1.6,2.0,11.5,8.0,1.5,0.0,2.5,3.0,9.5,0.5,3.5,5.0,8.0,3.0,5.0,2.5,10,12.3,5.8,1.4,0.5,2.8,4.5,10.0,1.0,2.6,2.3,3.4,1.9,3.9,1.8
Myles Turner,C-F,IND,personal fouls,3.0,OKC,base,Thu 8:40 PM,107.5,N/A,33.3%,0%,72,15.6,6.5,1.5,0.8,2.0,5.4,11.3,2.2,5.5,2.6,3.3,1.3,5.3,1.7,5,12.8,2.8,1.4,0.4,2.0,4.4,7.8,1.2,3.6,2.8,3.8,0.8,2.0,2.2,10,14.6,4.4,1.3,0.5,2.3,5.0,9.4,1.5,3.5,3.1,4.2,1.3,3.1,1.6,2.0,11.5,8.0,1.5,0.0,2.5,3.0,9.5,0.5,3.5,5.0,8.0,3.0,5.0,2.5,10,12.3,5.8,1.4,0.5,2.8,4.5,10.0,1.0,2.6,2.3,3.4,1.9,3.9,1.8
Myles Turner,C-F,IND,dunks,0.5,OKC,base,Thu 8:40 PM,107.5,N/A,0.0%,0%,72,15.6,6.5,1.5,0.8,2.0,5.4,11.3,2.2,5.5,2.6,3.3,1.3,5.3,1.7,5,12.8,2.8,1.4,0.4,2.0,4.4,7.8,1.2,3.6,2.8,3.8,0.8,2.0,2.2,10,14.6,4.4,1.3,0.5,2.3,5.0,9.4,1.5,3.5,3.1,4.2,1.3,3.1,1.6,2.0,11.5,8.0,1.5,0.0,2.5,3.0,9.5,0.5,3.5,5.0,8.0,3.0,5.0,2.5,10,12.3,5.8,1.4,0.5,2.8,4.5,10.0,1.0,2.6,2.3,3.4,1.9,3.9,1.8
Myles Turner,C-F,IND,pts+rebs+asts,20.5,OKC,base,Thu 8:40 PM,107.5,N/A,72.2%,27.3%,72,15.6,6.5,1.5,0.8,2.0,5.4,11.3,2.2,5.5,2.6,3.3,1.3,5.3,1.7,5,12.8,2.8,1.4,0.4,2.0,4.4,7.8,1.2,3.6,2.8,3.8,0.8,2.0,2.2,10,14.6,4.4,1.3,0.5,2.3,5.0,9.4,1.5,3.5,3.1,4.2,1.3,3.1,1.6,2.0,11.5,8.0,1.5,0.0,2.5,3.0,9.5,0.5,3.5,5.0,8.0,3.0,5.0,2.5,10,12.3,5.8,1.4,0.5,2.8,4.5,10.0,1.0,2.6,2.3,3.4,1.9,3.9,1.8
