Player,GP,PPG,RPG,APG,SPG,BPG,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,TPG
Aaron Nesmith,10,13.4,4.9,1.1,1.0,1.0,4.5,9.5,2.5,5.3,1.9,2.1,0.8,4.1,0.7
Alex Caruso,10,9.0,2.0,1.9,1.4,0.1,3.1,7.0,1.7,4.1,1.1,1.3,0.4,1.6,0.7
Andrew Nembhard,10,10.7,3.5,5.1,1.9,0.3,4.2,9.6,1.3,3.2,1.0,1.4,0.7,2.8,2.1
Ben Sheppard,10,3.9,1.8,0.6,0.3,0.0,1.3,2.3,0.9,1.7,0.4,0.4,0.1,1.7,0.7
Bennedict Mathurin,10,10.4,2.1,0.6,0.1,0.1,2.8,5.3,0.6,1.9,4.2,4.4,0.5,1.6,1.0
Cason Wallace,10,5.9,2.9,2.8,1.4,0.4,2.2,5.6,1.1,3.4,0.4,0.5,1.4,1.5,1.1
Chet Holmgren,10,16.2,8.9,1.1,0.7,1.5,6.3,12.1,1.1,4.0,2.5,3.7,2.1,6.8,1.3
Isaiah Hartenstein,10,8.5,7.4,1.4,0.7,0.7,4.1,6.7,0.0,0.0,0.3,0.6,2.5,4.9,1.1
Isaiah Joe,10,3.5,1.7,0.4,0.3,0.2,1.1,2.8,0.6,2.0,0.7,0.9,0.2,1.5,0.1
Jalen Williams,10,20.1,6.0,5.3,1.8,0.3,7.3,16.6,1.9,5.2,3.6,4.3,0.9,5.1,1.8
Kenrich Williams,10,4.9,3.5,0.5,1.0,0.0,2.1,4.8,0.3,2.1,0.4,0.8,0.5,3.0,0.8
Luguentz Dort,10,7.3,3.4,1.2,1.2,0.3,2.5,7.1,1.9,6.1,0.4,0.8,1.4,2.0,1.4
Myles Turner,10,14.6,4.4,1.3,0.5,2.3,5.0,9.4,1.5,3.5,3.1,4.2,1.3,3.1,1.6
Obi Toppin,10,9.1,4.0,1.5,0.6,0.3,3.6,7.5,0.5,2.8,1.4,1.7,0.7,3.3,0.8
Pascal Siakam,10,22.1,5.4,3.6,1.0,0.5,8.5,15.7,1.5,3.1,3.6,5.7,1.1,4.3,1.0
Shai Gilgeous-Alexander,10,29.8,5.7,7.1,1.8,0.4,10.3,21.5,1.4,4.4,7.8,9.4,1.1,4.6,2.5
Thomas Bryant,10,3.3,1.5,0.0,0.2,0.3,1.1,2.2,0.5,0.9,0.6,0.6,0.3,1.2,0.3
Tj Mcconnell,10,7.7,3.2,3.8,0.3,0.1,3.2,6.3,0.3,1.1,1.0,1.2,0.5,2.7,1.8
Tyrese Haliburton,10,19.1,5.6,8.5,1.7,0.4,6.8,14.3,2.5,6.7,3.0,3.8,0.3,5.3,1.9
